,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
CDN75_RS00290,138,133,93,163,97,125,44,100,104,54,115,134,147,174,86
CDN75_RS00615,58,58,37,38,48,2,4,4,0,0,7,24,18,18,11
CDN75_RS00685,129,134,78,134,124,31,4,22,15,15,153,121,143,101,96
CDN75_RS01980,1984,1623,924,1437,1082,80,37,55,129,59,111,144,172,431,158
CDN75_RS02765,24,18,8,17,22,0,0,2,2,0,52,50,42,15,20
CDN75_RS05190,4,2,8,5,4,6,6,5,8,3,7,8,15,14,4
CDN75_RS05665,59265,80111,40478,93058,67899,2932,812,1702,2896,1105,546,529,603,744,540
CDN75_RS07125,3,4,3,4,1,1,0,5,6,0,11,16,10,12,6
CDN75_RS07385,14,39,13,3,17,0,0,0,0,0,3,4,2,4,7
CDN75_RS07395,3,1,3,0,3,0,0,0,1,0,4,2,5,2,2
CDN75_RS09705,1,1,2,6,0,0,0,0,0,1,7,3,5,3,2
CDN75_RS10005,7,16,2,16,7,1,0,1,2,0,4,7,13,1,8
CDN75_RS10700,24,36,21,32,27,24,5,10,19,5,98,89,75,81,54
CDN75_RS12755,445,573,343,508,514,62,16,36,47,23,261,274,250,188,178
CDN75_RS12855,0,0,3,1,3,0,0,0,1,0,3,4,1,2,6
CDN75_RS13515,76,66,59,54,46,47,20,41,26,33,108,147,167,117,94
CDN75_RS13680,0,7,0,0,0,0,0,0,1,0,2,2,5,4,2
CDN75_RS17410,286,272,125,445,176,106,29,97,70,52,274,287,361,498,337
CDN75_RS17475,23,31,10,17,21,1,3,4,6,0,32,23,39,29,18
CDN75_RS17695,60,44,36,51,48,13,3,16,14,6,55,48,54,42,40
CDN75_RS18610,6,5,6,9,7,0,0,0,0,0,1,1,0,0,2
CDN75_RS19670,10,3,0,0,0,2,7,8,15,3,27,37,35,55,20
CDN75_RS20180,51,45,36,56,33,74,28,55,56,47,37,53,74,89,49
