,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
3'ETS-leuZ,744,465,509,9194,6424,10183,4363,3972,4838,4708,847,762,695,693,634,1047,3061,7224,12668,8082,5126,6477,8454,10244
C0293,2,1,0,35,13,22,17,10,8,20,2,1,0,3,1,0,11,9,8,4,27,33,54,34
ERCC-00002,8983,5552,5510,17648,7456,13091,7966,5570,7450,5367,8853,6313,5097,6558,5168,5892,3089,6685,8449,2960,2895,3971,5948,4563
ERCC-00003,294,147,207,479,252,412,243,173,240,176,247,236,158,184,146,187,121,241,263,79,77,136,195,122
ERCC-00004,133,75,68,251,113,194,110,104,119,96,116,131,55,86,75,78,40,92,109,59,29,52,81,61
ERCC-00009,187,151,100,396,162,257,174,115,154,113,202,171,109,129,95,120,77,151,183,70,58,93,122,92
ERCC-00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00013,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00014,5,6,0,5,2,8,9,0,3,0,3,2,2,0,2,3,3,4,3,2,0,4,1,2
ERCC-00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00019,0,1,0,3,0,0,1,2,0,1,3,1,1,0,0,0,0,0,1,1,0,0,1,0
ERCC-00022,80,43,46,162,47,97,57,33,68,24,55,62,57,41,47,53,25,48,61,19,18,28,48,41
ERCC-00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00025,28,15,24,37,9,38,11,15,16,15,22,22,14,13,17,18,14,20,26,14,8,11,16,15
ERCC-00028,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ERCC-00031,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0
ERCC-00033,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00034,1,1,6,16,8,5,3,1,8,5,2,3,5,5,4,6,2,4,6,6,0,1,11,4
ERCC-00035,35,19,20,73,36,61,35,19,36,16,47,25,11,30,28,25,11,37,37,13,8,13,14,16
ERCC-00039,1,1,0,1,2,0,2,0,1,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0
ERCC-00040,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ERCC-00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00042,100,71,59,218,81,158,90,73,99,77,107,75,61,73,76,93,39,82,94,33,15,42,82,50
ERCC-00043,129,73,88,280,120,203,125,84,108,79,115,110,71,90,77,100,51,89,150,52,36,46,78,55
ERCC-00044,24,23,19,68,38,65,38,25,37,21,34,35,21,32,21,27,12,35,47,13,19,15,33,19
