sample,ercc_reads,total_reads,ercc_read_fraction,molecules_per_read_k,n_cells,loglog_r2_qc
T0CASP2_cutadapt_1,20848,18095012,0.0011521407114844688,59802.57819782955,300000000.0,0.7807084883770999
T0CASP4_cutadapt_1,12875,11371469,0.001132219592736875,96836.05050627964,300000000.0,0.7799026339067434
T0CASP5_cutadapt_1,12834,11987068,0.0010706538079203354,97145.40675302714,300000000.0,0.8270597529926922
T0EXP2_cutadapt_1,40327,15276161,0.0026398648194399105,30916.36249332582,80000000.0,0.8523548331279298
T0EXP4_cutadapt_1,17070,7147836,0.002388135374118824,73038.32163259228,80000000.0,0.8159610832023729
T0EXP5_cutadapt_1,30402,14461037,0.0021023388571649463,41009.28064825835,80000000.0,0.803104996951755
T0VapC2_cutadapt_1,19066,7842887,0.0024309925668953283,65392.01459500421,100000000.0,0.7738013279001703
T0VapC3_cutadapt_1,13184,6325999,0.002084097705358474,94566.4555725387,100000000.0,0.8141332267037554
T0VapC4_cutadapt_1,17440,8171900,0.002134142610653581,71488.7700841944,100000000.0,0.8173781392757511
T0VapC5_cutadapt_1,12628,9149519,0.001380181843438983,98730.13543461755,100000000.0,0.8174028701936927
T1CASP2_cutadapt_1,20257,15529051,0.0013044583342536513,61547.32439494251,300000000.0,0.8025432839260712
T1CASP4_cutadapt_1,16009,20195686,0.000792694043668534,77878.95248100134,300000000.0,0.8180898411116649
T1CASP5_cutadapt_1,11932,14888694,0.0008014134752181756,104489.11752165189,300000000.0,0.833894702223296
T2CASP2_cutadapt_1,15385,12373942,0.001243338622405051,81037.64382634712,300000000.0,0.8358161596039463
T2CASP4_cutadapt_1,12154,12814593,0.0009484499429673654,102580.56197699114,300000000.0,0.8389721446243916
T2CASP5_cutadapt_1,13844,17525238,0.0007899464760478574,90058.0865550672,300000000.0,0.8292251109238812
T2VapC2_cutadapt_1,7325,4752605,0.0015412600037242733,170206.7099342458,100000000.0,0.8351487290404633
T2VapC3_cutadapt_1,15410,9668409,0.0015938506531943362,80906.17457938679,100000000.0,0.7988701518788275
T2VapC4_cutadapt_1,19962,18265638,0.0010928717628149644,62456.875577013845,100000000.0,0.8286403256175371
T2VapC5_cutadapt_1,7131,10020614,0.0007116330396520613,174837.21080750952,100000000.0,0.7011601438127477
T3VapC2_cutadapt_1,6391,14896586,0.0004290244758094237,195081.23146117202,100000000.0,0.7527448413491211
T3VapC3_cutadapt_1,9154,18493042,0.0004949969831896775,136198.83660349032,100000000.0,0.8118075925533331
T3VapC4_cutadapt_1,13725,25010051,0.0005487793687425907,90838.91805233882,100000000.0,0.8082499723904065
T3VapC5_cutadapt_1,10474,28558292,0.00036675862828211157,119034.19422077051,100000000.0,0.8328703041247226
