feature,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
3'ETS-leuZ,0.14831039393061726,0.15009587828473345,0.16482337345763606,3.55306295954547,5.86497722709716,5.2199688105151845,2.853053596780034,3.756179615341237,3.4586266966733255,4.648214776261795,0.17376861254172102,0.19781253930174342,0.24206645559182688,0.18719695723886184,0.21678692097804128,0.3143027220771845,5.210027391087264,5.844662051614902,7.912036998096115,14.13034337746292,9.999863924699678,8.821598646808068,7.679522132144724,12.19386285597573
C0293,0.000398683854652197,0.00032278683502093216,0.0,0.013525908590830048,0.011868727265296246,0.011277552178271045,0.011116642481150716,0.009456645557253871,0.005719101606735552,0.01974602708692351,0.0004103154959662834,0.00025959650827000444,0.0,0.0008103764382634711,0.00034193520658997047,0.0,0.018722738092767036,0.007281555712144811,0.004996550046161108,0.00699348843230038,0.052671932494516446,0.044945616079151804,0.049053015748262964,0.04047162603506198
ERCC-00002,1.7906885331703428,1.7921125080362152,1.7842373040305985,6.820149566027675,6.807171576157601,6.710656162079375,5.209127882638035,5.267351575390405,5.325913371272483,5.298846368775924,1.8162615428947537,1.6388327567085381,1.7752701066928658,1.771482894043948,1.7671211476569675,1.76874081994152,5.257685269868852,5.408577770632007,5.2769814175019,5.175181439902282,5.64760165080093,5.408455801524601,5.403098845753113,5.431530282293759
ERCC-00003,0.05860652663387296,0.047449664748077026,0.06703033065958873,0.18511172042878835,0.2300707131426657,0.21119779533853048,0.15890259546586025,0.16359996814049196,0.17157304820206656,0.17376503836492688,0.050673963751836,0.06126477595172105,0.055030935228069996,0.049703088213492896,0.049922540162135695,0.0561362072859919,0.20595011902043742,0.19498388073632214,0.16426158276754643,0.1381213965379325,0.15021254822510247,0.1852304177807468,0.17713589020206072,0.14522171694934002
ERCC-00004,0.0265124763343711,0.02420901262656991,0.022019625530686152,0.09700008732280976,0.10316662930603661,0.09944750557202649,0.07193121605450463,0.09834911379544026,0.08507163640019133,0.09478093001723285,0.02379829876604444,0.034007142583370585,0.019156338212302844,0.02323079123021951,0.025645140494247785,0.023415102504317473,0.06808268397369832,0.07443368061303585,0.06807799437894509,0.10315395437643063,0.05657355712373989,0.07082339503381496,0.07357952362239445,0.07261085847467001
ERCC-00009,0.03727694040998042,0.04874081208816076,0.03238180225100905,0.1530359943419628,0.1479026013059994,0.13174231408252993,0.11378210539530734,0.10875142390841952,0.11009270592965938,0.11156505304111783,0.04144186509259462,0.044391002914170766,0.03796437936620019,0.03484618684532926,0.0324838446260472,0.03602323462202688,0.13105916664936926,0.12216832361487405,0.11429608230593534,0.12238604756525666,0.11314711424747978,0.126664918041246,0.11082348002385337,0.10951145868310887
ERCC-00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00013,0.0001993419273260985,0.0,0.0,0.0,0.0,0.001537848024309688,0.0,0.0,0.001429775401683888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00014,0.0009967096366304926,0.001936721010125593,0.0,0.001932272655832864,0.0018259580408148072,0.004100928064825835,0.005885281313550379,0.0,0.0021446631025258322,0.0,0.0006154732439494252,0.0005191930165400089,0.0006965941168110126,0.0,0.0006838704131799409,0.0009005808655506719,0.005106201298027374,0.0032362469831754715,0.0018737062673104153,0.00349674421615019,0.0,0.005447953464139612,0.0009083891805233882,0.0023806838844154105
ERCC-00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00019,0.0,0.00032278683502093216,0.0,0.0011593635934997182,0.0,0.0,0.0006539201459500421,0.0018913291114507741,0.0,0.0009873013543461756,0.0006154732439494252,0.00025959650827000444,0.0003482970584055063,0.0,0.0,0.0,0.0,0.0,0.0006245687557701385,0.001748372108075095,0.0,0.0,0.0009083891805233882,0.0
ERCC-00022,0.01594735418608788,0.013879833905900082,0.014895629035464162,0.0626056340489848,0.042910013959147966,0.049723752786013244,0.0372734483191524,0.03120693033893777,0.048612363657252196,0.023695232504308213,0.011283676139072793,0.016094983512740278,0.019852932329113858,0.01107514465626744,0.01607095470972861,0.01591026195806187,0.04255167748356145,0.03883496379810566,0.03809869410197845,0.03321907005342681,0.035114621663010964,0.03813567424897729,0.043602680665122635,0.04880401963051591
ERCC-00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00025,0.005581573965130758,0.0048418025253139825,0.007771632540242172,0.014298817653163194,0.008216811183666631,0.019479408307922715,0.0071931216054504634,0.014184968335880805,0.011438203213471105,0.014809520315192632,0.004513470455629117,0.005711123181940099,0.004876158817677088,0.0035116312324750417,0.005812898512029498,0.005403485193304032,0.02382893939079441,0.016181234915877356,0.0162387876500236,0.024477209513051334,0.015606498516893762,0.014981872026383935,0.014534226888374212,0.017855129133115575
ERCC-00028,0.0001993419273260985,0.0,0.0,0.0007729090623331455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016181234915877358,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00031,0.0,0.0,0.0,0.0,0.0009129790204074036,0.0005126160081032294,0.0006539201459500421,0.0,0.0,0.0,0.0002051577479831417,0.0,0.0003482970584055063,0.0,0.0006838704131799409,0.0,0.0,0.0,0.001249137511540277,0.0,0.0,0.0,0.0,0.0
ERCC-00033,0.0001993419273260985,0.0,0.0,0.00038645453116657275,0.0,0.0,0.0006539201459500421,0.0,0.0,0.0,0.0,0.0005191930165400089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00034,0.0001993419273260985,0.00032278683502093216,0.001942908135060543,0.006183272498665164,0.007303832163259229,0.0025630800405161466,0.0019617604378501263,0.0009456645557253871,0.005719101606735552,0.004936506771730877,0.0004103154959662834,0.0007787895248100135,0.0017414852920275316,0.0013506273971057854,0.0013677408263598819,0.0018011617311013439,0.003404134198684916,0.0032362469831754715,0.0037474125346208306,0.010490232648450571,0.0,0.001361988366034903,0.00999228098575727,0.004761367768830821
