,CASP biorep1 400min,CASP biorep1 511min,CASP biorep1 621min,EXP biorep2
ERCC-00069,50,63,58,16
ERCC-00083,1,3,5,2
ERCC-00164,11,4,19,4
ERCC-00048,2,0,0,0
ERCC-00163,158,137,140,41
ERCC-00108,18005,15656,16623,3934
ERCC-00028,98,59,83,30
ERCC-00002,353051,287444,326915,78704
ERCC-00134,1,2,2,0
ERCC-00003,28170,22239,32886,6360
ERCC-00071,659,518,647,150
ERCC-00043,7726,5771,7957,1610
ERCC-00113,82196,67124,80266,19553
ERCC-00054,1,0,1,1
ERCC-00044,2788,2241,2690,601
ERCC-00034,402,340,378,92
ERCC-00033,35,33,61,8
ERCC-00137,7,7,4,0
ERCC-00053,583,459,647,101
ERCC-00095,1909,1767,2073,429
ERCC-00165,1188,990,1126,271
ERCC-00035,2387,1812,2346,555
ERCC-00073,14,17,7,5
ERCC-00156,2,0,1,0
ERCC-00017,3,0,3,0
ERCC-00039,51,35,50,18
ERCC-00098,2,5,5,2
ERCC-00130,605791,403626,599368,136154
ERCC-00104,5,3,6,1
ERCC-00145,11031,8619,10330,2427
ERCC-00160,265,231,263,64
ERCC-00076,1260,1094,1266,304
ERCC-00138,1,2,1,0
ERCC-00074,160974,132522,186259,38845
ERCC-00154,41,16,70,15
ERCC-00142,1,0,1,1
ERCC-00024,1,0,5,0
ERCC-00131,2642,2185,2672,609
ERCC-00051,76,51,105,18
ERCC-00147,5,0,2,2
ERCC-00143,69,57,79,14
ERCC-00123,9,10,5,7
ERCC-00016,1,2,4,0
ERCC-00099,402,278,388,86
ERCC-00120,7,1,7,2
ERCC-00162,578,458,712,134
ERCC-00075,1,1,1,0
ERCC-00019,423,388,400,111
ERCC-00112,3531,3234,3601,752
ERCC-00014,150,115,161,28
ERCC-00077,10,9,8,2
ERCC-00067,34,24,37,6
ERCC-00059,141,123,161,48
ERCC-00109,6,9,3,0
ERCC-00025,3060,2624,3128,681
ERCC-00097,6,10,7,2
ERCC-00096,514832,439481,522906,117856
ERCC-00009,14451,12936,13115,3092
ERCC-00013,16,14,13,2
ERCC-00040,16,12,11,2
ERCC-00081,3,1,3,1
ERCC-00171,33963,23999,33699,7994
ERCC-00031,37,30,24,10
ERCC-00136,28417,23838,26583,6300
ERCC-00057,0,0,0,0
ERCC-00157,250,244,238,62
ERCC-00022,2494,2137,2669,641
