gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
wrbA	GO:0006979 - response to oxidative stress	GO:0005829 - cytosol; GO:0016020 - membrane; GO:0032991 - protein-containing complex	GO:0000166 - nucleotide binding; GO:0003955 - NAD(P)H dehydrogenase (quinone) activity; GO:0008753 - NADPH dehydrogenase (quinone) activity; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0042802 - identical protein binding; GO:0050136 - NADH dehydrogenase (quinone) (non-electrogenic) activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0050661 - NADP binding; GO:0051287 - NAD binding
yccJ		GO:0005829 - cytosol	
puuE	GO:0009447 - putrescine catabolic process; GO:0009448 - gamma-aminobutyric acid metabolic process; GO:0009450 - gamma-aminobutyric acid catabolic process	GO:0005829 - cytosol	GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0034386 - 4-aminobutyrate:2-oxoglutarate transaminase activity
puuB	GO:0009447 - putrescine catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0016491 - oxidoreductase activity
puuC	GO:0009447 - putrescine catabolic process	GO:0005829 - cytosol	GO:0004029 - aldehyde dehydrogenase (NAD+) activity; GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0033721 - aldehyde dehydrogenase (NADP+) activity
puuR	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0009447 - putrescine catabolic process	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
puuD	GO:0006598 - polyamine catabolic process; GO:0009447 - putrescine catabolic process	GO:0005829 - cytosol	GO:0016787 - hydrolase activity; GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0033969 - gamma-glutamyl-gamma-aminobutyrate hydrolase activity
speG	GO:0006598 - polyamine catabolic process; GO:0015936 - coenzyme A metabolic process; GO:0046203 - spermidine catabolic process; GO:0046208 - spermine catabolic process	GO:0005737 - cytoplasm; GO:0032991 - protein-containing complex; GO:1990235 - diamine N-acetyltransferase complex	GO:0000287 - magnesium ion binding; GO:0004145 - diamine N-acetyltransferase activity; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
ynfB		GO:0009279 - cell outer membrane	GO:0005515 - protein binding
sodC	GO:0006801 - superoxide metabolic process; GO:0019430 - removal of superoxide radicals	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0004784 - superoxide dismutase activity; GO:0005507 - copper ion binding; GO:0008270 - zinc ion binding; GO:0016209 - antioxidant activity; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding
csrA	GO:0006109 - regulation of carbohydrate metabolic process; GO:0006402 - mRNA catabolic process; GO:0006417 - regulation of translation; GO:0017148 - negative regulation of translation; GO:0045947 - negative regulation of translational initiation; GO:0045948 - positive regulation of translational initiation; GO:0048255 - mRNA stabilization	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003723 - RNA binding; GO:0048027 - mRNA 5'-UTR binding
dkgA	GO:0051596 - methylglyoxal catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004032 - aldose reductase (NADPH) activity; GO:0008106 - alcohol dehydrogenase (NADP+) activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0050580 - 2,5-didehydrogluconate reductase activity; GO:1990002 - methylglyoxal reductase (NADPH) (acetol producing) activity
ravA	GO:0080135 - regulation of cellular response to stress	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane	GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016787 - hydrolase activity; GO:0016887 - ATP hydrolysis activity; GO:0042802 - identical protein binding
viaA		GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0005515 - protein binding
ydhT			
ydhU	GO:0022904 - respiratory electron transport chain	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0009055 - electron transfer activity; GO:0020037 - heme binding; GO:0046872 - metal ion binding
ydhX		GO:0030288 - outer membrane-bounded periplasmic space	GO:0042279 - nitrite reductase (cytochrome, ammonia-forming) activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
ydhW		GO:0005829 - cytosol	
ydhV		GO:0005829 - cytosol	GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0016625 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor; GO:0043546 - molybdopterin cofactor binding; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
ydhY		GO:0005829 - cytosol	GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding
artM	GO:0006865 - amino acid transport; GO:0055085 - transmembrane transport; GO:0097638 - L-arginine import across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0022857 - transmembrane transporter activity
artQ	GO:0006865 - amino acid transport; GO:0055085 - transmembrane transport; GO:0097638 - L-arginine import across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0022857 - transmembrane transporter activity
artI	GO:0006865 - amino acid transport; GO:0034220 - monoatomic ion transmembrane transport; GO:0097638 - L-arginine import across plasma membrane	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0015276 - ligand-gated monoatomic ion channel activity; GO:0016597 - amino acid binding
artP	GO:0003333 - amino acid transmembrane transport; GO:0006865 - amino acid transport; GO:0097638 - L-arginine import across plasma membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015424 - ABC-type amino acid transporter activity; GO:0015426 - ATPase-coupled polar amino acid-transporter activity; GO:0016887 - ATP hydrolysis activity; GO:0042626 - ATPase-coupled transmembrane transporter activity
phr	GO:0000719 - photoreactive repair; GO:0006281 - DNA repair; GO:0006974 - DNA damage response; GO:0007603 - phototransduction, visible light; GO:0009416 - response to light stimulus	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003684 - damaged DNA binding; GO:0003904 - deoxyribodipyrimidine photo-lyase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0071949 - FAD binding
ybgA		GO:0005829 - cytosol	
ecnB	GO:0009636 - response to toxic substance	GO:0005886 - plasma membrane; GO:0016020 - membrane	
ygiC		GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0046872 - metal ion binding
ygiB	GO:0044010 - single-species biofilm formation	GO:0009279 - cell outer membrane	
tolC	GO:0009410 - response to xenobiotic stimulus; GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0034220 - monoatomic ion transmembrane transport; GO:0042930 - enterobactin transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport; GO:0140330 - xenobiotic detoxification by transmembrane export across the cell outer membrane; GO:1990961 - xenobiotic detoxification by transmembrane export across the plasma membrane	GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0019867 - outer membrane; GO:0098567 - periplasmic side of plasma membrane; GO:1990196 - MacAB-TolC complex; GO:1990281 - efflux pump complex	GO:0005216 - monoatomic ion channel activity; GO:0005515 - protein binding; GO:0015125 - bile acid transmembrane transporter activity; GO:0015288 - porin activity; GO:0015562 - efflux transmembrane transporter activity; GO:0042802 - identical protein binding; GO:0042931 - enterobactin transmembrane transporter activity
ymjE			
puuP	GO:0006865 - amino acid transport; GO:0006974 - DNA damage response; GO:0009447 - putrescine catabolic process; GO:0015847 - putrescine transport; GO:0055085 - transmembrane transport; GO:1902600 - proton transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015293 - symporter activity; GO:0015295 - solute:proton symporter activity; GO:0015489 - putrescine transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
puuA	GO:0006542 - glutamine biosynthetic process; GO:0006598 - polyamine catabolic process; GO:0009447 - putrescine catabolic process	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004356 - glutamine synthetase activity; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0016879 - ligase activity, forming carbon-nitrogen bonds; GO:0034024 - glutamate-putrescine ligase activity
hofM	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization		
hofN	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization	GO:0005886 - plasma membrane	
hofO	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization	GO:0005886 - plasma membrane	
hofP	GO:0006308 - DNA catabolic process; GO:0015976 - carbon utilization		
