sample,condition
T0CASP2_cutadapt_1,casp-t0
T0CASP4_cutadapt_1,casp-t0
T0CASP5_cutadapt_1,casp-t0
T0EXP2_cutadapt_1,exp-t0
T0EXP4_cutadapt_1,exp-t0
T0EXP5_cutadapt_1,exp-t0
T0VapC2_cutadapt_1,vapc-t0
T0VapC3_cutadapt_1,vapc-t0
T0VapC4_cutadapt_1,vapc-t0
T0VapC5_cutadapt_1,vapc-t0
T1CASP2_cutadapt_1,casp-t1
T1CASP4_cutadapt_1,casp-t1
T1CASP5_cutadapt_1,casp-t1
T2CASP2_cutadapt_1,casp-t2
T2CASP4_cutadapt_1,casp-t2
T2CASP5_cutadapt_1,casp-t2
T2VapC2_cutadapt_1,vapc-t2
T2VapC3_cutadapt_1,vapc-t2
T2VapC4_cutadapt_1,vapc-t2
T2VapC5_cutadapt_1,vapc-t2
T3VapC2_cutadapt_1,vapc-t3
T3VapC3_cutadapt_1,vapc-t3
T3VapC4_cutadapt_1,vapc-t3
T3VapC5_cutadapt_1,vapc-t3
