position,track_id,trench,halt_frame,halt_time_h,n_frames,glitch_frames
Pos7,r11c15,11,20,3.3333333333333335,28,
Pos7,r11c16,11,22,3.6666666666666665,31,
Pos7,r16c1,16,24,4.0,33,
Pos7,r16c10,16,24,4.0,25,
Pos7,r16c11,16,21,3.5,31,
Pos7,r16c9,16,22,3.6666666666666665,15,
Pos7,r18c15,18,24,4.0,34,
Pos7,r18c16,18,20,3.3333333333333335,15,
Pos7,r18c35,18,35,5.833333333333333,16,
Pos7,r19c19,19,20,3.3333333333333335,19,
Pos7,r19c21,19,22,3.6666666666666665,19,
Pos7,r19c23,19,20,3.3333333333333335,35,
Pos7,r19c26,19,21,3.5,33,
Pos7,r24c1,24,20,3.3333333333333335,33,
Pos7,r24c14,24,29,4.833333333333333,35,
Pos7,r26c18,26,20,3.3333333333333335,36,
Pos7,r26c22,26,21,3.5,32,
Pos7,r26c24,26,20,3.3333333333333335,16,
Pos7,r28c16,28,19,3.1666666666666665,19,
Pos7,r28c17,28,24,4.0,20,
Pos7,r28c20,28,22,3.6666666666666665,11,
Pos7,r28c21,28,24,4.0,29,
Pos7,r29c17,29,20,3.3333333333333335,19,
Pos7,r29c24,29,21,3.5,32,
Pos7,r29c47,29,37,6.166666666666667,7,
Pos7,r2c20,2,22,3.6666666666666665,16,
Pos7,r2c25,2,20,3.3333333333333335,15,
Pos7,r2c27,2,22,3.6666666666666665,9,
Pos7,r6c17,6,20,3.3333333333333335,16,
Pos7,r6c27,6,22,3.6666666666666665,12,
Pos7,r7c18,7,22,3.6666666666666665,30,
Pos7,r7c24,7,22,3.6666666666666665,35,
Pos7,r8c34,8,24,4.0,27,
Pos8,r11c38,11,21,3.5,24,
Pos8,r13c21,13,19,3.1666666666666665,9,
Pos8,r13c8,13,21,3.5,29,
Pos8,r15c26,15,22,3.6666666666666665,29,
Pos8,r16c22,16,23,3.8333333333333335,18,
Pos8,r18c14,18,22,3.6666666666666665,24,
Pos8,r18c27,18,22,3.6666666666666665,21,
Pos8,r21c19,21,22,3.6666666666666665,17,
Pos8,r21c21,21,20,3.3333333333333335,18,
Pos8,r26c5,26,20,3.3333333333333335,32,
Pos8,r27c13,27,27,4.5,17,
Pos8,r2c20,2,21,3.5,19,
Pos8,r2c34,2,23,3.8333333333333335,23,
Pos8,r3c32,3,23,3.8333333333333335,14,
Pos8,r4c14,4,21,3.5,25,
Pos8,r4c34,4,38,6.333333333333333,11,
Pos8,r4c6,4,19,3.1666666666666665,28,
Pos8,r4c8,4,20,3.3333333333333335,26,
Pos8,r6c21,6,23,3.8333333333333335,13,
Pos8,r9c10,9,29,4.833333333333333,14,
Pos8,r9c7,9,24,4.0,26,
Pos8,r9c8,9,27,4.5,30,
Pos9,r16c27,16,19,3.1666666666666665,11,21;22;25;31
Pos9,r20c2,20,23,3.8333333333333335,27,21;22;25;31
Pos9,r25c26,25,24,4.0,6,21;22;25;31
Pos9,r28c39,28,20,3.3333333333333335,8,21;22;25;31
Pos9,r2c7,2,24,4.0,19,21;22;25;31
Pos9,r4c16,4,19,3.1666666666666665,19,21;22;25;31
Pos9,r6c23,6,23,3.8333333333333335,16,21;22;25;31
Pos9,r8c27,8,20,3.3333333333333335,13,21;22;25;31
Pos9,r8c30,8,20,3.3333333333333335,8,21;22;25;31
