position,trench,track_id,event_type,frame,time_h,time_h_post_drug,has_time,G,D,daughters,L_pre,L_products,delta_dip,n_obs,confirmed_by
Pos7,7,r7c1,division,6.0,1.0,-2.0,True,,,r7c12,140.7528055578202,140.75171643536737,1.5291335852638928,,mask+YFP
Pos7,18,r18c4,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r18c7,114.39840434319656,116.71716547342174,0.6986365569547638,,mask+YFP
Pos7,16,r16c2,division,8.0,1.3333333333333333,-1.6666666666666667,True,,,r16c4,136.1281405909046,145.66219064809292,0.3938841359828882,,mask+YFP
Pos7,16,r16c4,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r16c6,119.302225207884,131.39492836177365,1.17124618226539,,mask+YFP
Pos7,16,r16c1,division,14.0,2.3333333333333335,-0.6666666666666666,True,,,r16c7,106.35890085017655,110.2862815874158,0.3242989262542045,,mask+YFP
Pos7,28,r28c16,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.0159112519718926,0.0,,,,,14.0,fate=HALTED
Pos7,11,r11c15,halt,20.0,3.3333333333333335,0.3333333333333333,True,0.0356228623045966,0.0,,,,,16.0,fate=HALTED
Pos7,19,r19c23,halt,20.0,3.3333333333333335,0.3333333333333333,True,0.0177167214094406,0.0,,,,,16.0,fate=HALTED
Pos7,26,r26c18,halt,20.0,3.3333333333333335,0.3333333333333333,True,0.0822833036662933,0.0,,,,,16.0,fate=HALTED
Pos7,26,r26c24,halt,20.0,3.3333333333333335,0.3333333333333333,True,-0.3322795954775936,0.0,,,,,14.0,fate=HALTED
Pos7,2,r2c25,halt,20.0,3.3333333333333335,0.3333333333333333,True,-0.0760532035778336,0.0,,,,,14.0,fate=HALTED
Pos7,16,r16c11,halt,21.0,3.5,0.5,True,0.0645276361043838,0.0,,,,,16.0,fate=HALTED
Pos7,19,r19c26,halt,21.0,3.5,0.5,True,0.1237835815976264,0.0,,,,,16.0,fate=HALTED
Pos7,26,r26c22,halt,21.0,3.5,0.5,True,0.1313911875861553,0.0,,,,,16.0,fate=HALTED
Pos7,29,r29c24,halt,21.0,3.5,0.5,True,0.1162757869481492,0.0,,,,,16.0,fate=HALTED
Pos7,11,r11c16,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0105700764079603,0.0,,,,,16.0,fate=HALTED
Pos7,7,r7c18,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0948888993131129,0.0,,,,,16.0,fate=HALTED
Pos7,7,r7c24,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.0813565326234062,0.0,,,,,16.0,fate=HALTED
Pos7,16,r16c10,halt,24.0,4.0,1.0,True,-0.3070336384689818,0.0,,,,,16.0,fate=HALTED
Pos7,18,r18c15,halt,24.0,4.0,1.0,True,0.0017448817693148,0.0,,,,,16.0,fate=HALTED
Pos7,28,r28c21,halt,24.0,4.0,1.0,True,-0.0129253323001883,0.0,,,,,15.0,fate=HALTED
Pos7,8,r8c34,halt,24.0,4.0,1.0,True,-0.1044844211011244,0.0,,,,,13.0,fate=HALTED
Pos7,24,r24c18,halt,,,,False,0.0732383571328765,0.0,,,,,16.0,fate=HALTED
Pos7,26,r26c23,halt,,,,False,-0.0750824862707109,0.0,,,,,15.0,fate=HALTED
Pos7,2,r2c15,halt,,,,False,-0.0539803995987906,0.0,,,,,16.0,fate=HALTED
Pos8,25,r25c2,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r25c4,106.22437811117902,112.5480452829948,0.4185621264456277,,mask+YFP
Pos8,4,r4c6,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r4c14,91.10628638163207,91.24657296941383,0.6161134984933998,,mask+YFP
Pos8,4,r4c8,division,13.0,2.1666666666666665,-0.8333333333333334,True,,,r4c15,99.12308743310008,102.91227145119213,1.0234106200589346,,mask+YFP
Pos8,25,r25c4,division,14.0,2.3333333333333335,-0.6666666666666666,True,,,r25c8,112.37002012807052,116.83391720961086,0.5382472269223068,,mask+YFP
Pos8,25,r25c5,division,14.0,2.3333333333333335,-0.6666666666666666,True,,,r25c7,99.98711995823052,105.22203976515048,0.3180526147476714,,mask+YFP
Pos8,27,r27c5,division,14.0,2.3333333333333335,-0.6666666666666666,True,,,r27c9,101.03712212475416,110.69582245496152,0.2722633748917192,,mask+YFP
Pos8,9,r9c6,division,16.0,2.6666666666666665,-0.3333333333333333,True,,,r9c8,132.74508965717158,137.22788697861793,0.4963602494293685,,mask+YFP
Pos8,9,r9c7,division,17.0,2.8333333333333335,-0.16666666666666666,True,,,r9c9,134.91870561257423,144.34470633476457,0.313574376391081,,mask+YFP
Pos8,4,r4c6,halt,19.0,3.1666666666666665,0.16666666666666666,True,0.135483057726709,0.0,,,,,14.0,fate=HALTED
Pos8,26,r26c5,halt,20.0,3.3333333333333335,0.3333333333333333,True,-0.16839979937351,0.0,,,,,15.0,fate=HALTED
Pos8,11,r11c38,halt,21.0,3.5,0.5,True,0.0265255357444429,0.0,,,,,16.0,fate=HALTED
Pos8,13,r13c8,halt,21.0,3.5,0.5,True,-0.0087665528972591,0.0,,,,,15.0,fate=HALTED
Pos8,4,r4c14,halt,21.0,3.5,0.5,True,0.0664582801567243,0.0,,,,,16.0,fate=HALTED
Pos8,15,r15c26,halt,22.0,3.6666666666666665,0.6666666666666666,True,-0.2936046097334066,0.0,,,,,16.0,fate=HALTED
Pos8,18,r18c14,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0718293126372016,0.0,,,,,15.0,fate=HALTED
Pos8,18,r18c27,halt,22.0,3.6666666666666665,0.6666666666666666,True,0.0094405428098465,0.0,,,,,15.0,fate=HALTED
Pos8,2,r2c34,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0220212028398383,0.0,,,,,14.0,fate=HALTED
Pos8,9,r9c7,halt,24.0,4.0,1.0,True,0.0704108387222337,0.0,,,,,14.0,fate=HALTED
Pos8,27,r27c13,halt,27.0,4.5,1.5,True,-0.0052593859444964,0.0,,,,,15.0,fate=HALTED
