T0,,,T1,,,T2,,,T3,,,,,previous exp,
G2,ERM1,ERM2,G2,B2,B5,G8,ERM1,ERM2,G8,D2,D5,ERM1,ERM2,B6,B6
CASP2,VAPC2,VAPC2,CASP2+SDS20,VAPC2+SDS20,VAPC2+SDS20,CASP24,VAPC24,VAPC24,CASP24+SDS20,VAPC24+SDS20,VAPC24+SDS20,VAPC44,VAPC44,CASP24,CASP24+SDS20
59,89,50,80,24,28,71,116,108,74,11,12,100,80,127,146
50,85,75,84,22,29,68,102,95,82,13,4,94,72,141,152
54.5,87,62.5,82,23,28.5,69.5,109,101.5,78,12,8,97,76,134,149
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Survival,CASP2,VAPC2_1,VAPC2_2,,,CASP24_1,CASP24_2,VAPC24_1,VAPC24_2,VAPC44_1,VAPC44_2,,,,
mean,1.504587156,0.264367816,0.456,,,1.111940299,1.122302158,0.110091743,0.078817734,0.889908257,0.748768473,,,,
error,0.185936007,0.043829487,0.072879956,,,0.094480566,0.130903454,0.023677103,0.020466237,0.087834419,0.080314122,,,,
,,,0.360183908,,,,1.117121228,,0.094454739,,0.819338365,,,,
,,,0.113123735,,,,0.114271553,,0.027097084,,0.109830466,,,,
