GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,1.0784338510555488e-22,1.7352000663483782e-19,"P76299,P31068,P52612,P02925,P0A9H9,P0ABX8,P07018,P27550,P0ABX5,P0ABX2,P75938,P0ABW9,P0AE67,P0A964,P06974,P15070,P0ABZ1,P05704,P07017,P22586,P0AC05,P23847,P0AEE5,P02942",e,3,"(24, 199)","(33, 3138)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,9.131815159159246e-20,7.346545295543614e-17,"P76299,P31068,P52612,P0ABX8,P26608,P29744,P0ABX5,P76010,P0ABX2,P0ABY2,P75938,P0AEM6,P0A6S0,P0ABW9,P75933,P24216,P06974,P25798,P52614,P15070,P0ABZ1,P22586,P0AC05",e,5,"(23, 199)","(36, 3138)",{'GO:0097588'}
GO:0044781,bacterial-type flagellum organization,BP,1.4350655548629642e-11,7.696734925915032e-09,"P52614,P43533,P76299,P22586,P0AC05,P31068,P0AEM4,P52612,P0ABY2,P75936,P75933,P26608",e,5,"(12, 199)","(17, 3138)","{'GO:0006996', 'GO:0030030'}"
GO:0006099,tricarboxylic acid cycle,BP,2.6156799176598893e-11,1.0521572468786905e-08,"P08997,P0AC38,P0A9P0,P08200,P69054,P0ABH7,P33940,P36683,P0A9G6,P0A836,P0AFG6,P07014,P0AC33,P61889",e,3,"(14, 199)","(25, 3138)",{'GO:0044238'}
GO:0009060,aerobic respiration,BP,2.4638198588960254e-10,7.92857230592741e-08,"P0ABI8,P0ABJ6,P69054,P0AFD6,P0AFC7,P31979,P0AFE8,P0AFF0,P0ABJ1,P13035,P07014,P0AFD4",e,6,"(12, 199)","(20, 3138)",{'GO:0045333'}
GO:0022904,respiratory electron transport chain,BP,2.230389265335638e-09,5.981160546541736e-07,"P0ABI8,P0AEL0,P0AFD6,P0AFC7,P31979,P0AFE8,P0AFF0,P33599,P0AFC3,P07014,P33607,P0AFD4",e,5,"(12, 199)","(23, 3138)",{'GO:0022900'}
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,9.212412789891247e-09,2.1175388827050023e-06,"P15070,P0ABZ1,P22586,P0ABX8,P0A9H9,P0A6S0,P0AE67,P06974",e,4,"(8, 199)","(10, 3138)",{'GO:0001539'}
GO:0015990,electron transport coupled proton transport,BP,1.203336001909941e-07,2.420209533841369e-05,"P0ABI8,P0ABJ6,P0AFC7,P0AFE8,P0AFF0,P0ABJ1,P33607",e,9,"(7, 199)","(9, 3138)",{'GO:0015988'}
GO:0019402,galactitol metabolic process,BP,9.781267275974268e-07,0.00017486732274491775,"P0A9S3,P69828,P0C8J6,P37188,P0C8J8",e,7,"(5, 199)","(5, 3138)",{'GO:0006059'}
GO:0006754,ATP biosynthetic process,BP,1.5215353086805477e-06,0.00022255911924245466,"P0ABA6,P52612,P0AB98,P68699,P0A6E6,P0ABB4",e,10,"(6, 199)","(8, 3138)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,1.5215353086805477e-06,0.00022255911924245466,"P0ABA6,P52612,P0AB98,P68699,P0A6E6,P0ABB4",e,11,"(6, 199)","(8, 3138)",{'GO:0006754'}
