GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.4988542771275697e-14,4.02065653189826e-11,"P31068,P0ABX8,P26608,P0ABX5,P76010,P0ABX2,P0ABY2,P75938,P0AC07,P52613,P0A6S0,P75942,P0ABW9,P75933,P06974,P25798,P52614,P0ABZ1,P0AC05",e,5,"(19, 199)","(36, 3138)",{'GO:0097588'}
GO:0006935,chemotaxis,BP,5.806386468135106e-14,4.671237913614693e-11,"P52613,P0ABZ1,P05704,P07017,P0ABX5,P0ABX2,P0AC05,P31068,P02925,P0ABX8,P0ABW9,P07018,P75938,P0AC07,P23847,P27550,P06974,P0AEE5",e,3,"(18, 199)","(33, 3138)",{'GO:0042330'}
GO:0022904,respiratory electron transport chain,BP,2.230389265335638e-09,1.1962321093083473e-06,"P06149,P0AFE0,P0ABI8,P0AEL0,P0AFC7,P31979,P0AAJ5,P0AFE8,P33599,P0AFC3,P07014,P0AFD4",e,5,"(12, 199)","(23, 3138)",{'GO:0022900'}
GO:0006099,tricarboxylic acid cycle,BP,7.657888953523101e-09,3.080385831554668e-06,"P0AC33,P08997,P0AC38,P08200,P69054,P0ABH7,P0A9G6,P0A836,P0AFG6,P07014,P11071,P61889",e,3,"(12, 199)","(25, 3138)",{'GO:0044238'}
GO:0009060,aerobic respiration,BP,8.910515358877222e-08,2.86740384248669e-05,"P06149,P0ABJ3,P0ABI8,P0ABJ6,P69054,P0AFC7,P31979,P0AFE8,P07014,P0AFD4",e,6,"(10, 199)","(20, 3138)",{'GO:0045333'}
GO:0044781,bacterial-type flagellum organization,BP,2.1668094490060928e-07,5.8106606724180054e-05,"P52614,P52613,P0AC05,P0ABY2,P31068,P75942,P75936,P75933,P26608",e,5,"(9, 199)","(17, 3138)","{'GO:0006996', 'GO:0030030'}"
GO:0019402,galactitol metabolic process,BP,9.781267275974268e-07,0.00022482941495775139,"P0A9S3,P69828,P0C8J6,P37188,P0C8J8",e,7,"(5, 199)","(5, 3138)",{'GO:0006059'}
GO:0015990,electron transport coupled proton transport,BP,9.975010868732971e-05,0.020062240609739188,"P0ABJ3,P0ABI8,P0ABJ6,P0AFC7,P0AFE8",e,9,"(5, 199)","(9, 3138)",{'GO:0015988'}
GO:0006546,glycine catabolic process,BP,0.00025144382862507075,0.0337144266881449,"P0A825,P33195,P27248",e,10,"(3, 199)","(3, 3138)","{'GO:0009071', 'GO:0006544'}"
GO:0015761,mannose transmembrane transport,BP,0.00025144382862507075,0.0337144266881449,"P69801,P69797,P69805",e,8,"(3, 199)","(3, 3138)",{'GO:0008645'}
GO:0050918,positive chemotaxis,BP,0.00025144382862507075,0.0337144266881449,"P06974,P02925,P23847",e,4,"(3, 199)","(3, 3138)",{'GO:0006935'}
GO:0019404,galactitol catabolic process,BP,0.00025144382862507075,0.0337144266881449,"P0C8J6,P0A9S3,P0C8J8",e,8,"(3, 199)","(3, 3138)","{'GO:0019407', 'GO:0019402'}"
GO:0019646,aerobic electron transport chain,BP,0.00032919021923422716,0.04074362021137473,"P0ABJ3,P0ABI8,P0ABJ6,P69054,P07014",e,7,"(5, 199)","(11, 3138)","{'GO:0022904', 'GO:0009060'}"
