GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,1.5848121986353584e-24,2.771836535413242e-21,"P0AEE5,P52613,P06974,P0A964,P0AC05,P07330,P27550,P0ABX8,P0A9H9,P0AE67,P0AC07,P05704,P31068,P76299,P75938,P0ABX5,P23847,P0AF06,P09348,P07018,P15070,P02925,P02942,P50466,P33135,P07017,P07364,P76298,P52612,P0ABW9,P0ABX2,P0ABZ1,P0A8T5,P22586",e,3,"(34, 799)","(34, 3938)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.292394117029906e-19,2.0046986553426527e-16,"P52613,P06974,P0AC05,P76010,P0ABX8,P0A6S3,P0AC07,P29744,P26608,P31068,P76299,P75938,P0ABX5,P0AF06,P52614,P75933,P75942,P09348,P0A6S0,P0A7Z4,P15070,P0ABY2,P33135,P25798,P76298,P52612,P24216,P0ABW9,P0ABX2,P0AEM6,P0ABZ1,P0A8T5,P22586",e,5,"(33, 799)","(37, 3938)",{'GO:0097588'}
GO:0002181,cytoplasmic translation,BP,1.4975377459958236e-17,8.730645059155652e-15,"P68919,P0AA10,P0A7P5,P0ADY7,P0A7W7,P0A7S9,P0A7J7,P0A7N9,P0AG55,P0A7N4,P0A7M2,P60438,P0ADY3,P62399,P60723,P0A7M6,P0A7V3,P0A7T7,P0AG44,P0A7R1,P0ADZ0,P0A7L0,P0A7X3,P0A7W1,P0AG51,P0A7U3,P68679,P02358,P0A7R5,P0AG59,P60624,P0C018,P0A7T3,P0AG63,P0A7K6,P61175,P0A7R9,P0A7V8,P0A7U7,P60422",e,6,"(40, 799)","(54, 3938)",{'GO:0006412'}
GO:0044781,bacterial-type flagellum organization,BP,2.910723189002577e-13,1.272713714391377e-10,"P76298,P52612,P22586,P52613,P76299,P31068,P43533,P0AEM4,P0ABY7,P52614,P0AC05,P75933,P0ABY2,P0A8S9,P75942,P75936,P76297,P26608",e,5,"(18, 799)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0006412,translation,BP,2.915327208125099e-11,1.0197814574021597e-08,"P68919,P46837,P0AA10,P0A7P5,P0ADY7,P0A7W7,P0A7S9,P0A7J7,P0A7N9,P0AG55,P0A7N4,P0A7M2,P21888,P60438,P62399,P0ADY3,P60723,P0A7M6,P0A7V3,P0A7T7,P0AG44,P08245,P0A7R1,P0A6P1,P00957,P69222,P0ADZ0,P0A7L0,P0A7X3,P0A7W1,P0AG51,P0A7I4,P0A7U3,P60906,P68679,P02358,P0A7R5,P0AG59,P60624,P0C018,P0A7T3,P0AG63,P0A7K6,P08312,P61175,P60785,P0A7R9,P0A7V8,P0A7U7,P60422",e,5,"(50, 799)","(101, 3938)","{'GO:0009059', 'GO:0019538'}"
GO:0006164,purine nucleotide biosynthetic process,BP,1.0092426887232646e-10,2.9419424376283163e-08,"P15640,P08178,P0A7D7,P0A7D4,P33221,P15639,P0ACP7,P0AG16,P0A717,P0AB89,P08179,P15254,P0AG18,P09029,P0ADG7,P24186",e,8,"(16, 799)","(17, 3938)","{'GO:0009165', 'GO:0006163', 'GO:0072522'}"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,4.555028385290936e-09,1.1381063779819781e-06,"P0A6S0,P06974,P15070,P0AF06,P0ABZ1,P0ABX8,P0A9H9,P0AE67,P0A6S3,P09348,P0A8T5,P22586",e,4,"(12, 799)","(12, 3938)",{'GO:0001539'}
GO:0000027,ribosomal large subunit assembly,BP,8.812259441314285e-09,1.9265802203573354e-06,"P68919,P0AGK4,P0A7J7,P0ADY7,P0A7N9,P0AG55,P0A7N4,P0A7M2,P60438,P62399,P0A7M6,P0AG44,P0A7L0,P0ADZ0,P0AG51,P21507,P60624,P0A7K6,P60422",e,7,"(19, 799)","(26, 3938)",{'GO:0022618'}
GO:0006189,'de novo' IMP biosynthetic process,BP,2.222946339907972e-07,4.319925720554492e-05,"P15640,P08178,P0A7D7,P33221,P15639,P0AG16,P0AB89,P08179,P15254,P0AG18,P09029",e,11,"(11, 799)","(12, 3938)",{'GO:0006188'}
GO:0022904,respiratory electron transport chain,BP,2.982706122857736e-07,5.2167530088781806e-05,"P07014,P0AFE8,P33607,P33599,P33602,P31979,P0AFE0,P0AFD4,P0ABI8,P0AFE4,P06149,P0AFC7,P0AFD1,P0AFD6,P75925,P0AFC3,P0AFF0",e,5,"(17, 799)","(25, 3938)",{'GO:0022900'}
