GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006412,translation,BP,3.241626114320038e-13,5.669604073945747e-10,"P0A7W7,P0A7U7,P0ADZ4,P00957,P68679,P60723,P0A7S9,P00961,P0A7M6,P33919,P68919,P60438,P0AG51,P02358,P0A7Q6,P0ADY3,P0A7R5,P69222,P62399,P21889,P00959,P60785,P0A7R9,P00960,P0AG44,P0A7T7,P0A7M2,P0ADZ0,P0AA10,P0C018,P16659,P0AG48,P0A7W1,P0A7V3,P0AG59,P60422,P60624,P0A7R1,P0A7X3,P0A8M0,P0AGJ9,P0A7U3,P0A7N4,P61175,P0A7P5,P11875,P0ADY7,P0A7T3,P0AG55,P0A6N4,P00956,P0A7L8,P00954,P60906,P0AAS7,P08245,P0A8L1,P0A7K6,P0AG67,P0A7V8,P0A8N3,P0A7N9,P00962,P46837,P14081,P0A6P1",e,5,"(66, 1199)","(101, 3938)","{'GO:0019538', 'GO:0009059'}"
GO:0002181,cytoplasmic translation,BP,6.892324607127126e-13,6.027337868932672e-10,"P0A7W7,P0A7U7,P0ADZ4,P68679,P60723,P0A7S9,P0A7M6,P68919,P60438,P0AG51,P02358,P0A7Q6,P0ADY3,P0A7R5,P62399,P0A7R9,P0AG44,P0A7T7,P0A7M2,P0ADZ0,P0AA10,P0C018,P0AG48,P0A7W1,P0A7V3,P0AG59,P60422,P60624,P0A7R1,P0A7X3,P0A7U3,P0AG55,P0A7N4,P61175,P0A7P5,P0ADY7,P0A7T3,P0A7L8,P0A7K6,P0AG67,P0A7V8,P0A7N9",e,6,"(42, 1199)","(54, 3938)",{'GO:0006412'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.224326483982361e-11,1.2967823401617164e-08,"P75933,P52613,P0AC07,P26608,P0ABX5,P0A8T5,P0ABX2,P76298,P06974,P0A7Z4,P0ABY2,P52614,P24216,P25798,P76299,P75938,P0ABW9,P0A6S3,P31068,P22586,P15070,P0A6S0,P0ABZ1,P75942,P0A8T7,P0AC05,P0ABX8,P33135,P0AEM6,P0A8V2,P52612",e,5,"(31, 1199)","(37, 3938)",{'GO:0097588'}
GO:0044781,bacterial-type flagellum organization,BP,3.991550323628844e-07,0.00017453053790067121,"P75933,P22586,P76297,P76298,P0ABY7,P52613,P0ABY2,P0A8S9,P52614,P0AC05,P75942,P75936,P76299,P52612,P26608,P31068",e,5,"(16, 1199)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0015031,protein transport,BP,6.523866816177844e-07,0.00022820486122990098,"P15078,P23843,P52613,P25714,P0AAG0,P69428,P77304,P0AGA2,P61316,P31126,P69423,P0AEF8,P0AG90,P23847,P76298,P45763,P77268,P0AFH2,P02931,P37313,P76299,P0ABU7,P0AEG1,P77737,P45762,P45759,P31068,P77308,P77622,P0ADZ7,P0AC05,P69425,P0A850,P10408,P76027,P52612,P77463,P0AFH6,P76128,P0AG99",e,6,"(40, 1199)","(67, 3938)","{'GO:0045184', 'GO:0071705'}"
GO:0006164,purine nucleotide biosynthetic process,BP,1.17876208318931e-06,0.0003436091472496839,"P0AG16,P24186,P08178,P0ACP7,P15639,P0A7D7,P0AB89,P0AG18,P15640,P09029,P08179,P0A717,P15254,P33221,P0A7D4",e,8,"(15, 1199)","(17, 3938)","{'GO:0072522', 'GO:0009165', 'GO:0006163'}"
GO:0006189,'de novo' IMP biosynthetic process,BP,1.750659599169471e-05,0.0038510882861210703,"P0AG16,P08178,P15639,P0AB89,P0A7D7,P0AG18,P15640,P09029,P08179,P15254,P33221",e,11,"(11, 1199)","(12, 3938)",{'GO:0006188'}
GO:0015986,proton motive force-driven ATP synthesis,BP,2.2018800949806006e-05,0.0038510882861210703,"P0ABB4,P0ABA6,P0A6E6,P0ABA0,P0ABB0,P68699,P0ABA4,P0AB98,P52612",e,11,"(9, 1199)","(9, 3938)",{'GO:0006754'}
GO:0006754,ATP biosynthetic process,BP,2.2018800949806006e-05,0.0038510882861210703,"P0ABB4,P0ABA6,P0A6E6,P0ABA0,P0ABB0,P68699,P0ABA4,P0AB98,P52612",e,10,"(9, 1199)","(9, 3938)","{'GO:0009152', 'GO:0046034', 'GO:0009206'}"
GO:0030254,protein secretion by the type III secretion system,BP,2.2018800949806006e-05,0.0038510882861210703,"P22586,P76298,P33135,P52613,P0AC07,P76299,P52612,P0AC05,P31068",e,8,"(9, 1199)","(9, 3938)","{'GO:0071806', 'GO:0009306'}"
GO:0006541,glutamine metabolic process,BP,3.8580693228594096e-05,0.0058743886269212,"P0AG16,P00904,P09831,Q47147,P77454,P60595,P00968,P0A6W0,P0A786,P15254,P22106,P04079,P0A6F1",e,9,"(13, 1199)","(16, 3938)",{'GO:0009064'}
GO:0006935,chemotaxis,BP,4.030455318642333e-05,0.0058743886269212,"P52613,P0AC07,P0ABX5,P0A8T5,P23847,P0ABX2,P06974,P76298,P02925,P76299,P75938,P27550,P0ABW9,P31068,P22586,P15070,P0ABZ1,P0AC05,P0AEE5,P0ABX8,P33135,P52612",e,3,"(22, 1199)","(34, 3938)",{'GO:0042330'}
