GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,1.9833602446323334e-18,3.4688970678619512e-15,"P07364,P52613,P0AC07,P02942,P0A9H9,P0ABX5,P09348,P0A8T5,P23847,P0ABX2,P06974,P76298,P02925,P76299,P75938,P27550,P0AF06,P0ABW9,P31068,P22586,P15070,P0A964,P0ABZ1,P07017,P0AC05,P0AEE5,P07018,P0ABX8,P33135,P0AE67,P05704,P07330,P50466,P52612",e,3,"(34, 1199)","(34, 3938)",{'GO:0042330'}
GO:0002181,cytoplasmic translation,BP,6.3845880416111e-17,5.583322242388906e-14,"P0A7W7,P0A7U7,P0ADZ4,P68679,P60723,P0A7S9,P0A7M6,P68919,P60438,P0AG51,P02358,P0AG63,P0A7V0,P0A7Q6,P0ADY3,P0A7R5,P62399,P0A7R9,P02413,P0AG44,P0A7T7,P0A7M2,P0ADZ0,P0AA10,P0C018,P0AG48,P0A7W1,P0A7V3,P0AG59,P60422,P60624,P0A7R1,P0A7X3,P0A7U3,P0AG55,P0A7N4,P61175,P0A7P5,P0ADY7,P0A7T3,P0A7L8,P0A7L0,P0A7K6,P0A7V8,P0A7J7,P0A7N9",e,6,"(46, 1199)","(54, 3938)",{'GO:0006412'}
GO:0006412,translation,BP,2.2884933419097155e-15,1.3341916183333642e-12,"P0A7W7,P0A7I0,P0A7U7,P0ADZ4,P00957,P68679,P60723,P0A7S9,P0C0U4,P0A7M6,P68919,P60438,P0AG51,P02358,P0AG63,P0A7V0,P0A7Q6,P0ADY3,P0A7R5,P69222,P62399,P21889,P00959,P60785,P0A7R9,P02413,P08312,P0A7I4,P00960,P0AG44,P0A7T7,P0A8N3,P0A7M2,P0ADZ0,P0AA10,P0C018,P0AG48,P0A7W1,P0A7V3,P0AG59,P60422,P0A8A8,P60624,P0A7X3,P0A7U3,P0A7R1,P0A7N4,P0AG55,P61175,P0A7P5,P11875,P0ADY7,P0A7T3,P0A6N4,P21888,P0A7L8,P00954,P60906,P46837,P08245,P0A7L0,P0A7K6,P0A7V8,P0A7J7,P0A7N9,P00962,P04805,P14081,P0A6P1",e,5,"(69, 1199)","(101, 3938)","{'GO:0019538', 'GO:0009059'}"
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,5.518931253567157e-15,2.4131526906222393e-12,"P75933,P52613,P0AC07,P26608,P0ABX5,P09348,P0A8T5,P0ABX2,P76298,P06974,P0A7Z4,P0ABY2,P52614,P24216,P25798,P76299,P75938,P0AF06,P0ABW9,P0A6S3,P31068,P22586,P15070,P0A6S0,P29744,P0ABZ1,P75942,P76010,P0AC05,P0ABX8,P33135,P0AEM6,P0A8V2,P52612",e,5,"(34, 1199)","(37, 3938)",{'GO:0097588'}
GO:0044781,bacterial-type flagellum organization,BP,4.62370907112203e-10,1.617373433078486e-07,"P75933,P22586,P76297,P76298,P0ABY7,P52613,P0ABY2,P0A8S9,P52614,P0AC05,P75942,P75936,P76299,P43533,P52612,P26608,P31068,P0AEM4",e,5,"(18, 1199)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0006164,purine nucleotide biosynthetic process,BP,1.5338039989737286e-09,4.471038657008419e-07,"P0AG16,P24186,P08178,P0ACP7,P15639,P0A7D7,P0ADG7,P0AG18,P0AB89,P15640,P09029,P08179,P0A717,P15254,P37051,P33221,P0A7D4",e,8,"(17, 1199)","(17, 3938)","{'GO:0072522', 'GO:0009165', 'GO:0006163'}"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,6.106952090126061e-07,0.00011867843561811644,"P09348,P22586,P0A8T5,P15070,P0ABX8,P06974,P0A6S0,P0ABZ1,P0AE67,P0A9H9,P0AF06,P0A6S3",e,4,"(12, 1199)","(12, 3938)",{'GO:0001539'}
GO:0006189,'de novo' IMP biosynthetic process,BP,6.106952090126061e-07,0.00011867843561811644,"P0AG16,P08178,P15639,P0AB89,P0A7D7,P0AG18,P15640,P09029,P08179,P15254,P37051,P33221",e,11,"(12, 1199)","(12, 3938)",{'GO:0006188'}
GO:0000027,ribosomal large subunit assembly,BP,1.2786037521579776e-06,0.0002236277962524303,"P0A7M6,P68919,P60438,P0AG51,P62399,P0AG44,P0A7M2,P0ADZ0,P0AG55,P60422,P60624,P0A7N4,P0AGK4,P0ADY7,P0A7L8,P0A7L0,P0A7K6,P21507,P0A7J7,P0A7N9",e,7,"(20, 1199)","(26, 3938)",{'GO:0022618'}
GO:0000028,ribosomal small subunit assembly,BP,1.811993932636079e-06,0.00028810703528913653,"P0A7W7,P0AG63,P0A7V0,P0A7W1,P0A7U7,P0AG59,P0A7V3,P0ADZ4,P0A8A8,P0A7X6,P0A7U3,P39286,P0A7V8,P68679,P0AGK4,P0A7T3",e,7,"(16, 1199)","(19, 3938)",{'GO:0022618'}
GO:0015031,protein transport,BP,2.6400554865568852e-06,0.000384788087165666,"P23843,P0ADE4,P52613,P25714,P45760,P0AAG0,P61320,P69423,P0AEF8,P0AG90,P23847,P76298,P45763,P77268,P0AFH2,P02931,P37313,P76299,P0AEG1,P77737,P45762,P45759,P31068,P77308,P77622,P0ABV6,P41442,P0ADZ7,P0AC05,P28246,P0A850,P69425,P10408,P76027,P52612,P77463,P0AFH6,P76128,P0AG99",e,6,"(39, 1199)","(67, 3938)","{'GO:0045184', 'GO:0071705'}"
