GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,1.416305253893674e-18,2.5238559624385267e-15,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P07017,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P07018,P76299,P33135,P06974,P50466,P09348,P0A9H9,P05704,P07364,P75938,P15070,P52613,P0A964,P07330,P76298,P02942,P22586,P0AE67,P0AF06,P0AC07,P0ABX8",e,3,"(32, 999)","(34, 4278)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.364959916900114e-16,1.2161792859580015e-13,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P0A7Z4,P31068,P0AEM6,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P33135,P06974,P09348,P76010,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P29744,P0A6S3,P75942,P0AF06,P0AC07,P0ABX8,P24216",e,5,"(33, 999)","(38, 4278)",{'GO:0097588'}
GO:0002181,cytoplasmic translation,BP,5.619477957014091e-13,3.3379699064663703e-10,"P0ADY3,P0A7U3,P0C018,P0A7R5,P0A7S9,P0AG44,P0A7W1,P0A7M6,P0A7R9,P0ADZ4,P60723,P0ADZ0,P60624,P0A7R1,P0A7N9,P68919,P0A7V3,P0A7W7,P0A7V8,P68679,P0AG55,P0AG48,P0A7J7,P0A7T7,P0A7L8,P0A7L0,P0A7T3,P60438,P02358,P61175,P0AA10,P0A7X3,P0AG67,P62399,P0A7M2,P60422,P0A7U7,P0ADY7",e,6,"(38, 999)","(55, 4278)",{'GO:0006412'}
GO:0044781,bacterial-type flagellum organization,BP,2.3150563344351622e-10,8.963278512339503e-08,"P0ABY7,P75933,P22586,P31068,P76297,P0AEM4,P75942,P52612,P43533,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(17, 999)","(18, 4278)","{'GO:0030030', 'GO:0006996'}"
GO:0006412,translation,BP,2.514949077536336e-10,8.963278512339503e-08,"P69222,P0CE47,P0ADY3,P0A7U3,P0C018,P0A7R5,P0A7S9,P0AG44,P0A7W1,P00956,P0A7M6,P0A7R9,P0ADZ4,P0CE48,P60723,P16659,P0ADZ0,P60624,P00962,P08245,P0A7R1,P0A7N9,P14081,P68919,P0A7V3,P0A7W7,P0A7V8,P68679,P0AG55,P0AG48,P60785,P0A8A8,P08312,P0A6N4,P0A7J7,P0A7T7,P0A7L8,P0A7L0,P0A7T3,P60438,P00957,P61175,P0AA10,P02358,P0A7X3,P0AG67,P0A7I4,P62399,P60906,P0A7M2,P46837,P60422,P0A7U7,P0ADY7",e,5,"(54, 999)","(105, 4278)","{'GO:0019538', 'GO:0009059'}"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,2.4991932641403898e-08,6.566255626444577e-06,"P22586,P0AE67,P0A6S3,P0AF06,P0A8T5,P09348,P0A9H9,P0ABZ1,P0ABX8,P0A6S0,P15070,P06974",e,4,"(12, 999)","(12, 4278)",{'GO:0001539'}
GO:0006164,purine nucleotide biosynthetic process,BP,2.579337226998431e-08,6.566255626444577e-06,"P15640,P08179,P08178,P33221,P0AG16,P24186,P15639,P15254,P09029,P0AB89,P0A7D7,P0ACP7,P0AG18,P0A717,P0ADG7",e,8,"(15, 999)","(17, 4278)","{'GO:0006163', 'GO:0009165', 'GO:0072522'}"
GO:0022904,respiratory electron transport chain,BP,3.263529933746395e-07,7.269512927420094e-05,"P07014,P0AFD1,P0AAJ5,P31979,P06149,P33607,P0AFE0,P0ABI8,P0AFC7,P0AFE4,P75925,P33602,P0AFD6,P0AFF0,P0AFE8,P0AFD4,P33599,P0AFC3",e,5,"(18, 999)","(25, 4278)",{'GO:0022900'}
GO:0009252,peptidoglycan biosynthetic process,BP,5.717486439497282e-07,0.00011320623150204617,"P46022,P0A908,P0AD68,P60472,P17443,P75806,P24228,P16926,P0A6W3,P0C0T5,P11880,P75954,P31120,P0AD65,P0A749,P37773,P0AEB2,P0A6B4,P14900,P07862,P0ABG4,P02918,P0ACC7,P0A9X4,P0ABH4,P22634,P17952,P22188",e,7,"(28, 999)","(50, 4278)","{'GO:0044038', 'GO:0000270', 'GO:0006024'}"
GO:0006189,'de novo' IMP biosynthetic process,BP,1.0203184160158585e-06,0.000181820741734026,"P15640,P08179,P08178,P33221,P0AG16,P15639,P15254,P09029,P0AB89,P0A7D7,P0AG18",e,11,"(11, 999)","(12, 4278)",{'GO:0006188'}
GO:0008360,regulation of cell shape,BP,1.4072284354218971e-06,0.00022797100653834735,"P46022,P0AD68,P60472,P17443,P75806,P24228,P16926,P0A6W3,P11880,P75954,P0AD65,Q46824,P0A749,P37773,P0AEB2,P0A6B4,P14900,P07862,P0ABG4,P02918,P0ACC7,P0A9X4,P0ABH4,P22634,P17952,P22188,P0AD70",e,6,"(27, 999)","(49, 4278)","{'GO:0065008', 'GO:0022604'}"
GO:0006754,ATP biosynthetic process,BP,2.008559120096245e-06,0.0002556608822865363,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0AB98,P0ABA4,P0ABA0",e,10,"(9, 999)","(9, 4278)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,2.008559120096245e-06,0.0002556608822865363,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0AB98,P0ABA4,P0ABA0",e,11,"(9, 999)","(9, 4278)",{'GO:0006754'}
GO:0030254,protein secretion by the type III secretion system,BP,2.008559120096245e-06,0.0002556608822865363,"P22586,P31068,P52612,P0AC05,P0AC07,P76299,P33135,P52613,P76298",e,8,"(9, 999)","(9, 4278)","{'GO:0009306', 'GO:0071806'}"
GO:0071555,cell wall organization,BP,7.310849646371866e-06,0.0008685289379889778,"P46022,P0AD14,P0AC78,P0AD68,P0AE16,P60472,P17443,P75806,P24228,P0A6W3,P11880,P75954,P63883,P36548,P0AD65,P0A749,P37773,P0AEB2,P76190,P0A6B4,P0AFV4,P14900,P07862,P0ABG4,P02918,P0ACC7,P22634,P26365,P0AEZ7,P75942,P17952,P0AGC5,P22188,P0AD70,P0C066,P31697",e,5,"(36, 999)","(77, 4278)","{'GO:0071554', 'GO:0045229'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,8.654437379223983e-06,0.000963887963111071,"P0A6E6,P0ABA6,P0ABB0,P0ABB4,P68699,P0AB98,P0ABA4,P0ABA0",e,12,"(8, 999)","(8, 4278)",{'GO:0015986'}
GO:0007165,signal transduction,BP,2.0083568492171273e-05,0.0021052305325323065,"P0AD14,P69411,P07017,P07018,P0AEC5,P46139,P23865,P18392,P0ADG4,P14377,P50466,P0AFB5,P77485,P05704,P0A964,P07330,P02942,P0AE67,P76339,P30855,P0AEC8",e,4,"(21, 999)","(38, 4278)","{'GO:0009987', 'GO:0050794'}"
GO:0044780,bacterial-type flagellum assembly,BP,6.177591232625317e-05,0.005681516559342453,"P0A7Z4,P75933,P0AEM6,P75942,P52612,P43533,P0AC07,P76299,P0ABZ1,P33135,P26608,P33235,P52614,P76298",e,7,"(14, 999)","(22, 4278)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
