GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0002181,cytoplasmic translation,BP,1.5011006693612651e-18,2.674961392801774e-15,"P0ADY3,P0A7U3,P0C018,P0A7R5,P0A7S9,P0AG44,P0A7W1,P0A7M6,P0A7R9,P0ADZ4,P60723,P0ADZ0,P60624,P0A7Q6,P0A7K6,P0A7P5,P0A7R1,P68919,P0A7V3,P0A7Q1,P0A7W7,P0A7V8,P0AG55,P0A7M9,P0A7J7,P0A7T7,P0A7T3,P60438,P02358,P61175,P0AA10,P0A7K2,P0A7X3,P0AG67,P0AG59,P02413,P0A7V0,P62399,P60422,P0A7U7,P0ADY7,P0AG51,P0AG63,P0A7L3,P0A7N4",e,6,"(45, 1086)","(55, 4278)",{'GO:0006412'}
GO:0040008,regulation of growth,BP,4.269041414924135e-08,3.803715900697404e-05,"Q47150,P0C079,P69348,P23874,Q47156,P64594,P64578,P52129,P76106,P69346,P67701,Q47149,P33647,P15373,P23873,P08365,P0C077,P52130",e,3,"(18, 1086)","(22, 4278)",{'GO:0050789'}
GO:0000027,ribosomal large subunit assembly,BP,1.096755776633026e-06,0.0006514729313200175,"P0A9P6,P0AG44,P0A7M6,P0ADZ0,P60624,P0A7K6,P68919,P0AG55,P42641,P0A7J7,P21507,P60438,P21693,P62399,P60422,P0ADY7,P0AG51,P0A7L3,P0A7N4",e,7,"(19, 1086)","(27, 4278)",{'GO:0022618'}
GO:0006412,translation,BP,1.9910162864245283e-06,0.0008869977556021272,"P0ADY3,P0A7U3,P0C018,P0A7R5,P0A7S9,P33919,P0AG44,P0A7W1,P0A7M6,P0A7R9,P0ADZ4,P60723,P0ADZ0,P60624,P0A7Q6,P0A7K6,P08245,P0A7P5,P0A7R1,P68919,P0A7V3,P0A7Q1,P0A7W7,P0A7V8,P0A8A8,P0AG55,P0A7M9,P0A7J7,P0A7T7,P0A7T3,P60438,P02358,P0AA10,P61175,P0A7K2,P0A7X3,P0AG67,P0AG59,P02413,P0A7V0,P62399,P0A707,P60422,P0A7U7,P0ADY7,P0AG51,P0AG63,P0A7L3,P0A7N4",e,5,"(49, 1086)","(105, 4278)","{'GO:0019538', 'GO:0009059'}"
GO:0044010,single-species biofilm formation,BP,9.594029379065617e-06,0.003419312070698986,"Q47150,P0AAR0,P69346,Q46840,P0ADN2,P0AB40,P75906,Q46864,P77300,P0C077,P64594,P75876,P33647,P05847,P75993,P52130,P69348,P0C079,P23874,P75994,Q47274,P52129,Q47149,P69434,Q46865,P45577,P15373,P08365,P0AEA2",e,5,"(29, 1086)","(54, 4278)","{'GO:0042710', 'GO:0051703'}"
GO:0043709,cell adhesion involved in single-species biofilm formation,BP,1.5916684179338473e-05,0.004727255201263527,"P37017,P0AAP1,P75859,P08190,P31129,P37909,P75858,P77588,P75715,P08189,P37016,P75855,P77789,P38052,P69432,P31058,P77294,P37018,P76236,P08191,P76347,P42913,P76237,P45508,P77288",e,5,"(25, 1086)","(45, 4278)",{'GO:0043708'}
GO:0006310,DNA recombination,BP,2.0915194308087787e-05,0.005324410893858919,"P77698,P31667,P0CF82,P0ADH7,P0ADI0,P75969,P0ADH5,P0CF56,P33228,P19769,P0CF58,P75970,P0CF54,P0A6X7,P0CF69,P0CF83,P76056,P0CF43,P0A6Y1,Q2EES9,P0CF79,P0CF25,P0CF42,P0CF66,P77607,P77768,P0CF68,P0CF41,P0A809,P0CF27,P0A8P8,P0CF45,P0AG74,P57998,P71298,P0CF53,P0CF55,P37326,P0CF57,P0A6D0,P0CF26,P0CF44,P77170,P0CF29,P0CF40,P0CF28,P31665",e,6,"(47, 1086)","(106, 4278)",{'GO:0006259'}
GO:0000028,ribosomal small subunit assembly,BP,3.3957650743782076e-05,0.007564066703177457,"P0A7V8,P0A8A8,P0A7W7,P0A7U3,P0AG63,P0A7V0,P0A7U7,P0A7W1,P0A7T3,P0ADZ4,P0AG59,P0A7V3,P0AG67,P0A7X6",e,7,"(14, 1086)","(20, 4278)",{'GO:0022618'}
GO:0009297,pilus assembly,BP,4.228104118646059e-05,0.007939289777548533,"P08189,P45420,P33129,P77468,P75857,P75750,P33341,P30130,P42915,P76137",e,6,"(10, 1086)","(12, 4278)","{'GO:0030031', 'GO:0043711'}"
GO:0015074,DNA integration,BP,4.455269235436887e-05,0.007939289777548533,"P0CF82,P0ADH7,P0ADI0,P75969,P0ADH5,P0CF56,P19769,P0CF58,P0CF54,P0CF83,P76056,P0CF79,P0A8P8,P71298,P0CF53,P0CF55,P37326,P0CF57,P77170",e,6,"(19, 1086)","(32, 4278)",{'GO:0006259'}
GO:0007155,cell adhesion,BP,5.5132964566902086e-05,0.008931540259838139,"P37017,P75859,P08190,P37909,P75858,P77588,P75715,P76656,P08189,P37016,P75855,P77789,P38052,P31058,P77294,P37018,P76017,P08191,P75748,P33129,P76347,P42913,P45508,P52143,P77288",e,2,"(25, 1086)","(47, 4278)",{'GO:0009987'}
GO:0019645,anaerobic electron transport chain,BP,0.00010474184603055474,0.01555416413553738,"P33225,P18777,P16429,P52005,P0AEK7,P46923,P24183,P0ABL1,P33226,P32709,P76173,P77437,P0AAK7,P37197,P11350,P23482,P09152,P0AAK1,P69739,P11349,P18776,P07658,P0AAJ3,P77416",e,6,"(24, 1086)","(46, 4278)",{'GO:0022904'}
GO:0006508,proteolysis,BP,0.00034154417352819913,0.04681782440209622,"P33013,P77585,P37182,P76524,P76403,P45508,P32153,P65807,P10423",p,4,"(9, 1086)","(91, 4278)",{'GO:0019538'}
