GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006099,tricarboxylic acid cycle,BP,2.2306103803349062e-11,3.9749476977568024e-08,"P0AC44,P25516,P36683,P05042,P61889,P0AC41,P08200,P0ABH7,P37330,P31660,P0AFG6,P0AGE9,P11071,P07014,P08997,P69054,P0AC33,P77243,P0AC38,P00864,P0A836,P0A9G6,P0AC47,P0AFG3",e,3,"(24, 947)","(30, 4278)",{'GO:0044238'}
GO:0006935,chemotaxis,BP,2.1197276302161006e-10,1.8886773185225456e-07,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P76299,P33135,P06974,P0A9H9,P05704,P75938,P15070,P52613,P76298,P22586,P02925,P0AE67,P27550,P0AC07,P0ABX8",e,3,"(25, 947)","(34, 4278)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.1753112638395844e-09,6.981348907207132e-07,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P31068,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P33135,P06974,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P0A6S3,P75942,P0AC07,P0ABX8",e,5,"(26, 947)","(38, 4278)",{'GO:0097588'}
GO:0009060,aerobic respiration,BP,1.3693470198397517e-07,6.1004409733860936e-05,"P07014,P0AC41,P13035,P0ABJ3,P31979,P06149,P0AC44,P69054,P0ABI8,P0AFC7,P0AFD4,P33602,P0ABJ6,P33232,P0AFF0,P0AFE8,P0AFD6,P0ABJ1",e,6,"(18, 947)","(25, 4278)",{'GO:0045333'}
GO:0044781,bacterial-type flagellum organization,BP,7.733413072281382e-07,0.0002756188418961085,"P75933,P22586,P31068,P76297,P75942,P52612,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(14, 947)","(18, 4278)","{'GO:0030030', 'GO:0006996'}"
GO:0030254,protein secretion by the type III secretion system,BP,1.2390266162975867e-06,0.00036799090504038325,"P22586,P31068,P52612,P0AC05,P0AC07,P76299,P33135,P52613,P76298",e,8,"(9, 947)","(9, 4278)","{'GO:0009306', 'GO:0071806'}"
GO:0015833,peptide transport,BP,1.7153474074600764e-06,0.00038209363501173196,"P0AGH5,P0AEG1,P31126,P46890,P23847,P0AAH4,P0AAG0,P33941,P0AGH3,P0AFH6,P76128,P33916,P76027,P0AEF8,P75797,P0AAH8,P33915,P77463,P0AFH2,P37313,P77737,P0AFU0,P77268,P77622,P15078",e,6,"(25, 947)","(46, 4278)",{'GO:0042886'}
GO:0006979,response to oxidative stress,BP,2.160355392378829e-06,0.00042775036769100814,"P76594,P41407,P0AE52,P25516,P0AEN1,P77526,P21179,P05042,P08200,P76194,P13029,P06610,P35340,P0A8G6,P09546,P52647,P00448,P77689,P0AE08,P77667,P46187,P63020,P25534,P0ADE2,P0A9Q7,P31142,P0AB24",e,3,"(27, 947)","(52, 4278)",{'GO:0006950'}
GO:0022904,respiratory electron transport chain,BP,7.802794219603308e-06,0.0013904579299333095,"P07014,P0AFD1,P31979,P06149,P33607,P0AFE0,P0ABI8,P0AFC7,P0AFE4,P33602,P0AFD6,P0AFD4,P0AFF0,P0AFE8,P33599,P0AFC3",e,5,"(16, 947)","(25, 4278)",{'GO:0022900'}
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,1.1516928571301478e-05,0.0018657424285508394,"P22586,P0AE67,P0A6S3,P0A8T5,P0A9H9,P0ABZ1,P0ABX8,P0A6S0,P15070,P06974",e,4,"(10, 947)","(12, 4278)",{'GO:0001539'}
GO:0006096,glycolytic process,BP,2.6291375510548545e-05,0.0036039408584459622,"P06959,P61889,P0AD61,P0A991,P0A858,P0A6T1,P21599,P0A6P9,P62707,P0AB71,P0A799,P0A9B2",e,11,"(12, 947)","(17, 4278)","{'GO:0006090', 'GO:0046032', 'GO:0046034', 'GO:0016052', 'GO:0006091', 'GO:0019364', 'GO:0046496'}"
GO:0044780,bacterial-type flagellum assembly,BP,3.259379877248124e-05,0.003826313368770327,"P75933,P0AC47,P00363,P75942,P52612,P0AC07,P0A8Q0,P76299,P33135,P26608,P0ABZ1,P0A8Q3,P52614,P76298",e,7,"(14, 947)","(22, 4278)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0006094,gluconeogenesis,BP,3.331681474774808e-05,0.003826313368770327,"P0A858,P22259,P0A6T1,P0A9C9,P26616,P23538,P30744,P62707,P0AB71,P0A799,P00864",e,7,"(11, 947)","(15, 4278)","{'GO:0019319', 'GO:0006006'}"
GO:0019563,glycerol catabolic process,BP,4.0796831653555674e-05,0.003826313368770327,"P13035,P0A858,P76014,P76015,P13033,P0A9C0,P0A996,P0A6F3",e,7,"(8, 947)","(9, 4278)","{'GO:0019405', 'GO:0006071'}"
GO:0006754,ATP biosynthetic process,BP,4.0796831653555674e-05,0.003826313368770327,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0ABA4,P0ABA0",e,10,"(8, 947)","(9, 4278)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,4.0796831653555674e-05,0.003826313368770327,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0ABA4,P0ABA0",e,11,"(8, 947)","(9, 4278)",{'GO:0006754'}
GO:0015990,electron transport coupled proton transport,BP,4.0796831653555674e-05,0.003826313368770327,"P0ABJ3,P33607,P0ABI8,P0AFC7,P0ABJ6,P0AFF0,P0AFE8,P0ABJ1",e,9,"(8, 947)","(9, 4278)",{'GO:0015988'}
GO:0033214,siderophore-dependent iron import into cell,BP,8.531660039953026e-05,0.0076017090955981465,"P13039,P06972,P16869,P39405,P23876,Q46871,P75780,P17315,P06971,P05825,P23877",e,10,"(11, 947)","(16, 4278)","{'GO:0033212', 'GO:1901678', 'GO:0098657'}"
GO:0015031,protein transport,BP,9.51195412376459e-05,0.008071572499308809,"P0ABU7,P02931,P0AEG1,P61320,P31068,P31126,P0ADZ7,P10408,P23847,P52612,P0AC05,P0AAG0,P76299,P25714,P0AG86,P0AFH6,P76128,P76027,P0AEF8,P0ABV2,P02929,P52613,P76298,P77463,P0AFH2,P37313,P77737,P77268,P77622,P15078",e,6,"(30, 947)","(69, 4278)","{'GO:0071705', 'GO:0045184'}"
GO:0006826,iron ion transport,BP,0.00011880609007820165,0.009406158458758643,"P13039,P06972,P16869,P23876,P07822,P23878,P0ABD3,P75780,P05825,P06971,P07821,P17315,P0AEL6,P0AEN1,P23485,P23484,P23877",e,8,"(17, 947)","(32, 4278)",{'GO:0000041'}
