GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,3.1839037602696607e-10,5.673716500800535e-07,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P76299,P33135,P06974,P0A9H9,P05704,P75938,P15070,P52613,P76298,P22586,P02925,P0AE67,P27550,P0AC07,P0ABX8",e,3,"(25, 964)","(34, 4278)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.7718259767992847e-09,1.5786969453281626e-06,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P31068,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P33135,P06974,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P0A6S3,P75942,P0AC07,P0ABX8",e,5,"(26, 964)","(38, 4278)",{'GO:0097588'}
GO:0006099,tricarboxylic acid cycle,BP,4.196629094700319e-09,2.4927976822519893e-06,"P0AC44,P36683,P05042,P61889,P0AC41,P08200,P0ABH7,P31660,P0AFG6,P0AGE9,P11071,P07014,P08997,P69054,P0AC33,P77243,P0AC38,P00864,P0A836,P0A9G6,P0AC47,P0AFG3",e,3,"(22, 964)","(30, 4278)",{'GO:0044238'}
GO:0022904,respiratory electron transport chain,BP,1.8877077395433257e-08,8.409737979665516e-06,"P0AAJ5,P0AFE0,P0AFE4,P0AFD4,P33599,P0AFC3,P33607,P07014,P31979,P0AEL0,P33602,P75925,P0AFE8,P0AFD1,P06149,P0ABI8,P0AFC7,P0AFD6,P0AFF0",e,5,"(19, 964)","(25, 4278)",{'GO:0022900'}
GO:0009060,aerobic respiration,BP,1.8298111741889301e-07,6.521447024809348e-05,"P07014,P0AC41,P13035,P0ABJ3,P31979,P06149,P0AC44,P69054,P0ABI8,P0AFC7,P0AFD4,P33602,P0ABJ6,P33232,P0AFF0,P0AFE8,P0AFD6,P0ABJ1",e,6,"(18, 964)","(25, 4278)",{'GO:0045333'}
GO:0044781,bacterial-type flagellum organization,BP,9.754032794674681e-07,0.00028969477400183805,"P75933,P22586,P31068,P76297,P75942,P52612,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(14, 964)","(18, 4278)","{'GO:0030030', 'GO:0006996'}"
GO:0030254,protein secretion by the type III secretion system,BP,1.4551809908398121e-06,0.00035620839574417127,"P22586,P31068,P52612,P0AC05,P0AC07,P76299,P33135,P52613,P76298",e,8,"(9, 964)","(9, 4278)","{'GO:0009306', 'GO:0071806'}"
GO:0015833,peptide transport,BP,2.432305746100017e-06,0.00048159653772780335,"P0AGH5,P0AEG1,P31126,P46890,P23847,P0AAH4,P0AAG0,P33941,P0AGH3,P0AFH6,P76128,P33916,P76027,P0AEF8,P75797,P0AAH8,P33915,P77463,P0AFH2,P37313,P77737,P0AFU0,P77268,P77622,P15078",e,6,"(25, 964)","(46, 4278)",{'GO:0042886'}
GO:0006865,amino acid transport,BP,1.1329594930608468e-05,0.002018933816634429,"P10346,P22729,P23173,P30860,P0AEU3,P25527,P52094,P09551,P07117,P37902,P0AFT2,P30859,P07109,P22731,P0AAF6,P0AEQ6,P0AAG3,P0AAD2,P0AGE4,P0AAE0,P04816,P0AEM9,P0A9S7,P0AER3,P0AEQ3,P33361,P0AER5,P23886,P37774,P29018,P0AD96,P33359,P33360,P0AG38,P0AEX7,P0AE34,P0AEU0,P0AE30",e,4,"(38, 964)","(87, 4278)",{'GO:0006810'}
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,1.364724834173133e-05,0.0022108542313604754,"P22586,P0AE67,P0A6S3,P0A8T5,P0A9H9,P0ABZ1,P0ABX8,P0A6S0,P15070,P06974",e,4,"(10, 964)","(12, 4278)",{'GO:0001539'}
