GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,1.7658024105808207e-19,3.1466598956550224e-16,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P07017,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P07018,P76299,P33135,P06974,P50466,P0A9H9,P05704,P07364,P75938,P15070,P52613,P0A964,P07330,P76298,P02942,P22586,P02925,P0AE67,P27550,P0AC07,P0ABX8",e,3,"(32, 936)","(34, 4278)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.0500395412689386e-12,9.355852312706242e-10,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P31068,P0AEM6,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P33135,P06974,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P29744,P0A6S3,P75942,P0AC07,P0ABX8,P24216",e,5,"(29, 936)","(38, 4278)",{'GO:0097588'}
GO:0044781,bacterial-type flagellum organization,BP,2.4225523991496695e-09,1.4389961250949038e-06,"P75933,P22586,P31068,P76297,P0AEM4,P75942,P52612,P43533,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(16, 936)","(18, 4278)","{'GO:0030030', 'GO:0006996'}"
GO:0022904,respiratory electron transport chain,BP,1.1241969175641835e-08,5.008297267748437e-06,"P0AAJ5,P0AFE0,P0AFE4,P0AFD4,P33599,P0AFC3,P33607,P07014,P31979,P0AEL0,P33602,P75925,P0AFE8,P0AFD1,P06149,P0ABI8,P0AFC7,P0AFD6,P0AFF0",e,5,"(19, 936)","(25, 4278)",{'GO:0022900'}
GO:0044780,bacterial-type flagellum assembly,BP,4.544816857889899e-08,1.61977272815196e-05,"P75933,P0AEM6,P0AC47,P00363,P75942,P52612,P43533,P0AC07,P0A8Q0,P76299,P33135,P26608,P33235,P0ABZ1,P0A8Q3,P52614,P76298",e,7,"(17, 936)","(22, 4278)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0009060,aerobic respiration,BP,1.131506010975508e-07,3.360572852597259e-05,"P07014,P0AC41,P13035,P0ABJ3,P31979,P06149,P0AC44,P69054,P0ABI8,P0AFC7,P0AFD4,P33602,P0ABJ6,P33232,P0AFF0,P0AFE8,P0AFD6,P0ABJ1",e,6,"(18, 936)","(25, 4278)",{'GO:0045333'}
GO:0006099,tricarboxylic acid cycle,BP,1.641941607620904e-07,4.179914206829215e-05,"P0AC44,P05042,P61889,P0AC41,P08200,P0ABH7,P37330,P0AFG6,P0AGE9,P11071,P07014,P08997,P69054,P0AC33,P0AC38,P00864,P0A836,P0A9G6,P0AC47,P0AFG3",e,3,"(20, 936)","(30, 4278)",{'GO:0044238'}
GO:0030254,protein secretion by the type III secretion system,BP,1.1148546881661013e-06,0.0002483338817889991,"P22586,P31068,P52612,P0AC05,P0AC07,P76299,P33135,P52613,P76298",e,8,"(9, 936)","(9, 4278)","{'GO:0009306', 'GO:0071806'}"
GO:0009239,enterobactin biosynthetic process,BP,5.129773188005659e-06,0.0009141255821026085,"P15047,P0AEJ2,P10378,P11454,P0ADI4,P18393,P19925,P0A8Y8",e,7,"(8, 936)","(8, 4278)","{'GO:0009238', 'GO:0019540', 'GO:0033068'}"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,1.0301105831902236e-05,0.0016687791447681623,"P22586,P0AE67,P0A6S3,P0A8T5,P0A9H9,P0ABZ1,P0ABX8,P0A6S0,P15070,P06974",e,4,"(10, 936)","(12, 4278)",{'GO:0001539'}
