GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,3.1163706081994133e-18,5.553372423811354e-15,"P07330,P33135,P0AC07,P76299,P31068,P02925,P07018,P02942,P0A964,P76298,P50466,P0ABW9,P09348,P0A9H9,P22586,P07364,P15070,P75938,P0ABZ1,P0ABX2,P52612,P0ABX8,P52613,P0AEE5,P05704,P06974,P0AF06,P0AE67,P0A8T5,P07017,P0AC05,P0ABX5",e,3,"(32, 1024)","(34, 4278)",{'GO:0042330'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,3.013744744550664e-16,2.6852465673946415e-13,"P33135,P0A7Z4,P0AC07,P76299,P31068,P0A6S0,P75933,P76298,P0ABW9,P09348,P22586,P15070,P0AEM6,P24216,P75938,P0ABZ1,P0ABX2,P76010,P0A6S3,P52612,P0ABX8,P0ABY2,P25798,P52613,P52614,P75942,P06974,P0AF06,P0A8T5,P0AC05,P29744,P26608,P0ABX5",e,5,"(33, 1024)","(38, 4278)",{'GO:0097588'}
GO:0002181,cytoplasmic translation,BP,2.23518684221909e-15,1.3277009842781394e-12,"P0A7R5,P0A7R1,P0ADZ0,P0A7S9,P0AG67,P0A7L0,P0ADZ4,P0A7L8,P0ADY3,P02358,P0AG44,P0A7V8,P0A7U7,P60723,P60422,P0A7W1,P68919,P0A7N9,P0A7T7,P60438,P61175,P0ADY7,P0A7K6,P0A7W7,P0A7R9,P0A7U3,P0AG51,P0A7M2,P62399,P60624,P0AA10,P0AG48,P0C018,P0AG59,P0A7M6,P0A7J7,P0A7T3,P0AG55,P0A7V3,P0A7X3,P68679",e,6,"(41, 1024)","(55, 4278)",{'GO:0006412'}
GO:0006412,translation,BP,3.476492066746177e-14,1.5487772157354215e-11,"P0A7R5,P0A7R1,P0ADZ0,P0A7S9,P60906,P0AG67,P0A6M8,P0A7L0,P0ADZ4,P0CE47,P0A7L8,P08245,P0A6N4,P0ADY3,P0A821,P02358,P0AG44,P0A7U7,P0A7V8,P00957,P60723,P60422,P0A7W1,P68919,P0A7N9,P0A7T7,P60438,P61175,P0ADY7,P0A7K6,P0A7W7,P0A7U3,P0A7R9,P69222,P0AG51,P0CE48,P0A6P1,P0A7M2,P62399,P00956,P60624,P0AA10,P0AG48,P00962,P0C018,P00954,P0AG59,P0A7M6,P0A7J7,P08312,P0A7T3,P0AG55,P0A7I4,P16659,P46837,P0A7V3,P0A7X3,P0A8A8,P68679,P21888,P0A8N3",e,5,"(61, 1024)","(105, 4278)","{'GO:0019538', 'GO:0009059'}"
GO:0044781,bacterial-type flagellum organization,BP,3.5109113584109163e-10,1.2512888081376506e-07,"P43533,P0ABY7,P0AEM4,P76298,P0AC05,P75936,P22586,P52612,P76297,P0ABY2,P26608,P52613,P76299,P31068,P52614,P75942,P75933",e,5,"(17, 1024)","(18, 4278)","{'GO:0006996', 'GO:0030030'}"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,3.3675907648567433e-08,9.404855793381312e-06,"P0AF06,P0AE67,P0A8T5,P0ABZ1,P0A6S3,P22586,P0A9H9,P0ABX8,P09348,P0A6S0,P06974,P15070",e,4,"(12, 1024)","(12, 4278)",{'GO:0001539'}
GO:0006164,purine nucleotide biosynthetic process,BP,3.6943877976245336e-08,9.404855793381312e-06,"P08178,P0AB89,P0A717,P0ADG7,P33221,P15640,P24186,P15254,P09029,P0AG16,P0AG18,P08179,P0ACP7,P15639,P0A7D7",e,8,"(15, 1024)","(17, 4278)","{'GO:0006163', 'GO:0072522', 'GO:0009165'}"
GO:0022904,respiratory electron transport chain,BP,4.863826959077883e-07,0.00010834174551345984,"P0AFE4,P0AFF0,P31979,P0AFE0,P0AFD4,P0AFD6,P0AFC3,P0AFD1,P07014,P33607,P75925,P0ABI8,P0ABE5,P0AFC7,P33602,P33599,P0AFE8,P06149",e,5,"(18, 1024)","(25, 4278)",{'GO:0022900'}
GO:0009252,peptidoglycan biosynthetic process,BP,9.830098037104942e-07,0.00019463594113467784,"P17443,P0A9X4,P08373,P0A6B4,P16926,P0ABH4,P0A749,P0C0T5,P60932,P60472,P0ACC7,P0ABG4,P0AD65,P24228,P31120,P07862,P75806,P17952,P0ABG7,P14900,P22188,P0A908,P0AEB2,P0AD68,P37773,P11880,P0A6W3,P02918",e,7,"(28, 1024)","(50, 4278)","{'GO:0000270', 'GO:0006024', 'GO:0044038'}"
GO:0006189,'de novo' IMP biosynthetic process,BP,1.331777429722863e-06,0.00023732273797661421,"P08178,P0AB89,P33221,P15640,P15254,P09029,P0AG16,P0AG18,P08179,P15639,P0A7D7",e,11,"(11, 1024)","(12, 4278)",{'GO:0006188'}
