GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,2.1368711715033914e-19,3.7373876789594315e-16,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P07017,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P07018,P76299,P33135,P06974,P50466,P09348,P0A9H9,P05704,P07364,P75938,P15070,P52613,P0A964,P07330,P76298,P02942,P22586,P02925,P0AE67,P27550,P0AF06,P0AC07,P0ABX8",e,3,"(34, 1124)","(34, 3938)",{'GO:0042330'}
GO:0006412,translation,BP,1.4773925632124346e-18,1.291979796529274e-15,"P69222,P00954,P00960,P0ADY3,P0A7U3,P00959,P21889,P0C018,P0A7R5,P0A7S9,P0C0U4,P0AG44,P0A7W1,P0A7M6,P0A7R9,P0ADZ4,P60723,P0ADZ0,P60624,P00962,P0A7Q6,P0A7K6,P08245,P0A7D1,P0A7P5,P04805,P0A7R1,P0A9W3,P0A7N9,P0A7I0,P14081,P0A8N3,P68919,P0A7V3,P11875,P0A7V8,P68679,P0AG55,P0A7W7,P0AG48,P60785,P0A8A8,P08312,P0A6N4,P0A7J7,P21888,P0A7T7,P0A7L8,P0A7L0,P0A7T3,P60438,P00957,P0AA10,P61175,P02358,P0A7X3,P0AG59,P02413,P0A7I4,P0A7V0,P60906,P0A6P1,P62399,P60422,P0A7M2,P46837,P0A7U7,P0ADY7,P0AG51,P0AG63,P0A7N4",e,5,"(71, 1124)","(101, 3938)","{'GO:0019538', 'GO:0009059'}"
GO:0002181,cytoplasmic translation,BP,3.802222582808128e-18,2.2166957657771383e-15,"P0ADY3,P0A7U3,P0C018,P0A7R5,P0A7S9,P0AG44,P0A7W1,P0A7M6,P0A7R9,P0ADZ4,P60723,P0ADZ0,P60624,P0A7Q6,P0A7K6,P0A7P5,P0A7R1,P0A7N9,P68919,P0A7V3,P0A7W7,P0A7V8,P68679,P0AG55,P0AG48,P0A7J7,P0A7T7,P0A7L8,P0A7L0,P0A7T3,P60438,P02358,P61175,P0AA10,P0A7X3,P0AG59,P02413,P0A7V0,P62399,P0A7M2,P60422,P0A7U7,P0ADY7,P0AG51,P0AG63,P0A7N4",e,6,"(46, 1124)","(54, 3938)",{'GO:0006412'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,6.427042216060594e-16,2.810224208972495e-13,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P0A7Z4,P31068,P0AEM6,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P33135,P06974,P0A8V2,P09348,P76010,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P29744,P0A6S3,P75942,P0AF06,P0AC07,P0ABX8,P24216",e,5,"(34, 1124)","(37, 3938)",{'GO:0097588'}
GO:0044781,bacterial-type flagellum organization,BP,1.433188550552526e-10,5.013293549832736e-08,"P0ABY7,P75933,P0A8S9,P31068,P22586,P76297,P0AEM4,P75942,P52612,P43533,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(18, 1124)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0006164,purine nucleotide biosynthetic process,BP,5.076361614016669e-10,1.4797594104858591e-07,"P15640,P08179,P08178,P33221,P0AG16,P24186,P15639,P15254,P09029,P0A7D4,P0AB89,P0A7D7,P0ACP7,P0AG18,P0A717,P37051,P0ADG7",e,8,"(17, 1124)","(17, 3938)","{'GO:0006163', 'GO:0009165', 'GO:0072522'}"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,2.802749426913008e-07,6.127510934588564e-05,"P22586,P0AE67,P0A6S3,P0AF06,P0A8T5,P09348,P0A9H9,P0ABZ1,P0ABX8,P0A6S0,P15070,P06974",e,4,"(12, 1124)","(12, 3938)",{'GO:0001539'}
GO:0006189,'de novo' IMP biosynthetic process,BP,2.802749426913008e-07,6.127510934588564e-05,"P15640,P08179,P08178,P33221,P0AG16,P15639,P15254,P09029,P0AB89,P0A7D7,P0AG18,P37051",e,11,"(12, 1124)","(12, 3938)",{'GO:0006188'}
GO:0000027,ribosomal large subunit assembly,BP,4.040327220216963e-07,7.85170256462163e-05,"P0AG44,P0A7M6,P0ADZ0,P60624,P0A7K6,P0A7N9,P68919,P0AG55,P0A7J7,P21507,P0A7L8,P0A7L0,P60438,P0AGK4,P62399,P0A7M2,P60422,P0ADY7,P0AG51,P0A7N4",e,7,"(20, 1124)","(26, 3938)",{'GO:0022618'}
GO:0000028,ribosomal small subunit assembly,BP,6.896292427990124e-07,0.00012061615456554728,"P0A7V8,P68679,P0A8A8,P39286,P0AGK4,P0A7W7,P0A7U3,P0A7V0,P0A7U7,P0A7W1,P0A7T3,P0ADZ4,P0AG59,P0A7V3,P0AG63,P0A7X6",e,7,"(16, 1124)","(19, 3938)",{'GO:0022618'}
