GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0002181,cytoplasmic translation,BP,5.703226673271319e-14,9.974943451551537e-11,"P0ADY3,P0A7W7,P0C018,P02358,P0A7U7,P60723,P0A7N4,P0A7X3,P0A7R5,P0AG51,P0A7P5,P62399,P0A7M2,P60422,P0A7W1,P60438,P0A7V8,P0A7Q6,P0AA10,P0A7S9,P0AG48,P0A7T3,P0AG44,P61175,P0A7U3,P68919,P0AG59,P0A7V3,P0A7L8,P0AG55,P60624,P68679,P0A7N9,P0ADY7,P0A7M6,P0A7T7,P0A7R9,P0ADZ0,P0A7R1,P0A7K6",e,6,"(40, 999)","(54, 3938)",{'GO:0006412'}
GO:0006412,translation,BP,3.1108454949412915e-13,2.7204343853261597e-10,"P0ADY3,P0A8L1,P33919,P0A7W7,P0C018,P02358,P0AAS7,P11875,P0A7U7,P60723,P00962,P0A7N4,P00957,P0A7X3,P0A7R5,P0AG51,P0A7P5,P62399,P0A7M2,P00961,P0A8N3,P00956,P60422,P60438,P0A7V8,P0A7W1,P0A7Q6,P00959,P0AA10,P14081,P0A7S9,P0AG48,P0A7T3,P0AG44,P61175,P0A7U3,P68919,P0AG59,P0A7V3,P0A7L8,P0A6P1,P0AG55,P60624,P21889,P68679,P0A7N9,P60785,P60906,P0A6N4,P0ADY7,P08245,P46837,P0A7M6,P0A7T7,P0A7R9,P0AGJ9,P0ADZ0,P0A7R1,P0A7K6,P00954",e,5,"(60, 999)","(101, 3938)","{'GO:0019538', 'GO:0009059'}"
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.4607842007152872e-12,8.516371890170124e-10,"P0A6S0,P76298,P0ABX8,P0ABX2,P0A6S3,P0ABW9,P0AEM6,P75938,P0A7Z4,P15070,P52612,P24216,P25798,P26608,P0AC05,P06974,P0ABY2,P75933,P0A8T5,P75942,P52614,P31068,P33135,P0ABZ1,P0ABX5,P52613,P0AC07,P0A8T7,P22586,P0A8V2",e,5,"(30, 999)","(37, 3938)",{'GO:0097588'}
GO:0006164,purine nucleotide biosynthetic process,BP,8.528854568219992e-08,3.7292416599541913e-05,"P0AG16,P15639,P0AB89,P0A717,P0A7D4,P33221,P24186,P0A7D7,P08179,P15640,P0ACP7,P0AG18,P15254,P09029,P08178",e,8,"(15, 999)","(17, 3938)","{'GO:0009165', 'GO:0072522', 'GO:0006163'}"
GO:0015031,protein transport,BP,2.0649274109437713e-07,7.223116083481313e-05,"P25714,P76298,P77622,P31126,P77268,P69428,P37313,P10408,P0AAG0,P76027,P0AGA2,P0ABU7,P52612,P61316,P0AG99,P0AFH6,P23847,P0ADZ7,P77304,P0AEF8,P0AC05,P77737,P77463,P31068,P69423,P45759,P02931,P0AEG1,P15078,P52613,P0AG90,P77308,P76128,P23843,P0A850,P0AFH2,P69425",e,6,"(37, 999)","(67, 3938)","{'GO:0071705', 'GO:0045184'}"
GO:0044781,bacterial-type flagellum organization,BP,3.9163514928394817e-07,0.0001141616460162709,"P52613,P0AC05,P75936,P0ABY2,P22586,P75933,P76298,P75942,P76297,P52614,P31068,P52612,P0A8S9,P0ABY7,P26608",e,5,"(15, 999)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0006189,'de novo' IMP biosynthetic process,BP,2.4807509898255865e-06,0.0006198333544578501,"P0AG16,P15639,P0AB89,P33221,P0A7D7,P08179,P15640,P0AG18,P15254,P09029,P08178",e,11,"(11, 999)","(12, 3938)",{'GO:0006188'}
GO:0006754,ATP biosynthetic process,BP,4.235319795832832e-06,0.000823063813656847,"P0ABB4,P68699,P0ABB0,P0ABA0,P0ABA6,P0ABA4,P52612,P0AB98,P0A6E6",e,10,"(9, 999)","(9, 3938)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,4.235319795832832e-06,0.000823063813656847,"P0ABB4,P68699,P0ABB0,P0ABA0,P0ABA6,P0ABA4,P52612,P0AB98,P0A6E6",e,11,"(9, 999)","(9, 3938)",{'GO:0006754'}
GO:0008360,regulation of cell shape,BP,5.25824778188715e-06,0.0009196675370520625,"P60472,P0A9X4,P0A6W3,P17952,P0AD65,P75806,P14900,P0A749,P0A6J8,P16926,P17443,P0AD70,P22188,P0AEB2,P0AF16,P0ABH4,P07862,P02918,P0ABG4,P24228,P0AA99,P46022,P37773,P45464,P22634,P11880,Q46824",e,6,"(27, 999)","(48, 3938)","{'GO:0022604', 'GO:0065008'}"
GO:0006935,chemotaxis,BP,7.192548909938778e-06,0.0010728855335399054,"P76298,P0ABX8,P0ABX2,P0ABW9,P75938,P0AEE5,P15070,P52612,P23847,P02925,P0AC05,P06974,P0A8T5,P31068,P33135,P0ABZ1,P0ABX5,P52613,P0AC07,P22586,P27550",e,3,"(21, 999)","(34, 3938)",{'GO:0042330'}
GO:0015833,peptide transport,BP,7.36113573612285e-06,0.0010728855335399054,"P0AAH8,P33916,P77622,P45768,P31126,P77268,P37313,P0AAG0,P76027,P33941,P23847,P0AFH6,P0AFU0,P77304,P0AEF8,P77737,P77463,P0AEG1,P33915,P15078,P77308,P0AAH4,P76128,P23843,P0AFH2,P45767",e,6,"(26, 999)","(46, 3938)",{'GO:0042886'}
GO:0009252,peptidoglycan biosynthetic process,BP,8.233481603488948e-06,0.0011077199480386286,"P60472,P0A9X4,P0A6W3,P17952,P0AD65,P75806,P14900,P0A749,P0A6J8,P16926,P17443,P22188,P0A908,P0AEB2,P0AF16,P0ABH4,P07862,P02918,P0ABG4,P24228,P0AA99,P46022,P0C0T5,P37773,P45464,P22634,P11880",e,7,"(27, 999)","(49, 3938)","{'GO:0006024', 'GO:0044038', 'GO:0000270'}"
GO:0009239,enterobactin biosynthetic process,BP,1.679597053241476e-05,0.001958410164079561,"P11454,P0ADI4,P18393,P0A8Y8,P15047,P0AEJ2,P10378,P19925",e,7,"(8, 999)","(8, 3938)","{'GO:0019540', 'GO:0009238', 'GO:0033068'}"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,1.679597053241476e-05,0.001958410164079561,"P0ABB4,P68699,P0ABB0,P0ABA0,P0ABA6,P0ABA4,P0AB98,P0A6E6",e,12,"(8, 999)","(8, 3938)",{'GO:0015986'}
GO:0000027,ribosomal large subunit assembly,BP,1.8716976458840524e-05,0.002045999489157005,"P0ADY7,P0AGK4,P0AG44,P0A7M6,P0AG51,P68919,P0A7L8,P0A7M2,P0ADZ0,P0AG55,P60624,P62399,P0A7N9,P60422,P60438,P0A7K6,P0A7N4",e,7,"(17, 999)","(26, 3938)",{'GO:0022618'}
GO:0006541,glutamine metabolic process,BP,4.2914602432692927e-05,0.004415155273810584,"P04079,P0AG16,P09831,P60595,P0A6W0,P22106,P00904,P0A786,P15254,P77454,P0A6F1,P00968",e,9,"(12, 999)","(16, 3938)",{'GO:0009064'}
GO:0009060,aerobic respiration,BP,4.9263485818546185e-05,0.00453483351034933,"P33232,P31979,P0AFE8,P0AC41,P0AFD4,P0ABJ3,P0ABJ6,P0AFF0,P0AFD6,P33602,P0ABJ1,P0ABI8,P0AC44,P06149,P69054,P07014",e,6,"(16, 999)","(25, 3938)",{'GO:0045333'}
GO:0022904,respiratory electron transport chain,BP,4.9263485818546185e-05,0.00453483351034933,"P31979,P0AFE8,P0AFD1,P0AFD4,P0AFE0,P0AFF0,P0AFD6,P33602,P33599,P0AAJ5,P33607,P0ABI8,P0AFE4,P06149,P0AEL0,P07014",e,5,"(16, 999)","(25, 3938)",{'GO:0022900'}
GO:0030254,protein secretion by the type III secretion system,BP,0.0001172811764250702,0.01025623887837239,"P52613,P0AC05,P0AC07,P22586,P76298,P31068,P52612,P33135",e,8,"(8, 999)","(9, 3938)","{'GO:0009306', 'GO:0071806'}"
GO:0042938,dipeptide transport,BP,0.0001289581195278188,0.010740369097816909,"P0AAG0,P77622,P77308,P77463,P0AEG1,P37313,P23847,P76128,P77268,P77304,P0AEF8",e,7,"(11, 999)","(15, 3938)",{'GO:0006857'}
GO:0044780,bacterial-type flagellum assembly,BP,0.00016304736343193332,0.012962265392838698,"P0AC07,P0A8T7,P0A7Z4,P75933,P76298,P75942,P0AEM6,P52614,P0A8S9,P52612,P33135,P0ABZ1,P26608,P0A8V2",e,7,"(14, 999)","(22, 3938)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0035351,heme transmembrane transport,BP,0.00041488756242569685,0.030234931111772657,"P0AEF8,P29018,P23886,P0AEG1,P37313,P23847,P0AAG0",e,11,"(7, 999)","(8, 3938)","{'GO:0034755', 'GO:0015886'}"
GO:0006090,pyruvate metabolic process,BP,0.00041488756242569685,0.030234931111772657,"P37349,P06959,P76014,P26616,P23538,P27306,P76015",e,7,"(7, 999)","(8, 3938)",{'GO:0032787'}
