GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0006935,chemotaxis,BP,3.641174890062752e-21,6.368414882719753e-18,"P76298,P0ABX8,P0ABX2,P0ABW9,P0A964,P75938,P0AEE5,P09348,P07017,P15070,P52612,P23847,P07018,P07330,P07364,P0AE67,P02925,P0AC05,P06974,P0A8T5,P02942,P0A9H9,P31068,P33135,P0ABZ1,P0ABX5,P52613,P0AC07,P22586,P27550,P05704,P76299,P0AF06,P50466",e,3,"(34, 999)","(34, 3938)",{'GO:0042330'}
GO:0002181,cytoplasmic translation,BP,3.309083445503037e-19,2.893793473092406e-16,"P0ADY3,P0A7W7,P0C018,P02358,P0ADZ4,P0A7U7,P60723,P0AG63,P0A7N4,P0A7J7,P0A7X3,P0A7R5,P0AG51,P0A7P5,P62399,P0A7M2,P0A7V0,P60422,P0A7W1,P60438,P0A7V8,P0AA10,P0A7S9,P0A7L0,P0AG48,P0A7T3,P0AG44,P61175,P0A7U3,P68919,P0AG59,P0A7V3,P0A7L8,P0AG55,P60624,P68679,P0A7N9,P0ADY7,P0A7M6,P0A7T7,P0A7R9,P02413,P0ADZ0,P0A7R1,P0A7K6",e,6,"(45, 999)","(54, 3938)",{'GO:0006412'}
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.2413746575014146e-17,7.237214253233247e-15,"P0A6S0,P76298,P0ABX8,P0ABX2,P0A6S3,P0ABW9,P0AEM6,P75938,P0A7Z4,P09348,P15070,P52612,P24216,P25798,P29744,P26608,P0AC05,P06974,P0ABY2,P75933,P0A8T5,P75942,P52614,P31068,P33135,P0ABZ1,P0ABX5,P52613,P0AC07,P22586,P76010,P76299,P0AF06,P0A8V2",e,5,"(34, 999)","(37, 3938)",{'GO:0097588'}
GO:0006412,translation,BP,1.9113568863268796e-15,8.357407985464281e-13,"P0ADY3,P00960,P0A7W7,P0C018,P02358,P0ADZ4,P0C0U4,P11875,P0A7U7,P60723,P0AG63,P00962,P0A7N4,P0A7J7,P00957,P69222,P0A7X3,P0A7R5,P0AG51,P0A7P5,P62399,P0A7M2,P0A7V0,P0A8N3,P60422,P0A7W1,P60438,P21888,P0A7V8,P0A7I4,P0AA10,P00959,P0A7S9,P0A7L0,P0AG48,P08312,P0A7T3,P0AG44,P61175,P0A7U3,P68919,P0AG59,P0A7V3,P0A7L8,P0A6P1,P0AG55,P60624,P68679,P60785,P0A7N9,P60906,P0ADY7,P08245,P04805,P46837,P0A7M6,P0A7T7,P0A7R9,P02413,P0ADZ0,P0A7R1,P0A7K6,P0A7I0",e,5,"(63, 999)","(101, 3938)","{'GO:0019538', 'GO:0009059'}"
GO:0044781,bacterial-type flagellum organization,BP,1.6873646134355596e-11,5.902401417797588e-09,"P52613,P0AC05,P75936,P0ABY2,P0AEM4,P75933,P76298,P22586,P75942,P76297,P52614,P31068,P76299,P43533,P52612,P0A8S9,P0ABY7,P26608",e,5,"(18, 999)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0006164,purine nucleotide biosynthetic process,BP,3.4918120953797136e-09,1.0178632258031866e-06,"P0AG16,P15639,P0AB89,P0ADG7,P0A7D4,P33221,P24186,P0A717,P0A7D7,P08179,P15640,P0ACP7,P0AG18,P15254,P09029,P08178",e,8,"(16, 999)","(17, 3938)","{'GO:0009165', 'GO:0072522', 'GO:0006163'}"
GO:0000027,ribosomal large subunit assembly,BP,4.771259771479475e-08,1.1921333343310859e-05,"P0A7J7,P0A7N4,P0AG51,P62399,P0A7M2,P60422,P60438,P0A7L0,P0AG44,P68919,P0A7L8,P0AG55,P21507,P60624,P0A7N9,P0ADY7,P0AGK4,P0A7M6,P0ADZ0,P0A7K6",e,7,"(20, 999)","(26, 3938)",{'GO:0022618'}
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,6.760210662918358e-08,1.477951056180526e-05,"P0A6S0,P06974,P22586,P0ABX8,P09348,P0A8T5,P0A9H9,P15070,P0A6S3,P0AF06,P0ABZ1,P0AE67",e,4,"(12, 999)","(12, 3938)",{'GO:0001539'}
GO:0000028,ribosomal small subunit assembly,BP,1.4241482428518815e-06,0.00027675947519421564,"P0AGK4,P39286,P0A7W7,P0A7T3,P0A7U3,P0AG59,P0A7V3,P0ADZ4,P0A7X6,P0A7V0,P0A7W1,P0A7U7,P68679,P0AG63,P0A7V8",e,7,"(15, 999)","(19, 3938)",{'GO:0022618'}
GO:0071555,cell wall organization,BP,1.7792392838402852e-06,0.00031118895074366587,"P60472,P0A935,P76190,P0A6W3,P75954,P17952,P0AD65,P64426,P76577,P75806,P14900,P0AGC5,P0A749,P0A6J8,P17443,P31697,P0AD70,P0AFV4,P22188,P0AEB2,P0AF16,P63883,P77790,P0AD14,P0AE16,P75942,P02918,P36548,P0ABG4,P24228,P0A6B4,P0AA99,P46022,P0C066,P37773,P0AEZ7,P11880",e,5,"(37, 999)","(72, 3938)","{'GO:0071554', 'GO:0045229'}"
