GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0002181,cytoplasmic translation,BP,6.832479717149728e-14,1.1950007025294876e-10,"P0ADY3,P0A7U3,P0C018,P0A7R5,P0A7S9,P0AG44,P0A7W1,P0A7M6,P0A7R9,P60723,P0ADZ0,P60624,P0A7Q6,P0A7K6,P0A7P5,P0A7R1,P0A7N9,P68919,P0A7V3,P0A7W7,P0A7V8,P68679,P0AG55,P0AG48,P0A7T7,P0A7L8,P0A7T3,P60438,P02358,P61175,P0AA10,P0A7X3,P0AG59,P62399,P0A7M2,P60422,P0A7U7,P0ADY7,P0AG51,P0A7N4",e,6,"(40, 1004)","(54, 3938)",{'GO:0006412'}
GO:0006412,translation,BP,3.5507130985166487e-13,3.105098604652809e-10,"P00954,P00961,P0ADY3,P00959,P0A7U3,P21889,P0C018,P0A7R5,P0A7S9,P33919,P0AG44,P00956,P0A7W1,P0A7M6,P0AGJ9,P0A7R9,P60723,P0ADZ0,P60624,P00962,P0A7Q6,P0A7K6,P08245,P0A7P5,P0A7R1,P0A8L1,P0A7N9,P14081,P0A8N3,P68919,P0A7V3,P11875,P0A7V8,P68679,P0AG55,P0A7W7,P0AG48,P60785,P0A6N4,P0A7T7,P0A7L8,P0A7T3,P60438,P00957,P0AA10,P61175,P02358,P0A7X3,P0AG59,P0AAS7,P62399,P60906,P0A6P1,P0A7M2,P60422,P46837,P0A7U7,P0ADY7,P0AG51,P0A7N4",e,5,"(60, 1004)","(101, 3938)","{'GO:0019538', 'GO:0009059'}"
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,1.6813024228362469e-12,9.80199312513532e-10,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P0A7Z4,P31068,P0AEM6,P0ABX2,P52612,P0ABY2,P0AC05,P0A8T7,P33135,P06974,P0A8V2,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P0A6S3,P75942,P0AC07,P0ABX8,P24216",e,5,"(30, 1004)","(37, 3938)",{'GO:0097588'}
GO:0006164,purine nucleotide biosynthetic process,BP,9.16827347015185e-08,4.008827574823897e-05,"P15640,P08179,P08178,P33221,P0AG16,P24186,P15639,P15254,P09029,P0A7D4,P0AB89,P0A7D7,P0ACP7,P0AG18,P0A717",e,8,"(15, 1004)","(17, 3938)","{'GO:0006163', 'GO:0009165', 'GO:0072522'}"
GO:0015031,protein transport,BP,2.2183735978289753e-07,7.759870845205756e-05,"P0AG99,P23843,P69428,P0ABU7,P02931,P0AEG1,P31068,P31126,P0ADZ7,P10408,P23847,P52612,P0AC05,P0AAG0,P69423,P25714,P0AGA2,P0AFH6,P77308,P76128,P76027,P61316,P0AEF8,P0AG90,P69425,P0A850,P52613,P76298,P77463,P77304,P45759,P0AFH2,P37313,P77737,P77268,P77622,P15078",e,6,"(37, 1004)","(67, 3938)","{'GO:0071705', 'GO:0045184'}"
GO:0044781,bacterial-type flagellum organization,BP,4.2034269217611926e-07,0.00012252989476933877,"P0ABY7,P75933,P0A8S9,P31068,P22586,P76297,P75942,P52612,P0ABY2,P0AC05,P75936,P26608,P52613,P52614,P76298",e,5,"(15, 1004)","(18, 3938)","{'GO:0030030', 'GO:0006996'}"
GO:0006189,'de novo' IMP biosynthetic process,BP,2.6175454786998435e-06,0.0006540124346065752,"P15640,P08179,P08178,P33221,P0AG16,P15639,P15254,P09029,P0AB89,P0A7D7,P0AG18",e,11,"(11, 1004)","(12, 3938)",{'GO:0006188'}
GO:0006754,ATP biosynthetic process,BP,4.43076394170424e-06,0.0008610451260045238,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0AB98,P0ABA4,P0ABA0",e,10,"(9, 1004)","(9, 3938)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,4.43076394170424e-06,0.0008610451260045238,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0AB98,P0ABA4,P0ABA0",e,11,"(9, 1004)","(9, 3938)",{'GO:0006754'}
GO:0008360,regulation of cell shape,BP,5.692780071161391e-06,0.0009956672344461274,"P46022,P45464,P60472,P17443,P75806,P24228,P16926,P0A6W3,P11880,P0AD65,Q46824,P0A749,P37773,P0AEB2,P0A6J8,P14900,P07862,P0ABG4,P02918,P0AA99,P0ABH4,P22634,P0A9X4,P0AF16,P17952,P22188,P0AD70",e,6,"(27, 1004)","(48, 3938)","{'GO:0065008', 'GO:0022604'}"
