gene,uniprot,GO_ID,GO_name,namespace,is_motility
rbsB,P02925,GO:0006935,chemotaxis,biological_process,True
rbsB,P02925,GO:0050918,positive chemotaxis,biological_process,True
rbsB,P02925,GO:0015752,D-ribose transmembrane transport,biological_process,False
trg,P05704,GO:0006935,chemotaxis,biological_process,True
trg,P05704,GO:0007165,signal transduction,biological_process,False
nikA,P33590,GO:0055085,transmembrane transport,biological_process,False
nikA,P33590,GO:0050919,negative chemotaxis,biological_process,True
nikA,P33590,GO:0015675,nickel cation transport,biological_process,False
nikA,P33590,GO:0015833,peptide transport,biological_process,False
nikA,P33590,GO:0098716,nickel cation import across plasma membrane,biological_process,False
tap,P07018,GO:0006935,chemotaxis,biological_process,True
tap,P07018,GO:0007165,signal transduction,biological_process,False
tar,P07017,GO:0071230,cellular response to amino acid stimulus,biological_process,False
tar,P07017,GO:0006935,chemotaxis,biological_process,True
tar,P07017,GO:0007165,signal transduction,biological_process,False
tar,P07017,GO:0007172,signal complex assembly,biological_process,False
tar,P07017,GO:0009593,detection of chemical stimulus,biological_process,False
tar,P07017,GO:0050920,regulation of chemotaxis,biological_process,True
tar,P07017,GO:1901875,positive regulation of post-translational protein modification,biological_process,False
tar,P07017,GO:0051260,protein homooligomerization,biological_process,False
motB,P0AF06,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
motB,P0AF06,GO:0006935,chemotaxis,biological_process,True
motB,P0AF06,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
motB,P0AF06,GO:1902600,proton transmembrane transport,biological_process,False
acs,P27550,GO:0034421,post-translational protein acetylation,biological_process,False
acs,P27550,GO:0045733,acetate catabolic process,biological_process,False
acs,P27550,GO:0006935,chemotaxis,biological_process,True
acs,P27550,GO:0018394,peptidyl-lysine acetylation,biological_process,False
acs,P27550,GO:0019427,acetyl-CoA biosynthetic process from acetate,biological_process,False
acs,P27550,GO:0006085,acetyl-CoA biosynthetic process,biological_process,False
