GO_ID,Term,set_size,logFDR_dis,logFDR_reg,diff_reg_minus_dis,abs_diff
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,8,2.70809634555568,2.8542243812339265,0.14612803567824661,0.14612803567824661
GO:0035351,heme transmembrane transport,8,1.5194910165672544,1.6577937147335355,0.13830269816628116,0.13830269816628116
GO:0006754,ATP biosynthetic process,9,3.084566491829486,3.334443965046133,0.24987747321664688,0.24987747321664688
GO:0015986,proton motive force-driven ATP synthesis,9,3.084566491829486,3.334443965046133,0.24987747321664688,0.24987747321664688
GO:0030254,protein secretion by the type III secretion system,9,1.9890118725414454,3.334443965046133,1.3454320925046876,1.3454320925046876
GO:0006189,'de novo' IMP biosynthetic process,12,3.2077250572235325,3.4040197023675405,0.19629464514400796,0.19629464514400796
GO:0042938,dipeptide transport,15,1.968980793646632,1.3568820196141265,-0.6120987740325055,0.6120987740325055
GO:0006164,purine nucleotide biosynthetic process,17,4.428379472851075,5.992310575898755,1.56393110304768,1.56393110304768
GO:0044781,bacterial-type flagellum organization,18,3.942479778062652,8.228971257796726,4.286491479734074,4.286491479734074
GO:0044780,bacterial-type flagellum assembly,22,1.8873190909321338,3.334443965046133,1.4471248741139993,1.4471248741139993
GO:0009060,aerobic respiration,25,2.3434386527855557,1.8476207241391025,-0.49581792864645324,0.49581792864645324
GO:0022904,respiratory electron transport chain,25,2.3434386527855557,3.1081429943027317,0.7647043415171759,0.7647043415171759
GO:0000027,ribosomal large subunit assembly,26,2.6890944790580344,4.923675168147926,2.2345806890898916,2.2345806890898916
GO:0006935,chemotaxis,34,2.969446610563212,17.195968651393727,14.226522040830515,14.226522040830515
GO:0071973,bacterial-type flagellum-dependent cell motility,37,9.06974538218882,14.140428570165215,5.070683187976394,5.070683187976394
GO:0008360,regulation of cell shape,48,3.0363691432183293,3.2668180645966314,0.23044892137830209,0.23044892137830209
GO:0009252,peptidoglycan biosynthetic process,49,2.9555700233573248,3.1081429943027317,0.1525729709454069,0.1525729709454069
GO:0002181,cytoplasmic translation,54,10.001089557671163,15.538532467238031,5.5374429095668685,5.5374429095668685
GO:0015031,protein transport,67,4.141275405489941,2.728319281179695,-1.4129561243102464,1.4129561243102464
GO:0006412,translation,101,9.565361744462884,12.077928396263973,2.512566651801089,2.512566651801089
