GO_ID,Term,p_uncorrected,set_size,study_count
GO:0002181,cytoplasmic translation,5.703226673271319e-14,54,40
GO:0006412,translation,3.1108454949412915e-13,101,60
GO:0071973,bacterial-type flagellum-dependent cell motility,1.4607842007152872e-12,37,30
GO:0006164,purine nucleotide biosynthetic process,8.528854568219992e-08,17,15
GO:0015031,protein transport,2.0649274109437713e-07,67,37
GO:0044781,bacterial-type flagellum organization,3.9163514928394817e-07,18,15
GO:0006189,'de novo' IMP biosynthetic process,2.4807509898255865e-06,12,11
GO:0006754,ATP biosynthetic process,4.235319795832832e-06,9,9
GO:0015986,proton motive force-driven ATP synthesis,4.235319795832832e-06,9,9
GO:0008360,regulation of cell shape,5.25824778188715e-06,48,27
GO:0006935,chemotaxis,7.192548909938778e-06,34,21
GO:0015833,peptide transport,7.36113573612285e-06,46,26
GO:0009252,peptidoglycan biosynthetic process,8.233481603488948e-06,49,27
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,1.679597053241476e-05,8,8
GO:0009239,enterobactin biosynthetic process,1.679597053241476e-05,8,8
GO:0000027,ribosomal large subunit assembly,1.8716976458840524e-05,26,17
GO:0006541,glutamine metabolic process,4.2914602432692927e-05,16,12
GO:0009060,aerobic respiration,4.9263485818546185e-05,25,16
GO:0022904,respiratory electron transport chain,4.9263485818546185e-05,25,16
GO:0030254,protein secretion by the type III secretion system,0.0001172811764250702,9,8
GO:0042938,dipeptide transport,0.0001289581195278188,15,11
GO:0044780,bacterial-type flagellum assembly,0.00016304736343193332,22,14
GO:0035351,heme transmembrane transport,0.00041488756242569685,8,7
GO:0006090,pyruvate metabolic process,0.00041488756242569685,8,7
GO:0071555,cell wall organization,0.0009281877346556587,72,31
GO:0140205,oligopeptide import across plasma membrane,0.001042793459010081,5,5
GO:0042956,maltodextrin transmembrane transport,0.001042793459010081,5,5
GO:0006537,glutamate biosynthetic process,0.001042793459010081,5,5
GO:0019402,galactitol metabolic process,0.001042793459010081,5,5
GO:0006221,pyrimidine nucleotide biosynthetic process,0.0012981556167641962,11,8
GO:0044205,'de novo' UMP biosynthetic process,0.0014454957798070208,7,6
GO:0015768,maltose transport,0.0014454957798070208,7,6
GO:0015803,branched-chain amino acid transport,0.0014454957798070208,7,6
GO:0015990,electron transport coupled proton transport,0.0014565099134278903,9,7
GO:0006099,tricarboxylic acid cycle,0.002202518430973735,26,14
GO:0019646,aerobic electron transport chain,0.002363355427569771,14,9
GO:0000028,ribosomal small subunit assembly,0.0025363722945454877,19,11
GO:0022900,electron transport chain,0.0030308559527955944,12,8
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,0.0030308559527955944,12,8
GO:0065002,intracellular protein transmembrane transport,0.0037924056972610085,10,7
GO:0009243,O antigen biosynthetic process,0.00412296428919162,4,4
GO:0015764,N-acetylglucosamine transport,0.00412296428919162,4,4
GO:0019290,siderophore biosynthetic process,0.00412296428919162,4,4
GO:0098712,L-glutamate import across plasma membrane,0.00412296428919162,4,4
GO:0000918,division septum site selection,0.00412296428919162,4,4
GO:1904981,maltose transmembrane transport,0.00412296428919162,4,4
GO:0019305,dTDP-rhamnose biosynthetic process,0.00412296428919162,4,4
GO:1903810,L-histidine import across plasma membrane,0.00412296428919162,4,4
GO:0032978,protein insertion into membrane from inner side,0.0045373204319509915,8,6
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,0.0045373204319509915,8,6
GO:1903785,L-valine transmembrane transport,0.0045373204319509915,8,6
GO:0009073,aromatic amino acid family biosynthetic process,0.004588651320915014,15,9
GO:0071705,nitrogen compound transport,0.004588651320915014,15,9
GO:0006865,amino acid transport,0.004922994055599367,84,33
GO:0042355,L-fucose catabolic process,0.004939017684830865,6,5
GO:0030261,chromosome condensation,0.004939017684830865,6,5
GO:0006418,tRNA aminoacylation for protein translation,0.0061396540085788785,13,8
GO:0006633,fatty acid biosynthetic process,0.007186188009650034,20,11
GO:0051301,cell division,0.0072002897338517375,76,30
GO:0006730,one-carbon metabolic process,0.008157343338130436,11,7
GO:0009058,biosynthetic process,0.008491714517628177,29,14
GO:0000162,tryptophan biosynthetic process,0.010698941468997195,9,6
GO:0043952,protein transport by the Sec complex,0.010698941468997195,9,6
GO:0042773,ATP synthesis coupled electron transport,0.010698941468997195,9,6
GO:0000105,L-histidine biosynthetic process,0.010698941468997195,9,6
GO:0051205,protein insertion into membrane,0.013672822447390482,7,5
GO:0006004,fucose metabolic process,0.013672822447390482,7,5
GO:0015757,galactose transmembrane transport,0.013672822447390482,7,5
GO:0015823,phenylalanine transport,0.013672822447390482,7,5
GO:0042884,microcin transport,0.013672822447390482,7,5
GO:0045226,extracellular polysaccharide biosynthetic process,0.015334425677599196,12,7
GO:0045333,cellular respiration,0.015334425677599196,12,7
GO:0071934,thiamine transmembrane transport,0.01628902056020986,3,3
GO:0019404,galactitol catabolic process,0.01628902056020986,3,3
GO:0098777,protein secretion by the type VIII secretion system,0.01628902056020986,3,3
GO:0019676,ammonia assimilation cycle,0.01628902056020986,3,3
GO:0006085,acetyl-CoA biosynthetic process,0.01628902056020986,3,3
GO:0006569,tryptophan catabolic process,0.01628902056020986,3,3
GO:0006868,glutamine transport,0.01628902056020986,3,3
GO:0015761,mannose transmembrane transport,0.01628902056020986,3,3
GO:1903803,L-glutamine import across plasma membrane,0.01628902056020986,3,3
GO:0050918,positive chemotaxis,0.01628902056020986,3,3
GO:0044209,AMP salvage,0.01628902056020986,3,3
GO:0042941,D-alanine transmembrane transport,0.01628902056020986,3,3
GO:0006546,glycine catabolic process,0.01628902056020986,3,3
GO:0045227,capsule polysaccharide biosynthetic process,0.01628902056020986,3,3
GO:0019464,glycine decarboxylation via glycine cleavage system,0.01628902056020986,3,3
GO:0006568,tryptophan metabolic process,0.01628902056020986,3,3
GO:0019317,fucose catabolic process,0.01644364760991776,5,4
GO:1903714,isoleucine transmembrane transport,0.01644364760991776,5,4
GO:0009165,nucleotide biosynthetic process,0.01644364760991776,5,4
GO:0140207,tripeptide import across plasma membrane,0.01644364760991776,5,4
GO:0006414,translational elongation,0.01644364760991776,5,4
GO:0140009,L-aspartate import across plasma membrane,0.01644364760991776,5,4
GO:0015834,peptidoglycan-associated peptide transport,0.01644364760991776,5,4
GO:1905887,autoinducer AI-2 transmembrane transport,0.01644364760991776,5,4
GO:0006260,DNA replication,0.016923586208231523,40,17
GO:0009307,DNA restriction-modification system,0.028898659139789618,8,5
GO:0044718,siderophore transmembrane transport,0.028898659139789618,8,5
GO:0006139,nucleobase-containing compound metabolic process,0.028898659139789618,8,5
GO:0006166,purine ribonucleoside salvage,0.028898659139789618,8,5
GO:0009245,lipid A biosynthetic process,0.031397403180529325,24,11
GO:0031564,transcription antitermination,0.03493083662033915,19,9
GO:0035442,dipeptide transmembrane transport,0.03493083662033915,19,9
GO:0032784,regulation of DNA-templated transcription elongation,0.03654042727276674,11,6
GO:0009372,quorum sensing,0.03654042727276674,11,6
GO:0009423,chorismate biosynthetic process,0.03654042727276674,11,6
GO:0006298,mismatch repair,0.03654042727276674,11,6
GO:0045454,cell redox homeostasis,0.03841742751639367,16,8
GO:0009244,lipopolysaccharide core region biosynthetic process,0.03841742751639367,16,8
GO:0006108,malate metabolic process,0.03945290746009157,6,4
GO:0035999,tetrahydrofolate interconversion,0.03945290746009157,6,4
GO:0006886,intracellular protein transport,0.03945290746009157,6,4
GO:0008033,tRNA processing,0.04086197634890659,55,21
GO:0009103,lipopolysaccharide biosynthetic process,0.04086197634890659,55,21
GO:1902600,proton transmembrane transport,0.045357407361819924,66,24
GO:0009246,enterobacterial common antigen biosynthetic process,0.05164830622828014,9,5
GO:0008652,amino acid biosynthetic process,0.051863055115274476,35,14
GO:0015808,L-alanine transport,0.052787189373264584,4,3
GO:0015687,ferric-hydroxamate import into cell,0.052787189373264584,4,3
GO:0043953,protein transport by the Tat complex,0.052787189373264584,4,3
GO:1902344,negative regulation of maltose transport,0.052787189373264584,4,3
GO:0098708,D-glucose import across plasma membrane,0.052787189373264584,4,3
GO:0015765,methylgalactoside transport,0.052787189373264584,4,3
GO:0098775,curli assembly,0.052787189373264584,4,3
GO:0015862,uridine transmembrane transport,0.052787189373264584,4,3
GO:0034763,negative regulation of transmembrane transport,0.052787189373264584,4,3
GO:0006274,DNA replication termination,0.052787189373264584,4,3
GO:0140271,hexose import across plasma membrane,0.052787189373264584,4,3
GO:0042744,hydrogen peroxide catabolic process,0.052787189373264584,4,3
GO:0015861,cytidine transport,0.052787189373264584,4,3
GO:0032264,IMP salvage,0.052787189373264584,4,3
GO:0009094,L-phenylalanine biosynthetic process,0.052787189373264584,4,3
GO:0071977,bacterial-type flagellum-dependent swimming motility,0.052787189373264584,4,3
GO:0044208,'de novo' AMP biosynthetic process,0.06430650443830091,2,2
GO:0006014,D-ribose metabolic process,0.06430650443830091,2,2
GO:0019480,L-alanine oxidation to pyruvate via D-alanine,0.06430650443830091,2,2
GO:0006529,asparagine biosynthetic process,0.06430650443830091,2,2
GO:0050779,RNA destabilization,0.06430650443830091,2,2
GO:0045733,acetate catabolic process,0.06430650443830091,2,2
GO:0030153,bacteriocin immunity,0.06430650443830091,2,2
GO:1902208,regulation of bacterial-type flagellum assembly,0.06430650443830091,2,2
GO:0006543,glutamine catabolic process,0.06430650443830091,2,2
GO:0006420,arginyl-tRNA aminoacylation,0.06430650443830091,2,2
GO:0006636,unsaturated fatty acid biosynthetic process,0.06430650443830091,2,2
GO:0019427,acetyl-CoA biosynthetic process from acetate,0.06430650443830091,2,2
GO:0097054,L-glutamate biosynthetic process,0.06430650443830091,2,2
GO:0019346,transsulfuration,0.06430650443830091,2,2
GO:0050667,homocysteine metabolic process,0.06430650443830091,2,2
GO:0000967,rRNA 5'-end processing,0.06430650443830091,2,2
GO:0071932,replication fork reversal,0.06430650443830091,2,2
GO:0015951,purine ribonucleotide interconversion,0.06430650443830091,2,2
GO:0043137,"DNA replication, removal of RNA primer",0.06430650443830091,2,2
GO:0033585,L-phenylalanine biosynthetic process from chorismate via phenylpyruvate,0.06430650443830091,2,2
GO:0097264,self proteolysis,0.06430650443830091,2,2
GO:0046653,tetrahydrofolate metabolic process,0.06430650443830091,2,2
GO:1903806,L-isoleucine import across plasma membrane,0.06430650443830091,2,2
GO:0043043,peptide biosynthetic process,0.06430650443830091,2,2
GO:0071286,cellular response to magnesium ion,0.06430650443830091,2,2
GO:0006301,postreplication repair,0.06430650443830091,2,2
GO:0019303,D-ribose catabolic process,0.06430650443830091,2,2
GO:0015888,thiamine transport,0.06430650443830091,2,2
GO:0019858,cytosine metabolic process,0.06430650443830091,2,2
GO:0008655,pyrimidine-containing compound salvage,0.06430650443830091,2,2
GO:0022417,protein maturation by protein folding,0.06430650443830091,2,2
GO:0071806,protein transmembrane transport,0.06430650443830091,2,2
GO:0070981,L-asparagine biosynthetic process,0.06430650443830091,2,2
GO:0097533,cellular stress response to acid chemical,0.06430650443830091,2,2
GO:0045717,negative regulation of fatty acid biosynthetic process,0.06430650443830091,2,2
GO:0044355,clearance of foreign intracellular DNA,0.06430650443830091,2,2
GO:1902626,assembly of large subunit precursor of preribosome,0.06430650443830091,2,2
GO:1903605,cytochrome biosynthetic process,0.06430650443830091,2,2
GO:0089709,L-histidine transmembrane transport,0.06430650443830091,2,2
GO:0009113,purine nucleobase biosynthetic process,0.06430650443830091,2,2
GO:0019413,acetate biosynthetic process,0.06430650443830091,2,2
GO:0045926,negative regulation of growth,0.06430650443830091,2,2
GO:0009086,methionine biosynthetic process,0.07271483634121172,15,7
GO:0089718,amino acid import across plasma membrane,0.07382635414369304,7,4
GO:0008615,pyridoxine biosynthetic process,0.07382635414369304,7,4
GO:1901642,nucleoside transmembrane transport,0.07382635414369304,7,4
GO:0002143,tRNA wobble position uridine thiolation,0.07382635414369304,7,4
GO:0010468,regulation of gene expression,0.07773395805542693,21,9
GO:0017004,cytochrome complex assembly,0.08743619212562713,12,6
GO:0044281,small molecule metabolic process,0.08743619212562713,12,6
GO:0007059,chromosome segregation,0.08743619212562713,12,6
GO:0006401,RNA catabolic process,0.10703978421071819,13,6
GO:0009409,response to cold,0.10703978421071819,13,6
GO:0006094,gluconeogenesis,0.10703978421071819,13,6
GO:0010124,phenylacetate catabolic process,0.10703978421071819,13,6
GO:0035672,oligopeptide transmembrane transport,0.10730250201828483,5,3
GO:0019856,pyrimidine nucleobase biosynthetic process,0.10730250201828483,5,3
GO:0006788,heme oxidation,0.10730250201828483,5,3
GO:0000731,DNA synthesis involved in DNA repair,0.10730250201828483,5,3
GO:0030632,D-alanine biosynthetic process,0.10730250201828483,5,3
GO:0015794,glycerol-3-phosphate transmembrane transport,0.10730250201828483,5,3
GO:0019877,diaminopimelate biosynthetic process,0.10730250201828483,5,3
GO:0006206,pyrimidine nucleobase metabolic process,0.10730250201828483,5,3
GO:0015940,pantothenate biosynthetic process,0.10730250201828483,5,3
GO:0098711,iron ion import across plasma membrane,0.10730250201828483,5,3
GO:0051596,methylglyoxal catabolic process,0.10730250201828483,5,3
GO:0015685,ferric-enterobactin import into cell,0.10730250201828483,5,3
GO:0006281,DNA repair,0.11123817107473968,77,26
GO:0006261,DNA-templated DNA replication,0.11128081048469506,19,8
GO:0006605,protein targeting,0.11875404914759644,8,4
GO:0048870,cell motility,0.11875404914759644,8,4
GO:0019363,pyridine nucleotide biosynthetic process,0.11875404914759644,8,4
GO:0006635,fatty acid beta-oxidation,0.13437309022753705,14,6
GO:0010447,response to acidic pH,0.13437309022753705,14,6
GO:0006302,double-strand break repair,0.16013863715663512,11,5
GO:1902210,positive regulation of bacterial-type flagellum assembly,0.16034147219448303,3,2
GO:0044206,UMP salvage,0.16034147219448303,3,2
GO:0015796,galactitol transmembrane transport,0.16034147219448303,3,2
GO:0042953,lipoprotein transport,0.16034147219448303,3,2
GO:0016024,CDP-diacylglycerol biosynthetic process,0.16034147219448303,3,2
GO:0009225,nucleotide-sugar metabolic process,0.16034147219448303,3,2
GO:0009114,hypoxanthine catabolic process,0.16034147219448303,3,2
GO:1900231,regulation of single-species biofilm formation on inanimate substrate,0.16034147219448303,3,2
GO:0006616,"SRP-dependent cotranslational protein targeting to membrane, translocation",0.16034147219448303,3,2
GO:0070482,response to oxygen levels,0.16034147219448303,3,2
GO:0015836,lipid-linked peptidoglycan transport,0.16034147219448303,3,2
GO:0043164,Gram-negative-bacterium-type cell wall biogenesis,0.16034147219448303,3,2
GO:0009249,protein lipoylation,0.16034147219448303,3,2
