GO_ID,Term,p_uncorrected,set_size,study_count
GO:0006935,chemotaxis,3.641174890062752e-21,34,34
GO:0002181,cytoplasmic translation,3.309083445503037e-19,54,45
GO:0071973,bacterial-type flagellum-dependent cell motility,1.2413746575014146e-17,37,34
GO:0006412,translation,1.9113568863268796e-15,101,63
GO:0044781,bacterial-type flagellum organization,1.6873646134355596e-11,18,18
GO:0006164,purine nucleotide biosynthetic process,3.4918120953797136e-09,17,16
GO:0000027,ribosomal large subunit assembly,4.771259771479475e-08,26,20
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,6.760210662918358e-08,12,12
GO:0000028,ribosomal small subunit assembly,1.4241482428518815e-06,19,15
GO:0071555,cell wall organization,1.7792392838402852e-06,72,37
GO:0006189,'de novo' IMP biosynthetic process,2.4807509898255865e-06,12,11
GO:0044780,bacterial-type flagellum assembly,4.008269626237693e-06,22,16
GO:0006754,ATP biosynthetic process,4.235319795832832e-06,9,9
GO:0030254,protein secretion by the type III secretion system,4.235319795832832e-06,9,9
GO:0015986,proton motive force-driven ATP synthesis,4.235319795832832e-06,9,9
GO:0008360,regulation of cell shape,5.25824778188715e-06,48,27
GO:0009252,peptidoglycan biosynthetic process,8.233481603488948e-06,49,27
GO:0022904,respiratory electron transport chain,8.4687789501065e-06,25,17
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,1.679597053241476e-05,8,8
GO:0006260,DNA replication,2.201647416948803e-05,40,23
GO:0015031,protein transport,2.4582086659309482e-05,67,33
GO:0022900,electron transport chain,4.190852935541775e-05,12,10
GO:0089718,amino acid import across plasma membrane,6.655741951907502e-05,7,7
GO:0044205,'de novo' UMP biosynthetic process,6.655741951907502e-05,7,7
GO:0015990,electron transport coupled proton transport,0.0001172811764250702,9,8
GO:0006221,pyrimidine nucleotide biosynthetic process,0.0001393827592036873,11,9
GO:0009060,aerobic respiration,0.00024361875593973043,25,15
GO:1903711,spermidine transmembrane transport,0.0002635486138459244,6,6
GO:0035351,heme transmembrane transport,0.00041488756242569685,8,7
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,0.00041488756242569685,8,7
GO:0007165,signal transduction,0.0005493574479653238,34,18
GO:0042938,dipeptide transport,0.000879824832006275,15,10
GO:0009165,nucleotide biosynthetic process,0.001042793459010081,5,5
GO:0140205,oligopeptide import across plasma membrane,0.001042793459010081,5,5
GO:0042956,maltodextrin transmembrane transport,0.001042793459010081,5,5
GO:0034775,glutathione transmembrane transport,0.001042793459010081,5,5
GO:0015709,thiosulfate transport,0.001042793459010081,5,5
GO:0015768,maltose transport,0.0014454957798070208,7,6
GO:0015803,branched-chain amino acid transport,0.0014454957798070208,7,6
GO:0015823,phenylalanine transport,0.0014454957798070208,7,6
GO:0006270,DNA replication initiation,0.0014565099134278903,9,7
GO:1902600,proton transmembrane transport,0.002425487080974417,66,28
GO:0051301,cell division,0.0031007685970192043,76,31
GO:0015833,peptide transport,0.0031319893957557333,46,21
GO:0089705,protein localization to outer membrane,0.00412296428919162,4,4
GO:0050920,regulation of chemotaxis,0.00412296428919162,4,4
GO:0098712,L-glutamate import across plasma membrane,0.00412296428919162,4,4
GO:0000918,division septum site selection,0.00412296428919162,4,4
GO:0042930,enterobactin transport,0.00412296428919162,4,4
GO:1904981,maltose transmembrane transport,0.00412296428919162,4,4
GO:1903810,L-histidine import across plasma membrane,0.00412296428919162,4,4
GO:0071977,bacterial-type flagellum-dependent swimming motility,0.00412296428919162,4,4
GO:0019344,cysteine biosynthetic process,0.0045373204319509915,8,6
GO:0009307,DNA restriction-modification system,0.0045373204319509915,8,6
GO:1903785,L-valine transmembrane transport,0.0045373204319509915,8,6
GO:0009239,enterobactin biosynthetic process,0.0045373204319509915,8,6
GO:0009073,aromatic amino acid family biosynthetic process,0.004588651320915014,15,9
GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",0.004939017684830865,6,5
GO:0070814,hydrogen sulfide biosynthetic process,0.004939017684830865,6,5
GO:0030261,chromosome condensation,0.004939017684830865,6,5
GO:0009306,protein secretion,0.0061396540085788785,13,8
GO:0006541,glutamine metabolic process,0.008153776146220867,16,9
GO:0033212,iron import into cell,0.008157343338130436,11,7
GO:0009314,response to radiation,0.009394942525541837,46,20
GO:0008652,amino acid biosynthetic process,0.009774352155101354,35,16
GO:0032259,methylation,0.010192265714377395,53,22
GO:0006865,amino acid transport,0.010626715510210268,84,32
GO:0042773,ATP synthesis coupled electron transport,0.010698941468997195,9,6
GO:0046677,response to antibiotic,0.011208122006109818,94,35
GO:0071978,bacterial-type flagellum-dependent swarming motility,0.01254643476700132,22,11
GO:0006261,DNA-templated DNA replication,0.013553595752034107,19,10
GO:1902358,sulfate transmembrane transport,0.013672822447390482,7,5
GO:0042884,microcin transport,0.013672822447390482,7,5
GO:0000103,sulfate assimilation,0.013672822447390482,7,5
GO:0007059,chromosome segregation,0.015334425677599196,12,7
GO:0071934,thiamine transmembrane transport,0.01628902056020986,3,3
GO:1902210,positive regulation of bacterial-type flagellum assembly,0.01628902056020986,3,3
GO:0098777,protein secretion by the type VIII secretion system,0.01628902056020986,3,3
GO:0019676,ammonia assimilation cycle,0.01628902056020986,3,3
GO:0030174,regulation of DNA-templated DNA replication initiation,0.01628902056020986,3,3
GO:0006868,glutamine transport,0.01628902056020986,3,3
GO:1903803,L-glutamine import across plasma membrane,0.01628902056020986,3,3
