GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0006935,chemotaxis,BP,9.931374110902851e-12,1.7121688967196515e-08,e,"(22, 500)","(34, 3597)"
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.4841432491303923e-11,2.1413314807503983e-08,e,"(23, 500)","(38, 3597)"
GO:0006754,ATP biosynthetic process,BP,1.8204056813428037e-08,7.845948486587484e-06,e,"(9, 500)","(9, 3597)"
GO:0015986,proton motive force-driven ATP synthesis,BP,1.8204056813428037e-08,7.845948486587484e-06,e,"(9, 500)","(9, 3597)"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,1.2613115159331563e-07,3.815597441512532e-05,e,"(10, 500)","(12, 3597)"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,1.3279341443779113e-07,3.815597441512532e-05,e,"(8, 500)","(8, 3597)"
GO:0006412,translation,BP,2.530272984669066e-07,6.231700893670671e-05,e,"(34, 500)","(101, 3597)"
GO:0044781,bacterial-type flagellum organization,BP,3.8540750461261023e-07,8.305531724401751e-05,e,"(12, 500)","(18, 3597)"
GO:0006189,'de novo' IMP biosynthetic process,BP,7.699142729068059e-07,0.0001474813562768148,e,"(9, 500)","(11, 3597)"
GO:0009098,L-leucine biosynthetic process,BP,9.66994640632191e-07,0.00016670987604498972,e,"(7, 500)","(7, 3597)"
GO:0006099,tricarboxylic acid cycle,BP,1.3561840062428584e-06,0.0002125510206147898,e,"(15, 500)","(29, 3597)"
GO:0002181,cytoplasmic translation,BP,2.804350516299252e-06,0.0004028916908416592,e,"(21, 500)","(53, 3597)"
GO:0006164,purine nucleotide biosynthetic process,BP,9.021573991740794e-06,0.0011963995047508562,e,"(10, 500)","(16, 3597)"
GO:0015803,branched-chain amino acid transport,BP,4.340318252376027e-05,0.0049884724447308475,e,"(6, 500)","(7, 3597)"
GO:0015823,phenylalanine transport,BP,4.340318252376027e-05,0.0049884724447308475,e,"(6, 500)","(7, 3597)"
GO:0046168,glycerol-3-phosphate catabolic process,BP,5.100862918333388e-05,0.005496179794504226,e,"(5, 500)","(5, 3597)"
GO:0009097,isoleucine biosynthetic process,BP,0.00018345364347199385,0.01860435772621867,e,"(8, 500)","(14, 3597)"
GO:0008652,amino acid biosynthetic process,BP,0.00024776648423680805,0.023730523268014284,e,"(13, 500)","(33, 3597)"
GO:1903785,L-valine transmembrane transport,BP,0.0002709052391231794,0.02450096029981847,e,"(5, 500)","(6, 3597)"
GO:0009060,aerobic respiration,BP,0.0003312329927232052,0.02450096029981847,e,"(10, 500)","(22, 3597)"
GO:0006541,glutamine metabolic process,BP,0.00034566969406672776,0.02450096029981847,e,"(8, 500)","(15, 3597)"
GO:0019464,glycine decarboxylation via glycine cleavage system,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0019402,galactitol metabolic process,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0071977,bacterial-type flagellum-dependent swimming motility,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:1903714,isoleucine transmembrane transport,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0006072,glycerol-3-phosphate metabolic process,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0015990,electron transport coupled proton transport,BP,0.0004056694901812783,0.025902748187871253,e,"(6, 500)","(9, 3597)"
GO:1902600,proton transmembrane transport,BP,0.0007226529233916292,0.04296047034231616,e,"(18, 500)","(58, 3597)"
GO:0022904,respiratory electron transport chain,BP,0.0007735546842871281,0.04445360919036696,e,"(10, 500)","(24, 3597)"
GO:0006097,glyoxylate cycle,BP,0.000839660380621727,0.046695951490059916,e,"(5, 500)","(7, 3597)"
GO:0022900,electron transport chain,BP,0.0008955277575925999,0.04678454103301946,e,"(6, 500)","(10, 3597)"
GO:0009082,branched-chain amino acid biosynthetic process,BP,0.0008955277575925999,0.04678454103301946,e,"(6, 500)","(10, 3597)"
GO:0009088,threonine biosynthetic process,BP,0.0016434856914896339,0.0789554879182387,e,"(4, 500)","(5, 3597)"
GO:0006206,pyrimidine nucleobase metabolic process,BP,0.0016434856914896339,0.0789554879182387,e,"(4, 500)","(5, 3597)"
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,0.0017403181791723146,0.0789554879182387,e,"(6, 500)","(11, 3597)"
GO:0009099,L-valine biosynthetic process,BP,0.0017403181791723146,0.0789554879182387,e,"(6, 500)","(11, 3597)"
GO:0009085,lysine biosynthetic process,BP,0.0017403181791723146,0.0789554879182387,e,"(6, 500)","(11, 3597)"
GO:0006270,DNA replication initiation,BP,0.001983771814286169,0.08769288738023988,e,"(5, 500)","(8, 3597)"
GO:0044206,UMP salvage,BP,0.002672027214629116,0.10712964925629294,e,"(3, 500)","(3, 3597)"
GO:0006546,glycine catabolic process,BP,0.002672027214629116,0.10712964925629294,e,"(3, 500)","(3, 3597)"
GO:0019404,galactitol catabolic process,BP,0.002672027214629116,0.10712964925629294,e,"(3, 500)","(3, 3597)"
GO:0019676,ammonia assimilation cycle,BP,0.002672027214629116,0.10712964925629294,e,"(3, 500)","(3, 3597)"
GO:0009089,lysine biosynthetic process via diaminopimelate,BP,0.0030757435286224567,0.120513223712389,e,"(6, 500)","(12, 3597)"
GO:0030254,protein secretion by the type III secretion system,BP,0.003956399719417283,0.1451241088569233,e,"(5, 500)","(9, 3597)"
GO:0019563,glycerol catabolic process,BP,0.003956399719417283,0.1451241088569233,e,"(5, 500)","(9, 3597)"
GO:0042773,ATP synthesis coupled electron transport,BP,0.003956399719417283,0.1451241088569233,e,"(5, 500)","(9, 3597)"
GO:0006526,L-arginine biosynthetic process,BP,0.007814977587814647,0.2806879450290094,e,"(6, 500)","(14, 3597)"
GO:0006457,protein folding,BP,0.008245109632187836,0.28429138011783656,e,"(9, 500)","(27, 3597)"
GO:0000027,ribosomal large subunit assembly,BP,0.008245109632187836,0.28429138011783656,e,"(9, 500)","(27, 3597)"
GO:0006414,translational elongation,BP,0.009120628217023632,0.2949147280124382,e,"(4, 500)","(7, 3597)"
GO:0044205,'de novo' UMP biosynthetic process,BP,0.009120628217023632,0.2949147280124382,e,"(4, 500)","(7, 3597)"
GO:0032978,protein insertion into membrane from inner side,BP,0.009120628217023632,0.2949147280124382,e,"(4, 500)","(7, 3597)"
GO:0042867,pyruvate catabolic process,BP,0.009579596733582678,0.2949147280124382,e,"(3, 500)","(4, 3597)"
GO:0009090,homoserine biosynthetic process,BP,0.009579596733582678,0.2949147280124382,e,"(3, 500)","(4, 3597)"
GO:0000918,division septum site selection,BP,0.009579596733582678,0.2949147280124382,e,"(3, 500)","(4, 3597)"
GO:0043952,protein transport by the Sec complex,BP,0.016257484619761096,0.4318739068034225,e,"(4, 500)","(8, 3597)"
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,0.016257484619761096,0.4318739068034225,e,"(4, 500)","(8, 3597)"
GO:0000105,L-histidine biosynthetic process,BP,0.016257484619761096,0.4318739068034225,e,"(4, 500)","(8, 3597)"
GO:0006730,one-carbon metabolic process,BP,0.017371153936069677,0.4318739068034225,e,"(5, 500)","(12, 3597)"
GO:0006532,aspartate biosynthetic process,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0033585,L-phenylalanine biosynthetic process from chorismate via phenylpyruvate,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0050667,homocysteine metabolic process,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0097054,L-glutamate biosynthetic process,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0009454,aerotaxis,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0046653,tetrahydrofolate metabolic process,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0006103,2-oxoglutarate metabolic process,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0006591,ornithine metabolic process,BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
GO:0097510,"base-excision repair, AP site formation via deaminated base removal",BP,0.01928903180038488,0.4318739068034225,e,"(2, 500)","(2, 3597)"
