GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0006412,translation,BP,7.994177909246274e-41,1.3781962715540578e-37,e,"(72, 500)","(101, 3597)"
GO:0002181,cytoplasmic translation,BP,2.1394375675915011e-38,1.844195183263874e-35,e,"(49, 500)","(53, 3597)"
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.0327495125167553e-13,1.1681533865262955e-10,e,"(25, 500)","(38, 3597)"
GO:0000027,ribosomal large subunit assembly,BP,2.88204230635211e-11,1.2421602340377595e-08,e,"(19, 500)","(27, 3597)"
GO:0000028,ribosomal small subunit assembly,BP,1.5289032538374132e-09,5.271658419231401e-07,e,"(14, 500)","(18, 3597)"
GO:0032978,protein insertion into membrane from inner side,BP,9.66994640632191e-07,0.0002778497934083162,e,"(7, 500)","(7, 3597)"
GO:0006099,tricarboxylic acid cycle,BP,1.3561840062428584e-06,0.000334008746680384,e,"(15, 500)","(29, 3597)"
GO:0008652,amino acid biosynthetic process,BP,1.8306884394448873e-06,0.0003626629626074792,e,"(16, 500)","(33, 3597)"
GO:0006633,fatty acid biosynthetic process,BP,1.8932521249810398e-06,0.0003626629626074792,e,"(11, 500)","(17, 3597)"
GO:0006935,chemotaxis,BP,3.0204410185522365e-06,0.0005207240315984056,e,"(16, 500)","(34, 3597)"
GO:0043952,protein transport by the Sec complex,BP,6.806403223992991e-06,0.0009778532631803264,e,"(7, 500)","(8, 3597)"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,6.806403223992991e-06,0.0009778532631803264,e,"(7, 500)","(8, 3597)"
GO:0015031,protein transport,BP,1.0029024292678322e-05,0.0013300029138905713,e,"(22, 500)","(61, 3597)"
GO:0006417,regulation of translation,BP,2.5206088449149076e-05,0.0027336084281045134,e,"(12, 500)","(24, 3597)"
GO:0006754,ATP biosynthetic process,BP,2.6955535543954017e-05,0.0027336084281045134,e,"(7, 500)","(9, 3597)"
GO:0065002,intracellular protein transmembrane transport,BP,2.6955535543954017e-05,0.0027336084281045134,e,"(7, 500)","(9, 3597)"
GO:0015986,proton motive force-driven ATP synthesis,BP,2.6955535543954017e-05,0.0027336084281045134,e,"(7, 500)","(9, 3597)"
GO:0006096,glycolytic process,BP,0.00015538860772520096,0.014099471564118235,e,"(9, 500)","(17, 3597)"
GO:0090605,submerged biofilm formation,BP,0.0002709052391231794,0.02274351294059152,e,"(5, 500)","(6, 3597)"
GO:0044780,bacterial-type flagellum assembly,BP,0.0003312329927232052,0.02450096029981847,e,"(10, 500)","(22, 3597)"
GO:0017148,negative regulation of translation,BP,0.00034566969406672776,0.02450096029981847,e,"(8, 500)","(15, 3597)"
GO:0019464,glycine decarboxylation via glycine cleavage system,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0140205,oligopeptide import across plasma membrane,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0006072,glycerol-3-phosphate metabolic process,BP,0.00036950404164459407,0.02450096029981847,e,"(4, 500)","(4, 3597)"
GO:0048870,cell motility,BP,0.0004056694901812783,0.025902748187871253,e,"(6, 500)","(9, 3597)"
GO:0031564,transcription antitermination,BP,0.0004553884340306686,0.028038916438174025,e,"(9, 500)","(19, 3597)"
GO:0006097,glyoxylate cycle,BP,0.000839660380621727,0.046695951490059916,e,"(5, 500)","(7, 3597)"
GO:0006414,translational elongation,BP,0.000839660380621727,0.046695951490059916,e,"(5, 500)","(7, 3597)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,0.0008955277575925999,0.04678454103301946,e,"(6, 500)","(10, 3597)"
GO:0009082,branched-chain amino acid biosynthetic process,BP,0.0008955277575925999,0.04678454103301946,e,"(6, 500)","(10, 3597)"
GO:2000142,regulation of DNA-templated transcription initiation,BP,0.0010104119840185818,0.05123383118964809,e,"(8, 500)","(17, 3597)"
GO:0009408,response to heat,BP,0.0010919952036051207,0.05378856374329224,e,"(17, 500)","(55, 3597)"
GO:0009097,isoleucine biosynthetic process,BP,0.0013623990984028896,0.06524377904573839,e,"(7, 500)","(14, 3597)"
