,Term,disrupted_FDR,regulated_FDR
GO:0006412,translation,6.231700893670671e-05,1.3781962715540578e-37
GO:0002181,cytoplasmic translation,0.0004028916908416592,1.844195183263874e-35
GO:0071973,bacterial-type flagellum-dependent cell motility,2.1413314807503983e-08,1.1681533865262955e-10
GO:0006099,tricarboxylic acid cycle,0.0002125510206147898,0.000334008746680384
GO:0008652,amino acid biosynthetic process,0.023730523268014284,0.0003626629626074792
GO:0006935,chemotaxis,1.7121688967196515e-08,0.0005207240315984056
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,3.815597441512532e-05,0.0009778532631803264
GO:0006754,ATP biosynthetic process,7.845948486587484e-06,0.0027336084281045134
GO:0015986,proton motive force-driven ATP synthesis,7.845948486587484e-06,0.0027336084281045134
GO:0006072,glycerol-3-phosphate metabolic process,0.02450096029981847,0.02450096029981847
GO:0019464,glycine decarboxylation via glycine cleavage system,0.02450096029981847,0.02450096029981847
GO:0006097,glyoxylate cycle,0.046695951490059916,0.046695951490059916
GO:0009082,branched-chain amino acid biosynthetic process,0.04678454103301946,0.04678454103301946
