GO_ID,Term,Category,p-value,FDR,Genes,Fold Enrichment,Depth,Ratio in Study,Ratio in Population,Parents
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,2.2286291564537778e-20,3.895643765481204e-17,"P75933,P25798,P0A8T5,P0ABX5,P0ABZ1,P26608,P0ABW9,P31068,P0ABX2,P52612,P0ABY2,P0AC05,P76299,P0A8T7,P33135,P06974,P0A8V2,P75938,P0A6S0,P15070,P52613,P52614,P76298,P22586,P0A6S3,P75942,P0AC07,P0ABX8",e,5,"(28, 424)","(37, 3901)",{'GO:0097588'}
GO:0006935,chemotaxis,BP,1.887354127228555e-16,1.649547507197757e-13,"P0A8T5,P0ABX5,P0ABZ1,P0ABW9,P31068,P0AEE5,P0ABX2,P23847,P52612,P0AC05,P76299,P33135,P06974,P0A9H9,P75938,P15070,P52613,P76298,P22586,P02925,P0AE67,P27550,P0AC07,P0ABX8",e,3,"(24, 424)","(34, 3901)",{'GO:0042330'}
GO:0044781,bacterial-type flagellum organization,BP,3.6498640922224406e-14,2.1266541444016088e-11,"P0ABY7,P75933,P0A8S9,P31068,P22586,P76297,P75942,P52612,P0ABY2,P0AC05,P75936,P76299,P26608,P52613,P52614,P76298",e,5,"(16, 424)","(18, 3901)","{'GO:0030030', 'GO:0006996'}"
GO:0044780,bacterial-type flagellum assembly,BP,4.825181936830261e-13,2.108604506394824e-10,"P75933,P0A8S9,P0A8V2,P0AC47,P00363,P75942,P52612,P0A8T7,P0AC07,P0A8Q0,P76299,P33135,P26608,P0ABZ1,P0A8Q3,P52614,P76298",e,7,"(17, 424)","(22, 3901)","{'GO:0030031', 'GO:0044781', 'GO:0140694'}"
GO:0022904,respiratory electron transport chain,BP,7.488416395138276e-13,2.6179503717403416e-10,"P07014,P0AFD1,P0AAJ5,P31979,P06149,P33607,P0AFE0,P0ABI8,P0AEL0,P0AFC7,P0AFE4,P33602,P0AFD6,P0AFF0,P0AFE8,P0AFD4,P33599,P0AFC3",e,5,"(18, 424)","(25, 3901)",{'GO:0022900'}
GO:0030254,protein secretion by the type III secretion system,BP,1.9615390449030044e-09,5.714617084150753e-07,"P22586,P31068,P52612,P0AC05,P0AC07,P76299,P33135,P52613,P76298",e,8,"(9, 424)","(9, 3901)","{'GO:0009306', 'GO:0071806'}"
GO:0009060,aerobic respiration,BP,3.23150815945074e-09,8.069537518171276e-07,"P07014,P0AC41,P0ABJ3,P31979,P06149,P0AC44,P69054,P0ABI8,P0AFC7,P0AFD4,P33602,P0ABJ6,P0AFD6,P0AFF0,P0AFE8",e,6,"(15, 424)","(25, 3901)",{'GO:0045333'}
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,1.1263805707910704e-08,2.461141547178489e-06,"P22586,P0AE67,P0A6S3,P0A8T5,P0A9H9,P0ABZ1,P0ABX8,P0A6S0,P15070,P06974",e,4,"(10, 424)","(12, 3901)",{'GO:0001539'}
GO:0042938,dipeptide transport,BP,2.0175437544128917e-08,3.918518314126372e-06,"P77463,P0AEF8,P77304,P23847,P0AAG0,P37313,P77268,P77622,P0AEG1,P77308,P76128",e,7,"(11, 424)","(15, 3901)",{'GO:0006857'}
GO:0015031,protein transport,BP,4.462284797110951e-08,7.800073825349944e-06,"P02931,P0AEG1,P31068,P10408,P23847,P52612,P0AC05,P0AAG0,P76299,P0AFH6,P77308,P76027,P76128,P0AEF8,P52613,P76298,P77463,P77304,P0AFH2,P37313,P77737,P77268,P77622,P15078",e,6,"(24, 424)","(67, 3901)","{'GO:0071705', 'GO:0045184'}"
GO:0006754,ATP biosynthetic process,BP,1.4951548455487824e-07,2.17794222501606e-05,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0ABA4,P0ABA0",e,10,"(8, 424)","(9, 3901)","{'GO:0046034', 'GO:0009206', 'GO:0009152'}"
GO:0015986,proton motive force-driven ATP synthesis,BP,1.4951548455487824e-07,2.17794222501606e-05,"P0A6E6,P52612,P0ABA6,P0ABB0,P0ABB4,P68699,P0ABA4,P0ABA0",e,11,"(8, 424)","(9, 3901)",{'GO:0006754'}
