,EXP_A,EXP_B,EXP_C
Unnamed: 1,709.0,753.0,751.0
GFP,1120.0,1142.0,1105.0
INTR_alaXW,69.0,75.0,55.0
LELOBEKK,36.0,27.0,29.0
LELOBEKK_appX,5.0,2.0,3.0
LELOBEKK_araC,0.0,1.0,1.0
LELOBEKK_atl,0.0,0.0,0.0
LELOBEKK_ccdA,0.0,0.0,0.0
LELOBEKK_fdoG,0.0,0.0,0.0
LELOBEKK_finO,1.0,2.0,3.0
LELOBEKK_flmC,1.0,3.0,1.0
LELOBEKK_galK,0.0,0.0,0.0
LELOBEKK_galT,0.0,0.0,0.0
LELOBEKK_gap,1.0,2.0,1.0
LELOBEKK_gpt,0.0,0.0,0.0
LELOBEKK_lacA,0.0,0.0,0.0
LELOBEKK_lacI,0.0,0.0,0.0
LELOBEKK_lacY,0.0,0.0,0.0
LELOBEKK_lacZ,2.0,1.0,0.0
LELOBEKK_lexA,0.0,0.0,0.0
LELOBEKK_malE,0.0,1.0,3.0
LELOBEKK_mpaA,2.0,0.0,3.0
LELOBEKK_pheS,0.0,0.0,0.0
LELOBEKK_psiB,0.0,0.0,0.0
LELOBEKK_rpsL,0.0,0.0,0.0
LELOBEKK_sgrT,0.0,0.0,1.0
LELOBEKK_tisB,5.0,0.0,1.0
LELOBEKK_traJ,0.0,1.0,1.0
LELOBEKK_traQ,0.0,2.0,1.0
LELOBEKK_traY,1.0,2.0,0.0
LELOBEKK_trpA,0.0,1.0,1.0
LELOBEKK_trxA,0.0,0.0,0.0
LELOBEKK_uidA,0.0,0.0,0.0
LELOBEKK_yedR,0.0,0.0,0.0
LELOBEKK_ylpA,0.0,0.0,0.0
LELOBEKK_yneM,0.0,1.0,0.0
LELOBEKK_ynhF,1.0,2.0,2.0
LELOBEKK_yshB,2.0,1.0,1.0
LELOBEKKtfaE,1.0,1.0,1.0
LacI,37848.0,37909.0,38708.0
MS2_fwd,9.0,8.0,4.0
YFP,7.0,8.0,3.0
aaeA,10.0,8.0,5.0
aaeB,3.0,3.0,10.0
aaeR,3.0,5.0,2.0
aaeX,1.0,0.0,0.0
aas,7.0,1.0,4.0
aat,1.0,0.0,1.0
abgB,2.0,3.0,5.0
abgR,3.0,7.0,18.0
abgT,2.0,2.0,0.0
abrB,0.0,0.0,1.0
accA,120.0,111.0,109.0
accB,135.0,126.0,114.0
accC,46.0,46.0,40.0
accD,8.0,8.0,12.0
aceA,867.0,940.0,886.0
aceB,378.0,342.0,324.0
aceE,80.0,79.0,84.0
aceF,144.0,131.0,124.0
aceK,23.0,16.0,21.0
ackA,22.0,21.0,27.0
acnA,13.0,16.0,27.0
acnB,59.0,74.0,51.0
acpP,443.0,423.0,465.0
acpS,0.0,3.0,0.0
acpT,0.0,0.0,0.0
acrA,6.0,2.0,5.0
acrB,8.0,8.0,8.0
acrD,0.0,0.0,1.0
acrE,0.0,0.0,0.0
acrF,3.0,3.0,1.0
acrR,15.0,19.0,15.0
acs,80.0,78.0,84.0
actP,11.0,23.0,24.0
add,1.0,2.0,1.0
ade,1.0,2.0,2.0
adhE,64.0,51.0,44.0
adhP,6.0,14.0,13.0
adiA,0.0,1.0,6.0
adiC,0.0,0.0,0.0
adiY,1.0,2.0,0.0
adk,3.0,3.0,2.0
aegA,2.0,7.0,3.0
aer,2.0,2.0,0.0
aes,1.0,0.0,2.0
afuB,0.0,1.0,0.0
afuC,5.0,2.0,2.0
