,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
Unnamed: 1,2507.0,2414.0,2412.0
GFP,41448.0,41577.0,39725.0
INTR_alaXW,211.0,187.0,217.0
LELOBEKK,8.0,7.0,5.0
LELOBEKK_appX,0.0,1.0,0.0
LELOBEKK_fdoG,2.0,0.0,0.0
LELOBEKK_finO,1.0,2.0,0.0
LELOBEKK_flmC,1.0,0.0,0.0
LELOBEKK_galT,0.0,0.0,2.0
LELOBEKK_gap,1.0,0.0,0.0
LELOBEKK_lacA,0.0,0.0,0.0
LELOBEKK_lacY,0.0,0.0,1.0
LELOBEKK_lacZ,0.0,0.0,0.0
LELOBEKK_malE,0.0,0.0,0.0
LELOBEKK_mpaA,0.0,0.0,0.0
LELOBEKK_psiB,0.0,0.0,0.0
LELOBEKK_tisB,0.0,0.0,1.0
LELOBEKK_trpA,0.0,0.0,0.0
LELOBEKK_ynhF,0.0,0.0,0.0
LELOBEKK_yshB,0.0,1.0,0.0
LELOBEKKtfaE,0.0,1.0,0.0
LacI,92865.0,91613.0,89681.0
MS2_fwd,0.0,2.0,2.0
YFP,1.0,1.0,0.0
aaeA,20.0,20.0,21.0
aaeB,17.0,21.0,21.0
aaeR,15.0,30.0,37.0
aaeX,0.0,0.0,3.0
aas,19.0,19.0,16.0
aat,4.0,4.0,1.0
abgA,1.0,0.0,0.0
abgB,15.0,9.0,16.0
abgR,9.0,13.0,13.0
abgT,14.0,14.0,18.0
abrB,0.0,1.0,1.0
accA,149.0,135.0,111.0
accB,70.0,73.0,63.0
accC,26.0,17.0,21.0
accD,9.0,5.0,10.0
aceA,59.0,67.0,42.0
aceB,43.0,45.0,44.0
aceE,80.0,70.0,65.0
aceF,101.0,88.0,92.0
aceK,5.0,5.0,8.0
ackA,31.0,34.0,23.0
acnA,35.0,40.0,31.0
acnB,36.0,31.0,20.0
acpP,509.0,462.0,501.0
acpS,1.0,0.0,0.0
acpT,1.0,1.0,1.0
acrA,12.0,6.0,10.0
acrB,11.0,7.0,6.0
acrD,5.0,2.0,0.0
acrE,2.0,4.0,1.0
acrF,27.0,28.0,29.0
acrR,47.0,41.0,41.0
acs,9.0,6.0,6.0
actP,1.0,1.0,3.0
ada,0.0,1.0,0.0
add,7.0,10.0,12.0
ade,9.0,8.0,8.0
adhE,30.0,21.0,18.0
adhP,55.0,76.0,55.0
adiA,6.0,9.0,7.0
adiC,3.0,5.0,2.0
adiY,10.0,9.0,19.0
adk,0.0,1.0,0.0
aegA,4.0,9.0,4.0
aer,0.0,0.0,2.0
aes,4.0,7.0,6.0
afuB,9.0,7.0,5.0
afuC,15.0,18.0,12.0
agaB,8.0,5.0,8.0
agaC,1.0,2.0,3.0
agaD,3.0,6.0,7.0
agaI,10.0,5.0,6.0
agaR,0.0,1.0,0.0
agaS,0.0,0.0,0.0
agaV,3.0,2.0,1.0
agaW,2.0,1.0,0.0
agp,9.0,16.0,10.0
ahpC,150.0,143.0,133.0
ahpF,19.0,17.0,12.0
aidB,9.0,7.0,12.0
ais,11.0,9.0,13.0
alaS,100.0,77.0,106.0
alaw,12750.0,12463.0,12459.0
aldA,37.0,32.0,32.0
alkB,12.0,6.0,6.0
allA,4.0,2.0,7.0
allB,9.0,8.0,15.0
allC,15.0,16.0,21.0
allD,4.0,3.0,3.0
allR,46.0,52.0,39.0
alr,40.0,30.0,39.0
alsA,10.0,10.0,8.0
alsB,17.0,20.0,20.0
