,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
Unnamed: 1,2829.0,2722.0,2940.0
GFP,42978.0,38618.0,40111.0
INTR_alaXW,1685.0,1893.0,1761.0
LELOBEKK,7.0,6.0,4.0
LELOBEKK_appX,0.0,1.0,0.0
LELOBEKK_araC,1.0,0.0,1.0
LELOBEKK_ccdA,0.0,0.0,0.0
LELOBEKK_fdoG,0.0,0.0,0.0
LELOBEKK_finO,0.0,0.0,0.0
LELOBEKK_flmC,0.0,0.0,1.0
LELOBEKK_galK,0.0,0.0,0.0
LELOBEKK_galT,0.0,0.0,0.0
LELOBEKK_gap,0.0,0.0,0.0
LELOBEKK_gpt,0.0,0.0,0.0
LELOBEKK_lacA,0.0,0.0,0.0
LELOBEKK_lacI,0.0,0.0,0.0
LELOBEKK_lacY,0.0,0.0,0.0
LELOBEKK_lacZ,0.0,0.0,0.0
LELOBEKK_lexA,0.0,0.0,0.0
LELOBEKK_malE,0.0,0.0,0.0
LELOBEKK_mpaA,0.0,0.0,0.0
LELOBEKK_pheS,0.0,0.0,0.0
LELOBEKK_psiB,1.0,0.0,0.0
LELOBEKK_rpsL,0.0,2.0,0.0
LELOBEKK_sgrT,0.0,0.0,0.0
LELOBEKK_tisB,1.0,0.0,0.0
LELOBEKK_traJ,0.0,0.0,0.0
LELOBEKK_traQ,0.0,0.0,0.0
LELOBEKK_traY,0.0,0.0,0.0
LELOBEKK_trpA,0.0,2.0,0.0
LELOBEKK_trxA,0.0,1.0,0.0
LELOBEKK_uidA,0.0,0.0,0.0
LELOBEKK_ylpA,0.0,0.0,0.0
LELOBEKK_ynhF,1.0,0.0,0.0
LELOBEKK_yshB,0.0,0.0,0.0
LELOBEKKtfaE,0.0,0.0,0.0
LacI,114628.0,106470.0,109558.0
MS2_fwd,0.0,0.0,1.0
YFP,2.0,0.0,2.0
aaeA,165.0,177.0,168.0
aaeB,117.0,147.0,127.0
aaeR,170.0,165.0,164.0
aaeX,4.0,14.0,10.0
aas,209.0,246.0,220.0
aat,42.0,64.0,66.0
abgA,2.0,0.0,0.0
abgB,149.0,127.0,135.0
abgR,158.0,147.0,175.0
abgT,161.0,201.0,175.0
abrB,15.0,19.0,14.0
accA,324.0,306.0,280.0
accB,125.0,131.0,142.0
accC,119.0,115.0,128.0
accD,12.0,13.0,13.0
aceA,194.0,198.0,195.0
aceB,117.0,119.0,111.0
aceE,158.0,125.0,137.0
aceF,254.0,261.0,281.0
aceK,79.0,79.0,83.0
ackA,149.0,156.0,132.0
acnA,121.0,134.0,121.0
acnB,42.0,41.0,39.0
acpH,0.0,0.0,2.0
acpP,259.0,219.0,247.0
acpS,4.0,1.0,1.0
acpT,11.0,12.0,12.0
acrA,37.0,36.0,30.0
acrB,54.0,65.0,49.0
acrD,16.0,25.0,21.0
acrE,16.0,26.0,27.0
acrF,206.0,213.0,197.0
