,EXP_A,EXP_B,EXP_C,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
Unnamed: 1,709.0,753.0,751.0,2507.0,2414.0,2412.0,3740.0,3569.0,3707.0,2829.0,2722.0,2940.0,2457.0,2459.0,2550.0
GFP,1120.0,1142.0,1105.0,41448.0,41577.0,39725.0,92488.0,89237.0,90070.0,42978.0,38618.0,40111.0,14221.0,12797.0,12596.0
INTR_alaXW,69.0,75.0,55.0,211.0,187.0,217.0,1032.0,1017.0,1043.0,1685.0,1893.0,1761.0,2361.0,2431.0,2411.0
LELOBEKK,36.0,27.0,29.0,8.0,7.0,5.0,12.0,14.0,25.0,7.0,6.0,4.0,4.0,2.0,8.0
LELOBEKK_appX,5.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LELOBEKK_fdoG,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_finO,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
LELOBEKK_flmC,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
LELOBEKK_gap,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_lacA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_lacY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LELOBEKK_lacZ,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_malE,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LELOBEKK_mpaA,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_psiB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
LELOBEKK_tisB,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_trpA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
LELOBEKK_ynhF,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LELOBEKK_yshB,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
