"",bulk,single-cell
aaea,0.000214,0.024024
aaeb,0.000104,0.023023
aaer,0.001247,0.007007
aaex,0.000732,0.002002
aas,0.001809,0.045045
aat,0.002425,0.024024
abgr,0.000417,0.012012
abpa,0.000363,0.069069
abpb,0.000245,0.107107
abrb,0.000087,0.017017
acca,0.006492,0.027027
accb,0.002004,0.005005
accc,0.015856,0.019019
accd,0.011281,0.022022
acea,0.007743,0.005005
aceb,0.007499,0.018018
acee,0.005855,0.015015
acef,0.008049,0.008008
acek,0.001354,0.002002
acka,0.020998,0.008008
acna,0.010990,0.013013
acnb,0.019795,0.004004
acph,0.001196,0.001001
acpp,0.050867,0.035035
acps,0.002556,0.011011
acpt,0.001230,0.000000
acra,0.002609,0.021021
acrb,0.000004,0.002002
acrd,0.000220,0.002002
acre,0.000644,0.002002
acrf,0.000088,0.008008
acrr,0.000046,0.018018
acrz,0.007663,0.006006
acs,0.008064,0.041041
actp,0.002986,0.023023
acts,0.000794,0.011011
ada,0.003587,0.011011
add,0.009777,0.001001
aded,0.000586,0.002002
adep,0.000510,0.011011
adeq,0.000628,0.040040
adhe,0.068729,0.164164
adhp,0.019866,0.091091
adia,0.000158,0.071071
adic,0.000246,0.023023
adiy,0.000348,0.047047
adk,0.002071,0.000000
aega,0.000219,0.057057
aer,0.000496,0.000000
aes,0.000493,0.026026
afuc,0.000044,0.029029
agab,0.000000,0.005005
agac,0.000010,0.001001
agad,0.000316,0.007007
agai,0.000042,0.002002
agar,0.001825,0.003003
agas,0.000117,0.000000
agav,0.000315,0.003003
agp,0.016651,0.009009
ahpc,0.019554,0.024024
ahpf,0.002635,0.003003
ahr,0.015840,0.031031
aidb,0.002900,0.003003
ais,0.000195,0.082082
alaa,0.000546,0.005005
alac,0.011824,0.010010
alae,0.039082,0.011011
alas,0.002313,0.045045
alat,0.001610,0.022022
alaw,0.001844,0.000000
alda,0.034787,0.032032
aldb,0.016756,0.009009
alka,0.001108,0.003003
alkb,0.001135,0.062062
alla,0.000614,0.003003
allb,0.000244,0.006006
allc,0.000367,0.058058
alld,0.000021,0.026026
alle,0.000807,0.055055
allr,0.031305,0.039039
alls,0.000048,0.033033
alpa,0.000024,0.002002
alr,0.000174,0.004004
alsa,0.000115,0.083083
alsc,0.000109,0.015015
alse,0.000103,0.030030
alsk,0.000220,0.018018
alsr,0.001281,0.104104
alx,0.000355,0.001001
amia,0.000853,0.016016
amib,0.002472,0.015015
amic,0.000392,0.007007
amid,0.005113,0.000000
amn,0.002793,0.002002
ampc,0.000056,0.067067
ampd,0.001756,0.001001
ampe,0.002225,0.005005
ampg,0.000220,0.039039
amph,0.000573,0.014014
amtb,0.000929,0.000000
amya,0.007729,0.014014
anmk,0.001249,0.020020
ansa,0.000223,0.003003
ansb,0.000527,0.012012
ansp,0.000203,0.025025
apag,0.006821,0.021021
apah,0.004194,0.007007
apha,0.000309,0.009009
appa,0.000635,0.003003
appb,0.000549,0.001001
appc,0.000703,0.008008
appx,0.000827,0.050050
appy,0.000155,0.003003
apt,0.000519,0.000000
aqpz,0.019103,0.027027
araa,0.000785,0.000000
arab,0.000684,0.009009
arac,0.002819,0.022022
arad,0.000349,0.009009
arae,0.001345,0.005005
araf,0.001120,0.136136
arag,0.000864,0.118118
arah,0.001760,0.041041
araj,0.000954,0.036036
arca,0.069953,0.054054
arcb,0.004749,0.017017
arfa,0.001280,0.021021
arfb,0.001065,0.001001
arga,0.005863,0.007007
argb,0.010494,0.002002
argc,0.008674,0.006006
argd,0.006832,0.015015
arge,0.004797,0.027027
argf,0.004837,0.006006
argg,0.008122,0.014014
argh,0.013298,0.004004
argo,0.000257,0.005005
argp,0.001955,0.001001
argr,0.006420,0.007007
args,0.001559,0.008008
argt,0.005574,0.047047
arir,0.002535,0.010010
arna,0.000594,0.006006
arnb,0.001292,0.004004
arnc,0.000610,0.002002
arnd,0.000177,0.003003
arne,0.000690,0.001001
arnf,0.000464,0.004004
arnt,0.000350,0.007007
aroa,0.000686,0.014014
arob,0.004691,0.012012
aroc,0.000659,0.006006
arod,0.000596,0.002002
aroe,0.005018,0.029029
arof,0.003818,0.040040
arog,0.003247,0.008008
aroh,0.000402,0.006006
arok,0.004661,0.090090
arol,0.001136,0.000000
arom,0.002281,0.021021
arop,0.002857,0.077077
arsb,0.000299,0.002002
arsc,0.001064,0.002002
artj,0.027888,0.061061
artm,0.014947,0.026026
artp,0.026341,0.014014
artq,0.011943,0.011011
ascb,0.001642,0.007007
ascf,0.002422,0.001001
ascg,0.000704,0.022022
asd,0.001747,0.035035
asla,0.000339,0.068068
aslb,0.000026,0.008008
asma,0.000942,0.097097
asna,0.009884,0.004004
asnb,0.002513,0.076076
asnc,0.000414,0.010010
asns,0.020311,0.008008
aspa,0.038921,0.076076
aspc,0.001231,0.071071
asps,0.004331,0.062062
asr,0.000745,0.000000
asta,0.009038,0.011011
astb,0.005798,0.061061
astc,0.010497,0.034034
astd,0.006959,0.019019
aste,0.004821,0.024024
atoa,0.000039,0.000000
atob,0.000364,0.005005
atoc,0.000322,0.009009
atod,0.000069,0.000000
atoe,0.000063,0.002002
atos,0.000420,0.008008
atpa,0.003514,0.016016
atpb,0.004311,0.005005
atpc,0.007312,0.006006
atpd,0.005704,0.031031
atpe,0.006486,0.008008
atpf,0.004597,0.001001
atpg,0.003126,0.006006
atph,0.003755,0.028028
atpi,0.003194,0.000000
avta,0.001569,0.007007
azor,0.000470,0.037037
baca,0.000817,0.002002
baer,0.002364,0.002002
baes,0.000275,0.008008
bama,0.003735,0.006006
bamb,0.023012,0.028028
bamc,0.009618,0.034034
bamd,0.003370,0.001001
bame,0.018334,0.011011
bara,0.000309,0.005005
basr,0.002368,0.037037
bass,0.001395,0.029029
bax,0.007621,0.043043
bcp,0.004476,0.005005
bcr,0.000876,0.022022
bcsa,0.000087,0.004004
bcsb,0.000058,0.026026
bcse,0.002565,0.012012
bcsf,0.000734,0.001001
bcsg,0.001014,0.012012
bcsq,0.000559,0.017017
bcsz,0.001199,0.013013
bdca,0.000183,0.010010
bdcr,0.000300,0.003003
bdm,0.000136,0.060060
bepa,0.002146,0.012012
beta,0.000467,0.046046
betb,0.003060,0.003003
bett,0.002964,0.006006
bfd,0.015141,0.007007
bfr,0.010657,0.063063
bgla,0.001577,0.013013
bglb,0.000018,0.043043
bglf,0.000023,0.040040
bglg,0.000019,0.050050
bglh,0.000039,0.051051
bglj,0.000268,0.004004
bglx,0.000645,0.099099
bioa,0.001847,0.016016
bioc,0.000245,0.003003
biod,0.002088,0.003003
biof,0.000696,0.001001
bioh,0.002440,0.014014
biop,0.000519,0.001001
bipa,0.013100,0.023023
bira,0.000909,0.006006
bisc,0.001169,0.020020
blc,0.014266,0.028028
blr,0.000231,0.000000
bluf,0.000375,0.047047
blur,0.001838,0.077077
bola,0.046241,0.086086
brnq,0.045620,0.000000
bsma,0.050011,0.033033
bssr,0.711991,0.129129
bsss,0.342082,0.049049
btsr,0.000341,0.104104
btss,0.000628,0.078078
btst,0.000373,0.016016
btub,0.000272,0.008008
btuc,0.000518,0.015015
btud,0.002527,0.009009
btue,0.002763,0.030030
btuf,0.000412,0.027027
cada,0.000087,0.058058
cadb,0.000128,0.055055
cadc,0.000840,0.070070
caia,0.000152,0.007007
caib,0.000185,0.041041
caic,0.000090,0.085085
caid,0.000031,0.030030
caie,0.000126,0.024024
caif,0.000900,0.004004
cait,0.000014,0.036036
can,0.002134,0.007007
cara,0.000881,0.001001
carb,0.001074,0.002002
cas3,0.000235,0.121121
casa,0.000104,0.087087
casb,0.000120,0.041041
casd,0.000251,0.057057
case,0.000484,0.087087
cbea,0.000000,0.001001
cbl,0.000216,0.110110
cbpa,0.007667,0.040040
cbpm,0.006585,0.014014
cbra,0.000036,0.003003
cbrb,0.000011,0.004004
cbrc,0.000444,0.007007
cbta,0.000000,0.003003
cca,0.005233,0.002002
ccda,0.003059,0.015015
ccma,0.001356,0.012012
ccmb,0.000230,0.011011
ccmc,0.000239,0.014014
ccmd,0.000047,0.001001
ccme,0.000280,0.038038
ccmf,0.000253,0.012012
ccmg,0.000254,0.076076
ccmh,0.000383,0.022022
ccp,0.000800,0.047047
cdar,0.000199,0.002002
cdd,0.012573,0.013013
cdgi,0.000169,0.005005
cdh,0.000043,0.015015
cdsa,0.004293,0.001001
cecr,0.001231,0.004004
ceda,0.000290,0.008008
cfa,0.068885,0.041041
chaa,0.000442,0.057057
chab,0.005558,0.004004
chac,0.005837,0.014014
chba,0.001384,0.009009
chbb,0.004864,0.036036
chbc,0.002095,0.121121
chbf,0.000515,0.082082
chbg,0.002018,0.023023
chbr,0.000795,0.121121
chea,0.000572,0.098098
cheb,0.000077,0.088088
cher,0.000352,0.005005
chew,0.000507,0.032032
chey,0.000117,0.004004
chez,0.000317,0.046046
chia,0.001011,0.025025
chip,0.000229,0.002002
chiq,0.000645,0.002002
cho,0.000555,0.004004
chps,0.000226,0.001001
cira,0.000383,0.120120
citc,0.000004,0.063063
citd,0.000000,0.001001
cite,0.000018,0.006006
citf,0.000003,0.015015
citg,0.000005,0.001001
citt,0.000136,0.036036
citx,0.000000,0.005005
clca,0.003246,0.014014
clcb,0.000120,0.002002
clpa,0.050798,0.041041
clpb,0.010457,0.109109
clpp,0.012067,0.004004
clps,0.002883,0.000000
clpx,0.131129,0.138138
clsa,0.004458,0.085085
clsb,0.001333,0.036036
clsc,0.001936,0.006006
cmk,0.013904,0.009009
cmoa,0.000771,0.001001
cmob,0.000517,0.002002
cmom,0.001511,0.004004
cmta,0.000043,0.012012
cmtb,0.000009,0.008008
cnox,0.003498,0.007007
coaa,0.000803,0.052052
coad,0.002889,0.003003
coae,0.004059,0.027027
cobb,0.000844,0.001001
cobc,0.000206,0.025025
cobs,0.000670,0.021021
cobt,0.000540,0.022022
cobu,0.000685,0.061061
codb,0.000114,0.003003
cof,0.004875,0.011011
comr,0.001621,0.024024
copa,0.002953,0.030030
cora,0.002724,0.012012
cpda,0.004537,0.000000
cpdb,0.000249,0.041041
cpob,0.005655,0.008008
cpsb,0.000046,0.017017
