"",bulk,single-cell
aaea,0.000214,0.022
aaeb,0.000104,0.023
aas,0.001809,0.041
aat,0.002425,0.021
abgr,0.000417,0.011
abpa,0.000363,0.062
abpb,0.000245,0.101
abrb,0.000087,0.014
acca,0.006492,0.026
accc,0.015856,0.008
accd,0.011281,0.020
aceb,0.007499,0.016
acee,0.005855,0.013
acna,0.010990,0.013
acpp,0.050867,0.030
acra,0.002609,0.018
acs,0.008064,0.040
actp,0.002986,0.022
acts,0.000794,0.011
adeq,0.000628,0.035
adhe,0.068729,0.152
adhp,0.019866,0.082
adia,0.000158,0.069
adiy,0.000348,0.042
aega,0.000219,0.050
aes,0.000493,0.021
afuc,0.000044,0.029
agab,0.000000,0.005
agad,0.000316,0.007
agp,0.016651,0.009
ahpc,0.019554,0.011
ahr,0.015840,0.028
ais,0.000195,0.078
alae,0.039082,0.010
alas,0.002313,0.038
alat,0.001610,0.023
alda,0.034787,0.030
aldb,0.016756,0.009
alkb,0.001135,0.056
allc,0.000367,0.056
alld,0.000021,0.024
alle,0.000807,0.051
allr,0.031305,0.033
alls,0.000048,0.030
alr,0.000174,0.004
alsa,0.000115,0.078
alsc,0.000109,0.014
alse,0.000103,0.025
alsk,0.000220,0.016
alsr,0.001281,0.098
amia,0.000853,0.014
ampc,0.000056,0.059
ampg,0.000220,0.033
amya,0.007729,0.012
anmk,0.001249,0.019
ansb,0.000527,0.012
ansp,0.000203,0.023
apha,0.000309,0.009
appa,0.000635,0.003
appc,0.000703,0.007
appx,0.000827,0.041
aqpz,0.019103,0.026
arac,0.002819,0.021
arad,0.000349,0.006
araf,0.001120,0.132
arag,0.000864,0.102
arah,0.001760,0.035
araj,0.000954,0.031
arca,0.069953,0.050
arcb,0.004749,0.012
arfa,0.001280,0.018
arga,0.005863,0.006
argd,0.006832,0.015
arge,0.004797,0.025
argg,0.008122,0.013
argr,0.006420,0.007
argt,0.005574,0.040
arnb,0.001292,0.004
aroa,0.000686,0.012
aroe,0.005018,0.029
arof,0.003818,0.037
arog,0.003247,0.008
aroh,0.000402,0.006
arok,0.004661,0.088
arom,0.002281,0.020
arop,0.002857,0.074
artj,0.027888,0.056
artm,0.014947,0.020
ascg,0.000704,0.021
asd,0.001747,0.033
asla,0.000339,0.061
asma,0.000942,0.086
asnb,0.002513,0.071
aspa,0.038921,0.071
aspc,0.001231,0.064
asps,0.004331,0.052
asta,0.009038,0.011
astb,0.005798,0.052
astc,0.010497,0.027
aste,0.004821,0.023
atoc,0.000322,0.007
atos,0.000420,0.008
atpa,0.003514,0.014
atpd,0.005704,0.027
atph,0.003755,0.027
avta,0.001569,0.007
azor,0.000470,0.031
baes,0.000275,0.007
bamb,0.023012,0.026
bamc,0.009618,0.028
bara,0.000309,0.005
basr,0.002368,0.031
bax,0.007621,0.037
bcr,0.000876,0.019
bcsb,0.000058,0.024
bcse,0.002565,0.012
bcsg,0.001014,0.012
bcsq,0.000559,0.014
bdca,0.000183,0.011
bdm,0.000136,0.056
bepa,0.002146,0.011
beta,0.000467,0.045
bfr,0.010657,0.057
bglb,0.000018,0.041
bglf,0.000023,0.038
bglg,0.000019,0.046
bglh,0.000039,0.046
bglj,0.000268,0.004
bglx,0.000645,0.091
bioa,0.001847,0.015
bipa,0.013100,0.021
bira,0.000909,0.006
bisc,0.001169,0.017
blc,0.014266,0.027
bluf,0.000375,0.040
blur,0.001838,0.073
bola,0.046241,0.078
bsma,0.050011,0.029
bssr,0.711991,0.114
bsss,0.342082,0.046
btsr,0.000341,0.096
btss,0.000628,0.068
btue,0.002763,0.028
btuf,0.000412,0.024
cada,0.000087,0.054
cadb,0.000128,0.050
cadc,0.000840,0.063
caia,0.000152,0.006
caib,0.000185,0.038
caic,0.000090,0.080
caid,0.000031,0.027
caif,0.000900,0.004
cait,0.000014,0.034
cas3,0.000235,0.104
casa,0.000104,0.081
casb,0.000120,0.037
casd,0.000251,0.051
case,0.000484,0.076
cbl,0.000216,0.101
cbpa,0.007667,0.038
cbpm,0.006585,0.014
ccda,0.003059,0.015
ccma,0.001356,0.011
ccme,0.000280,0.033
ccmg,0.000254,0.067
ccmh,0.000383,0.021
ccp,0.000800,0.042
cdd,0.012573,0.006
cdgi,0.000169,0.005
cdh,0.000043,0.015
ceda,0.000290,0.006
cfa,0.068885,0.038
chaa,0.000442,0.050
chbb,0.004864,0.032
chbc,0.002095,0.109
chbf,0.000515,0.069
chbr,0.000795,0.111
chea,0.000572,0.091
cheb,0.000077,0.081
chew,0.000507,0.028
chez,0.000317,0.040
chia,0.001011,0.023
cira,0.000383,0.111
citc,0.000004,0.055
citt,0.000136,0.034
clca,0.003246,0.014
clpa,0.050798,0.040
clpb,0.010457,0.101
clpx,0.131129,0.127
clsa,0.004458,0.078
clsb,0.001333,0.033
cmta,0.000043,0.010
coaa,0.000803,0.050
coae,0.004059,0.026
cobc,0.000206,0.023
cobs,0.000670,0.019
