"",bulk,single-cell
aaea,0.000214,0.046
aaeb,0.000104,0.043
aaer,0.001247,0.022
aaex,0.000732,0.001
aas,0.001809,0.120
aat,0.002425,0.027
abgr,0.000417,0.029
abpa,0.000363,0.102
abpb,0.000245,0.129
abrb,0.000087,0.017
acca,0.006492,0.048
accb,0.002004,0.020
accc,0.015856,0.048
accd,0.011281,0.036
acea,0.007743,0.020
aceb,0.007499,0.036
acee,0.005855,0.044
acef,0.008049,0.028
acek,0.001354,0.010
acka,0.020998,0.021
acna,0.010990,0.036
acnb,0.019795,0.012
acph,0.001196,0.003
acpp,0.050867,0.065
acps,0.002556,0.008
acpt,0.001230,0.002
acra,0.002609,0.021
acrb,0.000004,0.001
acrd,0.000220,0.011
acre,0.000644,0.014
acrf,0.000088,0.024
acrr,0.000046,0.039
acrz,0.007663,0.024
acs,0.008064,0.048
actp,0.002986,0.022
acts,0.000794,0.050
ada,0.003587,0.007
add,0.009777,0.004
aded,0.000586,0.019
adep,0.000510,0.016
adeq,0.000628,0.049
adhe,0.068729,0.204
adhp,0.019866,0.151
adia,0.000158,0.069
adic,0.000246,0.018
adiy,0.000348,0.053
adk,0.002071,0.001
aega,0.000219,0.073
aer,0.000496,0.004
aes,0.000493,0.024
afuc,0.000044,0.013
agab,0.000000,0.019
agac,0.000010,0.007
agad,0.000316,0.021
agai,0.000042,0.010
agar,0.001825,0.004
agas,0.000117,0.001
agav,0.000315,0.005
agp,0.016651,0.052
ahpc,0.019554,0.039
ahpf,0.002635,0.019
ahr,0.015840,0.051
aidb,0.002900,0.015
ais,0.000195,0.080
alaa,0.000546,0.026
alac,0.011824,0.014
alae,0.039082,0.042
alas,0.002313,0.078
alat,0.001610,0.049
alaw,0.001844,0.000
alda,0.034787,0.089
aldb,0.016756,0.012
alka,0.001108,0.002
alkb,0.001135,0.072
alla,0.000614,0.013
allb,0.000244,0.026
allc,0.000367,0.066
alld,0.000021,0.028
alle,0.000807,0.065
allr,0.031305,0.090
alls,0.000048,0.021
alpa,0.000024,0.004
alr,0.000174,0.023
alsa,0.000115,0.060
alsc,0.000109,0.018
alse,0.000103,0.019
alsk,0.000220,0.017
alsr,0.001281,0.081
alx,0.000355,0.007
amia,0.000853,0.048
amib,0.002472,0.041
amic,0.000392,0.014
