"",bulk,single-cell
aaea,0.000214,0.038
aaeb,0.000104,0.038
aas,0.001809,0.106
aat,0.002425,0.023
abgr,0.000417,0.024
abpa,0.000363,0.092
abpb,0.000245,0.121
abrb,0.000087,0.011
acca,0.006492,0.042
accc,0.015856,0.019
accd,0.011281,0.029
aceb,0.007499,0.028
acee,0.005855,0.038
acna,0.010990,0.031
acpp,0.050867,0.059
acra,0.002609,0.018
acs,0.008064,0.037
actp,0.002986,0.022
acts,0.000794,0.040
adeq,0.000628,0.042
adhe,0.068729,0.176
adhp,0.019866,0.139
adia,0.000158,0.067
adiy,0.000348,0.052
aega,0.000219,0.062
aes,0.000493,0.023
afuc,0.000044,0.008
agab,0.000000,0.017
agad,0.000316,0.016
agp,0.016651,0.036
ahpc,0.019554,0.011
ahr,0.015840,0.044
ais,0.000195,0.068
alae,0.039082,0.041
alas,0.002313,0.069
alat,0.001610,0.040
alda,0.034787,0.076
aldb,0.016756,0.010
alkb,0.001135,0.057
allc,0.000367,0.058
alld,0.000021,0.026
alle,0.000807,0.061
allr,0.031305,0.076
alls,0.000048,0.019
alr,0.000174,0.022
alsa,0.000115,0.052
alsc,0.000109,0.016
alse,0.000103,0.018
alsk,0.000220,0.014
alsr,0.001281,0.073
amia,0.000853,0.034
ampc,0.000056,0.058
ampg,0.000220,0.037
amya,0.007729,0.036
anmk,0.001249,0.030
ansb,0.000527,0.026
ansp,0.000203,0.013
apha,0.000309,0.039
appa,0.000635,0.015
appc,0.000703,0.007
appx,0.000827,0.169
aqpz,0.019103,0.034
arac,0.002819,0.071
arad,0.000349,0.005
araf,0.001120,0.135
arag,0.000864,0.123
arah,0.001760,0.049
araj,0.000954,0.051
arca,0.069953,0.073
arcb,0.004749,0.032
arfa,0.001280,0.027
arga,0.005863,0.019
argd,0.006832,0.035
arge,0.004797,0.033
argg,0.008122,0.025
argr,0.006420,0.018
argt,0.005574,0.062
arnb,0.001292,0.014
aroa,0.000686,0.027
aroe,0.005018,0.033
arof,0.003818,0.081
arog,0.003247,0.013
aroh,0.000402,0.025
arok,0.004661,0.020
arom,0.002281,0.039
arop,0.002857,0.078
artj,0.027888,0.061
artm,0.014947,0.039
ascg,0.000704,0.022
asd,0.001747,0.023
asla,0.000339,0.055
asma,0.000942,0.125
asnb,0.002513,0.070
aspa,0.038921,0.083
aspc,0.001231,0.059
asps,0.004331,0.074
asta,0.009038,0.020
astb,0.005798,0.119
astc,0.010497,0.042
aste,0.004821,0.021
atoc,0.000322,0.017
atos,0.000420,0.036
atpa,0.003514,0.039
atpd,0.005704,0.021
atph,0.003755,0.041
avta,0.001569,0.013
azor,0.000470,0.023
baes,0.000275,0.021
bamb,0.023012,0.039
bamc,0.009618,0.070
bara,0.000309,0.024
basr,0.002368,0.036
bax,0.007621,0.069
bcr,0.000876,0.032
bcsb,0.000058,0.029
bcse,0.002565,0.020
bcsg,0.001014,0.023
bcsq,0.000559,0.025
bdca,0.000183,0.019
bdm,0.000136,0.083
bepa,0.002146,0.009
beta,0.000467,0.036
bfr,0.010657,0.054
bglb,0.000018,0.049
bglf,0.000023,0.046
bglg,0.000019,0.041
bglh,0.000039,0.052
bglj,0.000268,0.017
bglx,0.000645,0.111
bioa,0.001847,0.018
bipa,0.013100,0.047
bira,0.000909,0.025
bisc,0.001169,0.014
blc,0.014266,0.026
bluf,0.000375,0.071
blur,0.001838,0.084
bola,0.046241,0.114
bsma,0.050011,0.042
bssr,0.711991,0.246
bsss,0.342082,0.077
btsr,0.000341,0.140
btss,0.000628,0.096
btue,0.002763,0.043
btuf,0.000412,0.014
cada,0.000087,0.037
cadb,0.000128,0.041
cadc,0.000840,0.061
caia,0.000152,0.015
caib,0.000185,0.051
caic,0.000090,0.073
caid,0.000031,0.022
caif,0.000900,0.029
cait,0.000014,0.046
cas3,0.000235,0.118
casa,0.000104,0.139
casb,0.000120,0.097
casd,0.000251,0.110
case,0.000484,0.131
cbl,0.000216,0.129
cbpa,0.007667,0.033
cbpm,0.006585,0.012
ccda,0.003059,0.019
ccma,0.001356,0.030
ccme,0.000280,0.047
ccmg,0.000254,0.113
ccmh,0.000383,0.026
ccp,0.000800,0.068
cdd,0.012573,0.013
cdgi,0.000169,0.022
cdh,0.000043,0.036
ceda,0.000290,0.008
cfa,0.068885,0.086
chaa,0.000442,0.060
chbb,0.004864,0.040
chbc,0.002095,0.163
chbf,0.000515,0.108
chbr,0.000795,0.134
chea,0.000572,0.106
cheb,0.000077,0.113
chew,0.000507,0.022
chez,0.000317,0.044
chia,0.001011,0.049
cira,0.000383,0.130
citc,0.000004,0.074
citt,0.000136,0.031
clca,0.003246,0.051
clpa,0.050798,0.091
clpb,0.010457,0.149
clpx,0.131129,0.218
clsa,0.004458,0.102
clsb,0.001333,0.029
cmta,0.000043,0.020
coaa,0.000803,0.056
coae,0.004059,0.030
cobc,0.000206,0.023
cobs,0.000670,0.020
cobt,0.000540,0.023
cobu,0.000685,0.079
codb,0.000114,0.010
comr,0.001621,0.021
copa,0.002953,0.022
cora,0.002724,0.011
cpdb,0.000249,0.045
cpsb,0.000046,0.016
cpsg,0.000077,0.079
cpxa,0.001870,0.044
cpxp,0.036020,0.018
cpxr,0.003264,0.024
crcb,0.002439,0.033
crea,0.000643,0.006
crp,0.012346,0.020
crr,0.267115,0.223
csde,0.004276,0.004
csgd,0.000337,0.081
csge,0.000397,0.028
csgf,0.000120,0.055
csgg,0.000694,0.037
csie,0.047591,0.133
cspa,0.051664,0.033
cspe,0.482431,0.243
cspi,0.000509,0.051
csra,0.429062,0.048
csrd,0.000719,0.038
csta,0.013685,0.023
cueo,0.000437,0.015
cura,0.005819,0.026
cusr,0.000560,0.031
cuss,0.000107,0.031
cutc,0.024762,0.062
cvra,0.000266,0.069
cydc,0.000570,0.041
cydd,0.000532,0.080
cydh,0.002748,0.192
cynr,0.000480,0.037
cyoa,0.005043,0.047
cyob,0.004019,0.059
cysa,0.000630,0.024
cysc,0.000153,0.017
cysd,0.000232,0.059
cysg,0.001882,0.006
cysh,0.000515,0.078
cysi,0.000155,0.048
cysj,0.000086,0.030
cysn,0.000523,0.059
cysu,0.005552,0.019
cysz,0.004231,0.012
cytr,0.000515,0.063
cyua,0.000174,0.010
cyup,0.000432,0.039
daca,0.000984,0.049
dacc,0.007017,0.032
dacd,0.000517,0.135
damx,0.006320,0.017
dapa,0.008757,0.124
dbpa,0.001164,0.012
dcd,0.002395,0.023
dcp,0.001698,0.071
dcta,0.025612,0.098
dctr,0.000048,0.013
dcua,0.005903,0.033
dcuc,0.000109,0.043
dcur,0.000333,0.027
dcus,0.000149,0.045
dcyd,0.006144,0.069
ddla,0.001045,0.062
ddpa,0.000899,0.105
ddpd,0.000167,0.013
ddpf,0.000136,0.029
ddpx,0.001028,0.048
dead,0.019879,0.042
deda,0.003117,0.100
dedd,0.007085,0.033
def,0.063230,0.051
degp,0.004280,0.031
degq,0.002601,0.025
degs,0.000756,0.019
deoa,0.017376,0.018
deob,0.048848,0.034
deor,0.001131,0.016
der,0.010061,0.046
dfp,0.000719,0.017
dgci,0.000107,0.027
dgcj,0.000750,0.017
dgcm,0.001359,0.052
dgcp,0.001169,0.010
dgcq,0.002695,0.088
dgct,0.000041,0.021
dgcz,0.003694,0.101
dgod,0.000258,0.058
dgok,0.000414,0.021
dgt,0.000349,0.017
dhak,0.000981,0.039
dhal,0.000645,0.017
dham,0.000659,0.085
dhar,0.000273,0.016
dicc,0.000153,0.040
digh,0.000210,0.068
dind,0.000220,0.017
ding,0.001084,0.014
dini,0.002863,0.021
dinj,0.007211,0.017
dkga,0.019534,0.030
dkgb,0.000343,0.029
dmlr,0.002361,0.063
dmsb,0.000235,0.031
dnaa,0.001733,0.059
dnac,0.001073,0.030
dnae,0.000912,0.032
dnag,0.002153,0.028
dnak,0.033383,0.095
dnat,0.001467,0.016
dosc,0.013368,0.151
dosp,0.006363,0.131
dpaa,0.001198,0.063
dppa,0.001042,0.044
dppf,0.000123,0.013
dps,0.045911,0.040
drpb,0.004366,0.057
dsbc,0.001309,0.033
dsbd,0.000956,0.024
dsbg,0.000720,0.098
dsda,0.000190,0.026
dsdx,0.000552,0.117
dtpb,0.017346,0.026
dtpc,0.000068,0.056
dtpd,0.002602,0.089
dusc,0.000436,0.035
eama,0.001635,0.105
ecpb,0.000038,0.025
ecpc,0.000082,0.081
ecpe,0.000181,0.061
edd,0.000383,0.131
elaa,0.000777,0.057
elab,0.123495,0.044
elbb,0.001759,0.023
elfa,0.000103,0.025
elfg,0.000258,0.030
elyc,0.000364,0.037
emrk,0.000386,0.118
emry,0.000149,0.086
emta,0.002471,0.018
enda,0.000237,0.008
eno,0.091014,0.244
entd,0.000228,0.047
envr,0.000022,0.057
envy,0.000024,0.056
epd,0.005626,0.020
epmb,0.000499,0.031
epmc,0.000152,0.039
epta,0.000263,0.034
eptb,0.000462,0.036
