"",bulk,single-cell
aaea,0.015742,0.023952
aaeb,0.021966,0.016966
aaer,0.120410,0.008982
aaex,0.009942,0.000998
aas,0.245128,0.172655
aat,0.286432,0.037924
abgr,0.130196,0.030938
abpa,0.176561,0.112774
abpb,0.131131,0.159681
abrb,0.006304,0.023952
acca,1.329053,0.048902
accb,3.659599,0.006986
accc,8.999654,0.080838
accd,3.214282,0.029940
acea,4.744924,0.036926
aceb,2.273280,0.054890
acee,1.080429,0.045908
acef,1.366511,0.011976
acek,0.605396,0.024950
acka,1.309634,0.033932
acna,0.852118,0.080838
acnb,6.521630,0.012974
acph,0.097832,0.002994
acpp,16.159473,0.096806
acps,0.292598,0.001996
acpt,0.283544,0.004990
acra,1.273078,0.036926
acrb,0.002046,0.000000
acrd,0.055133,0.008982
acre,0.368313,0.009980
acrf,0.021073,0.011976
acrr,0.054372,0.040918
acrz,0.394117,0.009980
acs,5.516212,0.149701
actp,4.266758,0.030938
acts,0.206031,0.009980
ada,0.109150,0.003992
add,0.092600,0.010978
aded,0.034449,0.009980
adep,1.279674,0.007984
adeq,0.013843,0.033932
adhe,2.797476,0.312375
adhp,2.147606,0.191617
adia,0.011186,0.060878
adic,0.006225,0.027944
adiy,0.001036,0.055888
adk,1.821705,0.000000
aega,0.020231,0.089820
aer,0.291299,0.000000
aes,0.020642,0.048902
afuc,0.009333,0.013972
agab,0.007945,0.010978
agac,0.007366,0.004990
agad,0.010310,0.003992
agai,0.012016,0.006986
agar,0.416577,0.000998
agas,0.012766,0.000000
agav,0.097628,0.000998
agp,0.665781,0.063872
ahpc,8.100866,0.041916
ahpf,0.352141,0.002994
ahr,0.284763,0.054890
aidb,0.128419,0.017964
ais,0.011298,0.077844
alaa,1.254442,0.027944
alac,0.772581,0.002994
alae,0.084480,0.025948
alas,2.020440,0.092814
alat,2.312672,0.086826
alda,13.488695,0.204591
aldb,0.978751,0.029940
alka,0.116257,0.001996
alkb,0.051530,0.100798
alla,0.022107,0.006986
allb,0.022066,0.020958
allc,0.031394,0.079840
alld,0.005846,0.030938
alle,0.056546,0.120758
allr,0.556140,0.078842
alls,0.004122,0.031936
alpa,0.014727,0.000998
alr,0.260737,0.009980
alsa,0.018650,0.063872
alsc,0.018316,0.023952
alse,0.022205,0.024950
alsk,0.030601,0.018962
alsr,0.188590,0.071856
alx,0.175005,0.004990
amia,0.346903,0.013972
amib,0.272416,0.033932
amic,0.538778,0.004990
amid,0.220751,0.001996
amn,0.544557,0.023952
ampc,0.068189,0.081836
ampd,0.118148,0.002994
ampe,0.192478,0.014970
ampg,0.391230,0.055888
amph,0.373827,0.035928
amtb,0.043147,0.001996
amya,1.501968,0.071856
anmk,0.165581,0.034930
ansa,0.395820,0.019960
ansb,0.059054,0.005988
ansp,0.042514,0.025948
apag,0.583371,0.042914
apah,0.382442,0.014970
apha,0.352667,0.030938
appa,0.035567,0.022954
appb,0.021303,0.006986
appc,0.022279,0.006986
appx,0.020718,0.084830
appy,0.008789,0.001996
apt,0.942476,0.000998
aqpz,0.182975,0.053892
arab,0.010020,0.008982
arac,0.102928,0.034930
arad,0.026823,0.012974
arae,0.090102,0.007984
araf,0.139695,0.181637
arag,0.035791,0.212575
arah,0.055847,0.070858
araj,0.032402,0.079840
arca,3.721608,0.135729
arcb,0.282096,0.019960
arfa,0.086330,0.023952
arfb,0.152686,0.002994
arga,0.058438,0.017964
argb,0.088140,0.001996
argc,0.030608,0.017964
argd,0.106318,0.018962
arge,0.167582,0.026946
argf,0.031943,0.006986
argg,0.302854,0.018962
argh,0.161405,0.003992
argo,0.042452,0.002994
argp,0.371987,0.000000
argr,0.420613,0.015968
args,0.550334,0.015968
argt,2.629112,0.080838
arir,0.020245,0.012974
arna,0.148316,0.024950
arnb,0.156888,0.024950
arnc,0.124506,0.012974
arnd,0.110935,0.006986
arne,0.089666,0.003992
arnf,0.054606,0.003992
arnt,0.045880,0.037924
aroa,0.353001,0.027944
arob,1.745949,0.006986
aroc,0.792534,0.003992
arod,0.182871,0.004990
aroe,0.603101,0.017964
arof,0.302854,0.094810
arog,0.764613,0.011976
aroh,0.441434,0.011976
arok,2.315506,0.015968
arol,0.446321,0.000998
arom,0.299194,0.064870
arop,0.210293,0.098802
arsb,0.021245,0.003992
arsc,0.276752,0.007984
artj,0.451172,0.084830
artm,0.747351,0.040918
artp,0.431945,0.009980
artq,0.717586,0.027944
ascb,0.057440,0.030938
ascf,0.049684,0.015968
ascg,0.206121,0.040918
asd,1.073315,0.024950
asla,0.013040,0.067864
aslb,0.040194,0.019960
asma,0.288502,0.193613
asna,0.817995,0.001996
asnb,0.341972,0.101796
asnc,0.061342,0.008982
asns,1.777018,0.004990
aspa,3.694956,0.198603
aspc,2.899549,0.084830
asps,1.448182,0.141717
asr,0.175232,0.001996
asta,3.420150,0.029940
astb,2.458338,0.161677
astc,3.880995,0.085828
astd,2.618374,0.007984
aste,1.868615,0.060878
atoa,0.001738,0.002994
atob,0.016515,0.008982
atoc,0.070340,0.023952
atoe,0.002686,0.008982
atos,0.028296,0.022954
atpa,10.256538,0.029940
atpb,4.811737,0.000000
atpc,8.930291,0.000000
atpd,9.815381,0.017964
atpe,14.752069,0.005988
atpf,11.730537,0.000000
atpg,8.690228,0.006986
atph,10.463253,0.032934
avta,0.657672,0.010978
azor,0.121310,0.038922
baca,0.232680,0.000000
baer,0.097910,0.000000
baes,0.034223,0.022954
bama,2.595598,0.039920
bamb,2.145829,0.072854
