"",bulk,single-cell
aaea,0.015742,0.023055
aaeb,0.021966,0.013449
aas,0.245128,0.146974
abgr,0.130196,0.027858
abpa,0.176561,0.094140
abpb,0.131131,0.137368
abrb,0.006304,0.018252
accc,8.999654,0.061479
acea,4.744924,0.033622
aceb,2.273280,0.048991
acee,1.080429,0.040346
acek,0.605396,0.021134
acka,1.309634,0.031700
acpp,16.159473,0.088377
acra,1.273078,0.027858
acre,0.368313,0.006724
acrr,0.054372,0.032661
acs,5.516212,0.129683
actp,4.266758,0.024015
adeq,0.013843,0.030740
adhe,2.797476,0.275696
adia,0.011186,0.052834
adic,0.006225,0.020173
aega,0.020231,0.073007
aes,0.020642,0.038425
afuc,0.009333,0.014409
agp,0.665781,0.049952
ahpc,8.100866,0.016330
ahr,0.284763,0.042267
aidb,0.128419,0.021134
ais,0.011298,0.065322
alae,0.084480,0.021134
alas,2.020440,0.078770
alat,2.312672,0.075889
alda,13.488695,0.177714
aldb,0.978751,0.028818
alkb,0.051530,0.081652
alla,0.022107,0.007685
allb,0.022066,0.017291
alld,0.005846,0.024015
alle,0.056546,0.096061
alls,0.004122,0.027858
alsa,0.018650,0.055716
alsc,0.018316,0.019212
alsk,0.030601,0.014409
alsr,0.188590,0.058598
alx,0.175005,0.004803
amib,0.272416,0.023055
amic,0.538778,0.003842
ampc,0.068189,0.072046
ampg,0.391230,0.046110
amph,0.373827,0.030740
amya,1.501968,0.061479
anmk,0.165581,0.028818
ansp,0.042514,0.023055
apag,0.583371,0.032661
apha,0.352667,0.025937
appx,0.020718,0.078770
aqpz,0.182975,0.043228
arac,0.102928,0.029779
arad,0.026823,0.011527
araf,0.139695,0.152738
arag,0.035791,0.184438
arah,0.055847,0.058598
arca,3.721608,0.121998
argg,0.302854,0.015370
args,0.550334,0.013449
argt,2.629112,0.068204
arnb,0.156888,0.018252
arnc,0.124506,0.010567
arnt,0.045880,0.032661
aroa,0.353001,0.023055
aroe,0.603101,0.014409
arof,0.302854,0.080692
aroh,0.441434,0.010567
arok,2.315506,0.013449
arom,0.299194,0.055716
arop,0.210293,0.085495
