"",bulk,single-cell
aaea,0.010174,0.020121
aaeb,0.010736,0.017103
aaer,0.037969,0.026157
aaex,0.016810,0.001006
aas,0.021575,0.023139
aat,0.033292,0.007042
abgr,0.008460,0.015091
abpa,0.012647,0.012072
abpb,0.006233,0.019115
abrb,0.000823,0.002012
acca,0.136947,0.137827
accb,0.058036,0.020121
accc,0.345803,0.177062
accd,0.258871,0.043260
acea,0.129878,0.026157
aceb,0.163530,0.098592
acee,0.033101,0.040241
acef,0.034587,0.015091
acek,0.010690,0.004024
acka,0.064347,0.024145
acna,0.139535,0.142857
acnb,0.282412,0.034205
acph,0.067577,0.005030
acpp,1.114186,0.319920
acps,0.013465,0.001006
acpt,0.022812,0.003018
acra,0.179551,0.051308
acrb,0.000921,0.004024
acrd,0.011478,0.005030
acre,0.011126,0.011066
acrf,0.004941,0.007042
acrr,0.004960,0.018109
acrz,0.034013,0.012072
acs,0.059245,0.069416
actp,0.014493,0.006036
acts,0.024384,0.024145
ada,0.074231,0.006036
add,0.073245,0.013078
aded,0.009129,0.011066
adep,0.011895,0.000000
adeq,0.007538,0.015091
adhe,0.131982,0.295775
adhp,0.271750,0.178068
adia,0.001106,0.008048
adic,0.003436,0.005030
adiy,0.003768,0.008048
adk,0.060697,0.002012
aega,0.004846,0.008048
aer,0.080172,0.004024
aes,0.004331,0.006036
afuc,0.007897,0.004024
agab,0.002285,0.019115
agac,0.001462,0.007042
agad,0.002291,0.018109
agai,0.001740,0.007042
agar,0.054165,0.002012
agas,0.011586,0.004024
agav,0.010034,0.005030
agp,0.034001,0.044266
ahpc,0.413208,0.073441
ahpf,0.062150,0.021127
ahr,0.190875,0.074447
aidb,0.046675,0.031187
ais,0.004294,0.011066
alaa,0.050521,0.036217
alac,0.110466,0.005030
alae,0.011681,0.010060
alas,0.093565,0.032193
alat,0.059636,0.253521
alaw,0.013383,0.000000
alda,0.037171,0.085513
aldb,0.045067,0.005030
alka,0.017105,0.000000
alkb,0.025231,0.025151
alla,0.004980,0.002012
allb,0.008400,0.010060
allc,0.005763,0.016097
alld,0.000892,0.004024
alle,0.009402,0.019115
allr,0.235615,0.088531
alls,0.000706,0.004024
alpa,0.002994,0.001006
alr,0.025700,0.015091
alsa,0.002044,0.012072
alsc,0.002023,0.002012
alse,0.003129,0.002012
alsk,0.004185,0.004024
alsr,0.005821,0.014085
alx,0.046701,0.009054
amia,0.105543,0.064386
amib,0.101292,0.098592
amic,0.094336,0.005030
amid,0.107988,0.005030
amn,0.009355,0.016097
ampc,0.007176,0.018109
ampd,0.010486,0.000000
ampe,0.017345,0.011066
ampg,0.005297,0.010060
amph,0.013547,0.002012
amtb,0.015790,0.000000
amya,0.124172,0.104628
anmk,0.022900,0.008048
ansa,0.014902,0.017103
ansb,0.036957,0.032193
ansp,0.008300,0.005030
apag,0.115559,0.050302
apah,0.069372,0.016097
apha,0.009937,0.034205
appa,0.008584,0.018109
appb,0.004039,0.002012
appc,0.004072,0.001006
appx,0.003548,0.110664
appy,0.002742,0.000000
apt,0.041537,0.002012
aqpz,0.049587,0.013078
araa,0.002959,0.000000
arab,0.002404,0.002012
arac,0.035188,0.051308
arad,0.005885,0.006036
arae,0.028588,0.000000
araf,0.016134,0.049296
arag,0.009135,0.031187
arah,0.014583,0.004024
araj,0.008404,0.009054
arca,1.085120,0.261569
arcb,0.011994,0.011066
arfa,0.075834,0.053320
arfb,0.045398,0.003018
arga,0.020575,0.010060
argb,0.037985,0.003018
argc,0.003964,0.005030
argd,0.043810,0.022133
arge,0.028144,0.011066
argf,0.011359,0.002012
argg,0.077567,0.074447
argh,0.106993,0.014085
argo,0.093208,0.015091
argp,0.022163,0.004024
argr,0.135327,0.028169
args,0.032087,0.005030
argt,0.097029,0.042254
arir,0.687382,0.164990
arna,0.006918,0.016097
arnb,0.059488,0.017103
arnc,0.009843,0.004024
arnd,0.009032,0.011066
arne,0.013924,0.004024
arnf,0.007909,0.008048
arnt,0.004078,0.014085
aroa,0.008696,0.014085
arob,0.092177,0.022133
aroc,0.037632,0.003018
arod,0.017834,0.010060
aroe,0.084523,0.025151
arof,0.047976,0.027163
arog,0.118120,0.033199
aroh,0.020974,0.043260
arok,0.117846,0.030181
arol,0.019776,0.000000
arom,0.033646,0.035211
arop,0.051481,0.068410
arsb,0.005422,0.004024
arsc,0.016908,0.005030
artj,0.076931,0.012072
artm,0.070001,0.029175
artp,0.116300,0.010060
artq,0.081671,0.031187
ascb,0.011242,0.022133
ascf,0.013398,0.009054
ascg,0.021213,0.012072
asd,0.033836,0.029175
asla,0.010326,0.027163
aslb,0.003473,0.011066
asma,0.020666,0.036217
asna,0.048184,0.006036
asnb,0.019789,0.023139
asnc,0.038168,0.008048
asns,0.127786,0.004024
aspa,0.016845,0.017103
aspc,0.033898,0.032193
asps,0.073095,0.032193
asr,0.001882,0.002012
asta,0.052017,0.003018
astb,0.015098,0.016097
astc,0.126881,0.035211
astd,0.024649,0.002012
aste,0.007123,0.005030
atoa,0.000563,0.004024
atob,0.003695,0.009054
atoc,0.001967,0.007042
atod,0.000415,0.000000
atoe,0.000713,0.004024
atos,0.001421,0.014085
atpa,0.065297,0.029175
atpb,0.070245,0.004024
atpc,0.086695,0.001006
atpd,0.067803,0.009054
atpe,0.086724,0.012072
atpf,0.096564,0.001006
atpg,0.042117,0.009054
atph,0.077540,0.026157
avta,0.043854,0.020121
azor,0.008196,0.003018
baca,0.028703,0.000000
baer,0.029349,0.000000
baes,0.003583,0.006036
bama,0.099585,0.054326
bamb,0.329522,0.052314
bamc,0.169823,0.040241
bamd,0.067323,0.025151
bame,0.405454,0.048290
bara,0.003321,0.012072
basr,0.059295,0.048290
bass,0.028290,0.014085
bax,0.031737,0.035211
bcp,0.070799,0.030181
bcr,0.045547,0.008048
bcsa,0.011255,0.001006
bcsb,0.007307,0.005030
bcse,0.017284,0.010060
bcsf,0.002054,0.000000
bcsg,0.003720,0.023139
bcsq,0.018862,0.012072
bcsz,0.024926,0.006036
bdca,0.004469,0.002012
