"",bulk,single-cell
aaea,0.010174,0.013
aaeb,0.010736,0.010
aaer,0.037969,0.016
aas,0.021575,0.018
abpb,0.006233,0.016
acca,0.136947,0.095
accb,0.058036,0.017
accc,0.345803,0.121
accd,0.258871,0.032
acea,0.129878,0.015
aceb,0.163530,0.073
acee,0.033101,0.040
acka,0.064347,0.017
acna,0.139535,0.085
acnb,0.282412,0.019
acpp,1.114186,0.217
acra,0.179551,0.033
acrr,0.004960,0.013
acs,0.059245,0.037
acts,0.024384,0.019
aded,0.009129,0.007
adeq,0.007538,0.008
adhe,0.131982,0.236
adhp,0.271750,0.127
aega,0.004846,0.010
afuc,0.007897,0.003
agab,0.002285,0.009
agad,0.002291,0.014
agp,0.034001,0.025
ahpc,0.413208,0.052
ahpf,0.062150,0.019
ahr,0.190875,0.042
aidb,0.046675,0.017
alaa,0.050521,0.021
alas,0.093565,0.025
alat,0.059636,0.161
alda,0.037171,0.055
alkb,0.025231,0.017
allb,0.008400,0.008
alle,0.009402,0.013
allr,0.235615,0.066
alr,0.025700,0.015
alsr,0.005821,0.011
amia,0.105543,0.047
amib,0.101292,0.071
amn,0.009355,0.010
ampc,0.007176,0.014
ampe,0.017345,0.004
ampg,0.005297,0.006
amya,0.124172,0.074
ansa,0.014902,0.008
ansb,0.036957,0.018
ansp,0.008300,0.002
apha,0.009937,0.019
appx,0.003548,0.079
aqpz,0.049587,0.009
arac,0.035188,0.038
araf,0.016134,0.041
arag,0.009135,0.022
arca,1.085120,0.182
arcb,0.011994,0.007
arfa,0.075834,0.041
argd,0.043810,0.018
argg,0.077567,0.043
argh,0.106993,0.011
argr,0.135327,0.019
argt,0.097029,0.023
arir,0.687382,0.127
arna,0.006918,0.012
arnd,0.009032,0.008
arnt,0.004078,0.007
aroa,0.008696,0.012
arod,0.017834,0.008
arof,0.047976,0.019
arog,0.118120,0.017
aroh,0.020974,0.025
arok,0.117846,0.025
arom,0.033646,0.026
arop,0.051481,0.043
artm,0.070001,0.015
artq,0.081671,0.023
ascb,0.011242,0.020
ascf,0.013398,0.006
asd,0.033836,0.022
asla,0.010326,0.023
aslb,0.003473,0.006
asma,0.020666,0.027
asnb,0.019789,0.017
aspc,0.033898,0.021
asps,0.073095,0.027
astb,0.015098,0.013
astc,0.126881,0.022
atob,0.003695,0.006
atos,0.001421,0.009
atpa,0.065297,0.021
atpe,0.086724,0.009
atph,0.077540,0.017
azor,0.008196,0.004
baes,0.003583,0.001
bama,0.099585,0.044
bamb,0.329522,0.024
bamc,0.169823,0.029
bamd,0.067323,0.016
bame,0.405454,0.029
basr,0.059295,0.033
bass,0.028290,0.010
bax,0.031737,0.025
bcp,0.070799,0.018
bcse,0.017284,0.004
bcsg,0.003720,0.017
bdm,0.020579,0.022
bepa,0.038419,0.017
beta,0.048908,0.013
bett,0.056877,0.025
bfr,0.178651,0.137
bgla,0.033540,0.021
bglb,0.000712,0.004
bglh,0.002707,0.010
bglj,0.007152,0.004
