"",bulk,single-cell
aaea,0.010174,0.036
aaeb,0.010736,0.031
aaer,0.037969,0.073
aaex,0.016810,0.001
aas,0.021575,0.043
aat,0.033292,0.027
abgr,0.008460,0.050
abpa,0.012647,0.029
abpb,0.006233,0.036
abrb,0.000823,0.004
acca,0.136947,0.335
accb,0.058036,0.059
accc,0.345803,0.331
accd,0.258871,0.070
acea,0.129878,0.061
aceb,0.163530,0.184
acee,0.033101,0.085
acef,0.034587,0.036
acek,0.010690,0.011
acka,0.064347,0.076
acna,0.139535,0.266
acnb,0.282412,0.077
acph,0.067577,0.001
acpp,1.114186,0.603
acps,0.013465,0.001
acpt,0.022812,0.002
acra,0.179551,0.075
acrb,0.000921,0.003
acrd,0.011478,0.019
acre,0.011126,0.038
acrf,0.004941,0.052
acrr,0.004960,0.055
acrz,0.034013,0.012
acs,0.059245,0.123
actp,0.014493,0.015
acts,0.024384,0.076
ada,0.074231,0.004
add,0.073245,0.025
aded,0.009129,0.031
adep,0.011895,0.005
adeq,0.007538,0.023
adhe,0.131982,0.374
adhp,0.271750,0.410
adia,0.001106,0.031
adic,0.003436,0.012
adiy,0.003768,0.036
adk,0.060697,0.003
aega,0.004846,0.021
aer,0.080172,0.004
aes,0.004331,0.008
afuc,0.007897,0.020
agab,0.002285,0.040
agac,0.001462,0.014
agad,0.002291,0.019
agai,0.001740,0.019
agar,0.054165,0.002
agas,0.011586,0.004
agav,0.010034,0.008
agp,0.034001,0.071
ahpc,0.413208,0.122
ahpf,0.062150,0.065
ahr,0.190875,0.162
aidb,0.046675,0.071
ais,0.004294,0.026
alaa,0.050521,0.115
alac,0.110466,0.002
alae,0.011681,0.032
alas,0.093565,0.106
alat,0.059636,0.484
alda,0.037171,0.146
aldb,0.045067,0.006
alka,0.017105,0.000
alkb,0.025231,0.038
alla,0.004980,0.009
allb,0.008400,0.032
allc,0.005763,0.027
alld,0.000892,0.005
alle,0.009402,0.035
allr,0.235615,0.224
alls,0.000706,0.012
alpa,0.002994,0.001
alr,0.025700,0.025
alsa,0.002044,0.025
alsc,0.002023,0.007
alse,0.003129,0.008
alsk,0.004185,0.013
alsr,0.005821,0.028
alx,0.046701,0.031
amia,0.105543,0.180
amib,0.101292,0.203
amic,0.094336,0.003
amid,0.107988,0.003
amn,0.009355,0.032
ampc,0.007176,0.049
ampd,0.010486,0.001
ampe,0.017345,0.038
ampg,0.005297,0.013
amph,0.013547,0.006
amtb,0.015790,0.001
amya,0.124172,0.196
anmk,0.022900,0.018
ansa,0.014902,0.046
ansb,0.036957,0.047
ansp,0.008300,0.014
apag,0.115559,0.136
apah,0.069372,0.027
apha,0.009937,0.063
appa,0.008584,0.039
appb,0.004039,0.004
appc,0.004072,0.013
appx,0.003548,0.379
appy,0.002742,0.003
apt,0.041537,0.002
aqpz,0.049587,0.026
arab,0.002404,0.003
arac,0.035188,0.177
arad,0.005885,0.002
arae,0.028588,0.001
araf,0.016134,0.078
arag,0.009135,0.051
arah,0.014583,0.019
araj,0.008404,0.028
arca,1.085120,0.518
arcb,0.011994,0.046
arfa,0.075834,0.142
arfb,0.045398,0.009
arga,0.020575,0.032
argb,0.037985,0.006
argc,0.003964,0.017
argd,0.043810,0.064
arge,0.028144,0.034
argf,0.011359,0.007
argg,0.077567,0.175
argh,0.106993,0.034
argo,0.093208,0.061
argp,0.022163,0.001
argr,0.135327,0.107
args,0.032087,0.034
argt,0.097029,0.033
arir,0.687382,0.317
arna,0.006918,0.035
arnb,0.059488,0.060
arnc,0.009843,0.030
arnd,0.009032,0.025
arne,0.013924,0.000
arnf,0.007909,0.011
arnt,0.004078,0.039
aroa,0.008696,0.047
arob,0.092177,0.042
aroc,0.037632,0.001
arod,0.017834,0.024
aroe,0.084523,0.112
arof,0.047976,0.049
arog,0.118120,0.040
aroh,0.020974,0.076
arok,0.117846,0.108
arol,0.019776,0.000
arom,0.033646,0.133
arop,0.051481,0.157
arsb,0.005422,0.012
arsc,0.016908,0.007
artj,0.076931,0.037
artm,0.070001,0.057
artp,0.116300,0.004
artq,0.081671,0.055
ascb,0.011242,0.046
ascf,0.013398,0.016
ascg,0.021213,0.009
asd,0.033836,0.063
asla,0.010326,0.050
aslb,0.003473,0.031
asma,0.020666,0.078
asna,0.048184,0.008
asnb,0.019789,0.045
asnc,0.038168,0.018
asns,0.127786,0.004
aspa,0.016845,0.044
aspc,0.033898,0.061
asps,0.073095,0.104
asr,0.001882,0.003
asta,0.052017,0.014
astb,0.015098,0.026
astc,0.126881,0.074
astd,0.024649,0.001
aste,0.007123,0.009
atoa,0.000563,0.001
atob,0.003695,0.016
atoc,0.001967,0.027
atod,0.000415,0.000
atoe,0.000713,0.012
atos,0.001421,0.039
atpa,0.065297,0.082
atpb,0.070245,0.002
atpc,0.086695,0.002
atpd,0.067803,0.028
atpe,0.086724,0.019
atpf,0.096564,0.000
atpg,0.042117,0.018
atph,0.077540,0.054
atpi,0.048196,0.000
avta,0.043854,0.060
azor,0.008196,0.007
baca,0.028703,0.003
baer,0.029349,0.008
baes,0.003583,0.024
bama,0.099585,0.148
bamb,0.329522,0.150
bamc,0.169823,0.111
