"",bulk,single-cell
aaea,0.010174,0.007
aaeb,0.010736,0.003
aaer,0.037969,0.011
aas,0.021575,0.007
abpb,0.006233,0.007
acca,0.136947,0.049
accb,0.058036,0.011
accc,0.345803,0.062
accd,0.258871,0.014
acea,0.129878,0.009
aceb,0.163530,0.034
acee,0.033101,0.014
acka,0.064347,0.007
acna,0.139535,0.037
acnb,0.282412,0.013
acpp,1.114186,0.122
acra,0.179551,0.010
acrr,0.004960,0.010
acs,0.059245,0.014
acts,0.024384,0.010
aded,0.009129,0.003
adeq,0.007538,0.004
adhe,0.131982,0.069
adhp,0.271750,0.058
aega,0.004846,0.002
afuc,0.007897,0.001
agab,0.002285,0.008
agad,0.002291,0.005
agp,0.034001,0.014
ahpc,0.413208,0.022
ahpf,0.062150,0.011
ahr,0.190875,0.021
aidb,0.046675,0.010
alaa,0.050521,0.017
alas,0.093565,0.022
alat,0.059636,0.078
alda,0.037171,0.018
alkb,0.025231,0.010
allb,0.008400,0.004
alle,0.009402,0.003
allr,0.235615,0.046
alr,0.025700,0.006
alsr,0.005821,0.004
amia,0.105543,0.023
amib,0.101292,0.035
amn,0.009355,0.007
ampc,0.007176,0.007
ampe,0.017345,0.011
ampg,0.005297,0.003
amya,0.124172,0.037
ansa,0.014902,0.004
ansb,0.036957,0.010
ansp,0.008300,0.000
apha,0.009937,0.005
appx,0.003548,0.082
aqpz,0.049587,0.004
arac,0.035188,0.019
araf,0.016134,0.005
arag,0.009135,0.004
arca,1.085120,0.077
arcb,0.011994,0.005
arfa,0.075834,0.023
argd,0.043810,0.014
argg,0.077567,0.030
argh,0.106993,0.003
argr,0.135327,0.017
argt,0.097029,0.009
arir,0.687382,0.047
arna,0.006918,0.006
arnd,0.009032,0.004
arnt,0.004078,0.004
aroa,0.008696,0.011
arod,0.017834,0.003
arof,0.047976,0.008
arog,0.118120,0.009
aroh,0.020974,0.011
arok,0.117846,0.019
arom,0.033646,0.017
arop,0.051481,0.027
artm,0.070001,0.013
artq,0.081671,0.008
ascb,0.011242,0.005
ascf,0.013398,0.001
asd,0.033836,0.010
asla,0.010326,0.009
aslb,0.003473,0.007
asma,0.020666,0.018
asnb,0.019789,0.020
aspc,0.033898,0.012
asps,0.073095,0.009
astb,0.015098,0.008
astc,0.126881,0.011
atob,0.003695,0.001
atos,0.001421,0.007
atpa,0.065297,0.011
atpe,0.086724,0.002
atph,0.077540,0.010
azor,0.008196,0.001
baes,0.003583,0.004
bama,0.099585,0.028
bamb,0.329522,0.015
bamc,0.169823,0.015
bamd,0.067323,0.004
bame,0.405454,0.007
basr,0.059295,0.011
bass,0.028290,0.004
bax,0.031737,0.012
bcp,0.070799,0.012
bcse,0.017284,0.002
bcsg,0.003720,0.005
bdm,0.020579,0.010
bepa,0.038419,0.006
beta,0.048908,0.013
bett,0.056877,0.009
bfr,0.178651,0.048
bgla,0.033540,0.005
bglb,0.000712,0.000
bglh,0.002707,0.005
bglj,0.007152,0.005
bglx,0.027663,0.011
bioa,0.028215,0.005
biod,0.010877,0.004
