,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.9703892768629968,0.938443921685156,0.9361941166687398,0.9136175064858113,0.9294863066326695,0.8065441716360209,0.8674043899912236,0.8426561125817127,0.8636750921482647,0.8820561272277905,0.8915364841520914
bulk|CASP_biorep2,0.9703892768629968,1.0,0.93302950888675,0.9253133302820054,0.9037229393291394,0.9176538340947413,0.7937997945635211,0.8560850735705807,0.8272193350790561,0.8494809356103142,0.8677882823092593,0.8761261405102604
bulk|CASP_biorep3,0.938443921685156,0.93302950888675,1.0,0.8981283344436157,0.8775792528609652,0.8912725799682284,0.767125046139543,0.8292852209814973,0.8013773170244759,0.8243453910909762,0.84096653244717,0.8486628258524679
casp|CASP biorep1 400min,0.9361941166687398,0.9253133302820054,0.8981283344436157,1.0,0.9357008843376118,0.9584640338060243,0.7794517799803581,0.859826125901903,0.8222431322184436,0.8832892257421785,0.9077555436138695,0.9142434592941183
casp|CASP biorep1 511min,0.9136175064858113,0.9037229393291394,0.8775792528609652,0.9357008843376118,1.0,0.9791681485005201,0.8063804898175161,0.8869634372610304,0.8499477208646923,0.8981775829261173,0.9065132378704142,0.9059055823366419
casp|CASP biorep1 621min,0.9294863066326695,0.9176538340947413,0.8912725799682284,0.9584640338060243,0.9791681485005201,1.0,0.7798881199455734,0.874579640325904,0.8296765995085191,0.8979938046884113,0.9176366874309736,0.918748398896008
bulk|Disrupted_biorep1,0.8065441716360209,0.7937997945635211,0.767125046139543,0.7794517799803581,0.8063804898175161,0.7798881199455734,1.0,0.9442090020188546,0.9627026318426027,0.9230481742673364,0.8973989529269953,0.8899984935361288
bulk|Disrupted_biorep2,0.8674043899912236,0.8560850735705807,0.8292852209814973,0.859826125901903,0.8869634372610304,0.874579640325904,0.9442090020188546,1.0,0.9747575623676165,0.9758234828385881,0.962382135220515,0.9500892370937962
bulk|Disrupted_biorep3,0.8426561125817127,0.8272193350790561,0.8013773170244759,0.8222431322184436,0.8499477208646923,0.8296765995085191,0.9627026318426027,0.9747575623676165,1.0,0.9544050556979193,0.9317597879982977,0.921529475330252
shx|Disrupted_biorep1t6,0.8636750921482647,0.8494809356103142,0.8243453910909762,0.8832892257421785,0.8981775829261173,0.8979938046884113,0.9230481742673364,0.9758234828385881,0.9544050556979193,1.0,0.9882442448844649,0.976749633152416
shx|Disrupted_biorep1t7,0.8820561272277905,0.8677882823092593,0.84096653244717,0.9077555436138695,0.9065132378704142,0.9176366874309736,0.8973989529269953,0.962382135220515,0.9317597879982977,0.9882442448844649,1.0,0.9916307675680627
shx|Disrupted_biorep1t8,0.8915364841520914,0.8761261405102604,0.8486628258524679,0.9142434592941183,0.9059055823366419,0.918748398896008,0.8899984935361288,0.9500892370937962,0.921529475330252,0.976749633152416,0.9916307675680627,1.0
