,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.9703892768629968,0.938443921685156,0.9670490805301484,0.9489172443093761,0.9725340391862665,0.8065441716360209,0.8674043899912236,0.8426561125817127,0.8810406023802027,0.9097010118159682,0.9186095385549372
bulk|CASP_biorep2,0.9703892768629968,1.0,0.93302950888675,0.9618588961167424,0.9442650934016803,0.9659287160389106,0.7937997945635211,0.8560850735705807,0.8272193350790561,0.8732187719009611,0.9015055089450456,0.9091408589141662
bulk|CASP_biorep3,0.938443921685156,0.93302950888675,1.0,0.9446161812899128,0.9272209990630416,0.9485867519421571,0.767125046139543,0.8292852209814973,0.8013773170244759,0.859191130500908,0.8852788095429178,0.8920317921213582
casp|CASP biorep1 400min,0.9670490805301484,0.9618588961167424,0.9446161812899128,1.0,0.9351992026073802,0.9572415969522011,0.8284740918244752,0.8737831539670677,0.8570540030225472,0.884959512487173,0.9086997182929991,0.9152027099324367
casp|CASP biorep1 511min,0.9489172443093761,0.9442650934016803,0.9272209990630416,0.9351992026073802,1.0,0.9789509777550437,0.857723453220255,0.906118083955754,0.888319220786354,0.8964190727765445,0.9055072812313071,0.9051951096766677
casp|CASP biorep1 621min,0.9725340391862665,0.9659287160389106,0.9485867519421571,0.9572415969522011,0.9789509777550437,1.0,0.8379328617718492,0.9007068515800146,0.8749501859327339,0.894597824987475,0.9151585910114614,0.9167649079266516
bulk|Disrupted_biorep1,0.8065441716360209,0.7937997945635211,0.767125046139543,0.8284740918244752,0.857723453220255,0.8379328617718492,1.0,0.9442090020188546,0.9627026318426027,0.9579042983125707,0.9433611176206269,0.9351283561015931
bulk|Disrupted_biorep2,0.8674043899912236,0.8560850735705807,0.8292852209814973,0.8737831539670677,0.906118083955754,0.9007068515800146,0.9442090020188546,1.0,0.9747575623676165,0.9722494683663615,0.9712000278668287,0.9589800617753695
bulk|Disrupted_biorep3,0.8426561125817127,0.8272193350790561,0.8013773170244759,0.8570540030225472,0.888319220786354,0.8749501859327339,0.9627026318426027,0.9747575623676165,1.0,0.9735025667989756,0.9626312722371633,0.9519455314553218
shx|Disrupted_biorep1t6,0.8810406023802027,0.8732187719009611,0.859191130500908,0.884959512487173,0.8964190727765445,0.894597824987475,0.9579042983125707,0.9722494683663615,0.9735025667989756,1.0,0.9882935221395874,0.9768639563945838
shx|Disrupted_biorep1t7,0.9097010118159682,0.9015055089450456,0.8852788095429178,0.9086997182929991,0.9055072812313071,0.9151585910114614,0.9433611176206269,0.9712000278668287,0.9626312722371633,0.9882935221395874,1.0,0.9917837625071013
shx|Disrupted_biorep1t8,0.9186095385549372,0.9091408589141662,0.8920317921213582,0.9152027099324367,0.9051951096766677,0.9167649079266516,0.9351283561015931,0.9589800617753695,0.9519455314553218,0.9768639563945838,0.9917837625071013,1.0
