,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.9859251305370477,0.9740909700938757,0.9367991043401026,0.9129070798576167,0.9307006261505474,0.8120304181457474,0.872154708043771,0.8506554308012881,0.8673732091371835,0.8852317877679633,0.8940241884868877
bulk|CASP_biorep2,0.9859251305370477,1.0,0.9729381759405381,0.9310899946267148,0.9099145612733085,0.9254117448152452,0.8043084302410647,0.8660010969669883,0.8417668239153508,0.8584195196600682,0.8758154895132063,0.8837922013631772
bulk|CASP_biorep3,0.9740909700938757,0.9729381759405381,1.0,0.9206067220632681,0.8996885837528139,0.9162749955830055,0.7911471050902698,0.8543700519594981,0.830089063801203,0.8488581118501662,0.8656837271540394,0.8733849117655862
casp|CASP biorep1 400min,0.9367991043401026,0.9310899946267148,0.9206067220632681,1.0,0.931273282123858,0.9563443032500676,0.7867163214162789,0.8643717250586349,0.8299741396066938,0.8858454032671896,0.9114113661845682,0.9177531175496018
casp|CASP biorep1 511min,0.9129070798576167,0.9099145612733085,0.8996885837528139,0.931273282123858,1.0,0.9810463191983715,0.8094356499680987,0.8915032623254981,0.8562280252540809,0.89930100259839,0.9060940110187048,0.9043369188436496
casp|CASP biorep1 621min,0.9307006261505474,0.9254117448152452,0.9162749955830055,0.9563443032500676,0.9810463191983715,1.0,0.7850978760959524,0.8797543849141002,0.8379567578342048,0.899847103651106,0.9185960924837495,0.9186583756866514
bulk|Disrupted_biorep1,0.8120304181457474,0.8043084302410647,0.7911471050902698,0.7867163214162789,0.8094356499680987,0.7850978760959524,1.0,0.945926607622385,0.9680955375907625,0.9247582917885557,0.8992787883511749,0.8925780121878667
bulk|Disrupted_biorep2,0.872154708043771,0.8660010969669883,0.8543700519594981,0.8643717250586349,0.8915032623254981,0.8797543849141002,0.945926607622385,1.0,0.9816556455071306,0.9791703770319392,0.964969965756339,0.9520906221043379
bulk|Disrupted_biorep3,0.8506554308012881,0.8417668239153508,0.830089063801203,0.8299741396066938,0.8562280252540809,0.8379567578342048,0.9680955375907625,0.9816556455071306,1.0,0.9601663801865457,0.9372960754295827,0.9267501279706859
shx|Disrupted_biorep1t6,0.8673732091371835,0.8584195196600682,0.8488581118501662,0.8858454032671896,0.89930100259839,0.899847103651106,0.9247582917885557,0.9791703770319392,0.9601663801865457,1.0,0.988579989181787,0.9764859405542764
shx|Disrupted_biorep1t7,0.8852317877679633,0.8758154895132063,0.8656837271540394,0.9114113661845682,0.9060940110187048,0.9185960924837495,0.8992787883511749,0.964969965756339,0.9372960754295827,0.988579989181787,1.0,0.9925407767239754
shx|Disrupted_biorep1t8,0.8940241884868877,0.8837922013631772,0.8733849117655862,0.9177531175496018,0.9043369188436496,0.9186583756866514,0.8925780121878667,0.9520906221043379,0.9267501279706859,0.9764859405542764,0.9925407767239754,1.0
