,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
bulk|CASP_biorep1,1.0,0.9859251305370477,0.9740909700938757,0.8120304181457474,0.872154708043771,0.8506554308012881,0.8858589061602188,0.9143789116756705,0.9228144904843841,0.9708179908216648,0.9503909396459824,0.9764523376629486
bulk|CASP_biorep2,0.9859251305370477,1.0,0.9729381759405381,0.8043084302410647,0.8660010969669883,0.8417668239153508,0.8805178145828563,0.9083395193559141,0.915978148213789,0.9683107315578866,0.9505401431528266,0.974085281775276
bulk|CASP_biorep3,0.9740909700938757,0.9729381759405381,1.0,0.7911471050902698,0.8543700519594981,0.830089063801203,0.874249465829485,0.9013965336134214,0.9088295233632064,0.9610253902558702,0.9433466300858999,0.9679555497008028
bulk|Disrupted_biorep1,0.8120304181457474,0.8043084302410647,0.7911471050902698,1.0,0.945926607622385,0.9680955375907625,0.9583286270014222,0.94401036443499,0.9361659218568024,0.8350203284189843,0.8582113270465228,0.8406844196973905
bulk|Disrupted_biorep2,0.872154708043771,0.8660010969669883,0.8543700519594981,0.945926607622385,1.0,0.9816556455071306,0.9740202015051336,0.9727681970124674,0.9597382888698168,0.8779270181078502,0.9086152375890281,0.9040738992063418
bulk|Disrupted_biorep3,0.8506554308012881,0.8417668239153508,0.830089063801203,0.9680955375907625,0.9816556455071306,1.0,0.978027422043072,0.9673266029111025,0.9561062748553573,0.8640645899905223,0.8923705530937647,0.8811531954318155
shx|Disrupted_biorep1t6,0.8858589061602188,0.8805178145828563,0.874249465829485,0.9583286270014222,0.9740202015051336,0.978027422043072,1.0,0.9887465102720907,0.9770052948217463,0.8875899104751056,0.8955534589951915,0.8959274464072882
shx|Disrupted_biorep1t7,0.9143789116756705,0.9083395193559141,0.9013965336134214,0.94401036443499,0.9727681970124674,0.9673266029111025,0.9887465102720907,1.0,0.9928381749757133,0.9120046648664818,0.903699869869333,0.9157172177493003
shx|Disrupted_biorep1t8,0.9228144904843841,0.915978148213789,0.9088295233632064,0.9361659218568024,0.9597382888698168,0.9561062748553573,0.9770052948217463,0.9928381749757133,1.0,0.9185413779103456,0.902410784825544,0.9164853693828694
casp|CASP biorep1 400min,0.9708179908216648,0.9683107315578866,0.9610253902558702,0.8350203284189843,0.8779270181078502,0.8640645899905223,0.8875899104751056,0.9120046648664818,0.9185413779103456,1.0,0.9308996722580213,0.9552513444249667
casp|CASP biorep1 511min,0.9503909396459824,0.9505401431528266,0.9433466300858999,0.8582113270465228,0.9086152375890281,0.8923705530937647,0.8955534589951915,0.903699869869333,0.902410784825544,0.9308996722580213,1.0,0.9807267683689794
casp|CASP biorep1 621min,0.9764523376629486,0.974085281775276,0.9679555497008028,0.8406844196973905,0.9040738992063418,0.8811531954318155,0.8959274464072882,0.9157172177493003,0.9164853693828694,0.9552513444249667,0.9807267683689794,1.0
