,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.8428905923860148,0.8923828148541355,0.8968717758221689,0.8637285075597287,0.9004983979933772,0.7008070599416392,0.6330766431185125,0.7561591786226401,0.781752797742151,0.8136387647000959,0.8245990983655392
bulk|CASP_biorep2,0.8428905923860148,1.0,0.7923797773867871,0.7434271731189172,0.7502327097049869,0.7717814746678222,0.5945647055697558,0.7228856100699353,0.6443027841452903,0.6758398728885602,0.6938164487831905,0.6983855691814576
bulk|CASP_biorep3,0.8923828148541355,0.7923797773867871,1.0,0.8287795747835467,0.8018820174933519,0.833648377244007,0.6136270121672482,0.5764498706216205,0.697975399545483,0.7040306414349511,0.7348946050659989,0.743775815488381
casp|CASP biorep1 400min,0.8968717758221689,0.7434271731189172,0.8287795747835467,1.0,0.9045671946272565,0.9436062675335486,0.7007166970646868,0.6236280867739352,0.7681736918938025,0.8390864585392349,0.8753464634888726,0.882111786200017
casp|CASP biorep1 511min,0.8637285075597287,0.7502327097049869,0.8018820174933519,0.9045671946272565,1.0,0.9708809649307723,0.7260784200792824,0.6968705075463988,0.7943740605103092,0.8498522670403635,0.8651863424270607,0.8645403742426984
casp|CASP biorep1 621min,0.9004983979933772,0.7717814746678222,0.833648377244007,0.9436062675335486,0.9708809649307723,1.0,0.7168075019832507,0.6806915408405173,0.7898313496930778,0.8584833304367591,0.8867185975994142,0.8886001037514003
bulk|Disrupted_biorep1,0.7008070599416392,0.5945647055697558,0.6136270121672482,0.7007166970646868,0.7260784200792824,0.7168075019832507,1.0,0.8410560193049471,0.9335792214847406,0.9107972620125875,0.8794548693518404,0.8609827592492271
bulk|Disrupted_biorep2,0.6330766431185125,0.7228856100699353,0.5764498706216205,0.6236280867739352,0.6968705075463988,0.6806915408405173,0.8410560193049471,1.0,0.8643518383865403,0.8646900726644889,0.8293527230318412,0.8015840068133927
bulk|Disrupted_biorep3,0.7561591786226401,0.6443027841452903,0.697975399545483,0.7681736918938025,0.7943740605103092,0.7898313496930778,0.9335792214847406,0.8643518383865403,1.0,0.9426577022739098,0.9172694734096725,0.8974771248918922
shx|Disrupted_biorep1t6,0.781752797742151,0.6758398728885602,0.7040306414349511,0.8390864585392349,0.8498522670403635,0.8584833304367591,0.9107972620125875,0.8646900726644889,0.9426577022739098,1.0,0.9854805638487533,0.969343736160606
shx|Disrupted_biorep1t7,0.8136387647000959,0.6938164487831905,0.7348946050659989,0.8753464634888726,0.8651863424270607,0.8867185975994142,0.8794548693518404,0.8293527230318412,0.9172694734096725,0.9854805638487533,1.0,0.9891667728923367
shx|Disrupted_biorep1t8,0.8245990983655392,0.6983855691814576,0.743775815488381,0.882111786200017,0.8645403742426984,0.8886001037514003,0.8609827592492271,0.8015840068133927,0.8974771248918922,0.969343736160606,0.9891667728923367,1.0
