,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.8428905923860148,0.8923828148541355,0.9374122673466909,0.8955879055661901,0.9417469246009511,0.7008070599416392,0.6330766431185125,0.7561591786226401,0.7754904647319687,0.8282630910511692,0.8449027640000161
bulk|CASP_biorep2,0.8428905923860148,1.0,0.7923797773867871,0.8617486679241877,0.8577401049351792,0.8843959867824946,0.5945647055697558,0.7228856100699353,0.6443027841452903,0.7533026437608936,0.7874812996658537,0.7970140389401194
bulk|CASP_biorep3,0.8923828148541355,0.7923797773867871,1.0,0.9047402150678183,0.8668002041906625,0.9062017209940015,0.6136270121672482,0.5764498706216205,0.697975399545483,0.7332224082112369,0.782764042500103,0.7969396900924998
casp|CASP biorep1 400min,0.9374122673466909,0.8617486679241877,0.9047402150678183,1.0,0.8798642154609747,0.9280082558130809,0.7291682498698807,0.688715611831613,0.7873908889479649,0.8045228793435731,0.8454465898259014,0.8527037094909622
casp|CASP biorep1 511min,0.8955879055661901,0.8577401049351792,0.8668002041906625,0.8798642154609747,1.0,0.9634201066286143,0.7539903806550486,0.7637961981585902,0.8138876554873281,0.8162641015194384,0.8332040979444059,0.8316179911680492
casp|CASP biorep1 621min,0.9417469246009511,0.8843959867824946,0.9062017209940015,0.9280082558130809,0.9634201066286143,1.0,0.7477600089182017,0.7487557765111525,0.8135928027334386,0.8245834149908757,0.8584486230473315,0.8602435705348809
bulk|Disrupted_biorep1,0.7008070599416392,0.5945647055697558,0.6136270121672482,0.7291682498698807,0.7539903806550486,0.7477600089182017,1.0,0.8410560193049471,0.9335792214847406,0.9278197002934035,0.9133884042952801,0.8978372644876584
bulk|Disrupted_biorep2,0.6330766431185125,0.7228856100699353,0.5764498706216205,0.688715611831613,0.7637961981585902,0.7487557765111525,0.8410560193049471,1.0,0.8643518383865403,0.9220519995940922,0.9017622605181129,0.8759239603590324
bulk|Disrupted_biorep3,0.7561591786226401,0.6443027841452903,0.697975399545483,0.7873908889479649,0.8138876554873281,0.8135928027334386,0.9335792214847406,0.8643518383865403,1.0,0.9453186166471347,0.9383249992780697,0.9214060034752738
shx|Disrupted_biorep1t6,0.7754904647319687,0.7533026437608936,0.7332224082112369,0.8045228793435731,0.8162641015194384,0.8245834149908757,0.9278197002934035,0.9220519995940922,0.9453186166471347,1.0,0.9821402642739206,0.9626539345896101
shx|Disrupted_biorep1t7,0.8282630910511692,0.7874812996658537,0.782764042500103,0.8454465898259014,0.8332040979444059,0.8584486230473315,0.9133884042952801,0.9017622605181129,0.9383249992780697,0.9821402642739206,1.0,0.986732925553628
shx|Disrupted_biorep1t8,0.8449027640000161,0.7970140389401194,0.7969396900924998,0.8527037094909622,0.8316179911680492,0.8602435705348809,0.8978372644876584,0.8759239603590324,0.9214060034752738,0.9626539345896101,0.986732925553628,1.0
