,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.8185775228222665,0.8843235846821895,0.8732108370964694,0.8360657317795434,0.8805423705133625,0.6700388189855107,0.6002532405699982,0.7217766022672397,0.7568285464116274,0.7942190996052549,0.8070473811676587
bulk|CASP_biorep2,0.8185775228222665,1.0,0.7694686932275087,0.6959500292271623,0.7115145939294696,0.7398474353223146,0.5363090142612841,0.6675828863922966,0.5822426917197912,0.6233127434896032,0.6501748315395607,0.6585695502554527
bulk|CASP_biorep3,0.8843235846821895,0.7694686932275087,1.0,0.80605148294924,0.7780086892983109,0.8173636269144531,0.5813322959387713,0.5415559178894815,0.6628904330021402,0.6771283314156555,0.7143830582507911,0.7245847240677464
casp|CASP biorep1 400min,0.8732108370964694,0.6959500292271623,0.80605148294924,1.0,0.8823377870399522,0.929251481840128,0.672264096805978,0.5983607066060156,0.7397366298173413,0.8182427776961221,0.8618617433487766,0.8705536178574853
casp|CASP biorep1 511min,0.8360657317795434,0.7115145939294696,0.7780086892983109,0.8823377870399522,1.0,0.9647292306140139,0.686859441160412,0.6691381773780314,0.7590726917743832,0.822358669610942,0.841721323947163,0.8418152922885334
casp|CASP biorep1 621min,0.8805423705133625,0.7398474353223146,0.8173636269144531,0.929251481840128,0.9647292306140139,1.0,0.6860218563043838,0.6609869017270298,0.7594600339366949,0.837172507760556,0.8704588719779841,0.8719994177775497
bulk|Disrupted_biorep1,0.6700388189855107,0.5363090142612841,0.5813322959387713,0.672264096805978,0.686859441160412,0.6860218563043838,1.0,0.8174525412827425,0.9267277958306002,0.9014739017762234,0.8673451389367033,0.8475591351995172
bulk|Disrupted_biorep2,0.6002532405699982,0.6675828863922966,0.5415559178894815,0.5983607066060156,0.6691381773780314,0.6609869017270298,0.8174525412827425,1.0,0.8428239832727048,0.8468171067334908,0.8136835370494159,0.7845099459405462
bulk|Disrupted_biorep3,0.7217766022672397,0.5822426917197912,0.6628904330021402,0.7397366298173413,0.7590726917743832,0.7594600339366949,0.9267277958306002,0.8428239832727048,1.0,0.934542156527244,0.9064399189320957,0.8844091837975352
shx|Disrupted_biorep1t6,0.7568285464116274,0.6233127434896032,0.6771283314156555,0.8182427776961221,0.822358669610942,0.837172507760556,0.9014739017762234,0.8468171067334908,0.934542156527244,1.0,0.9830286029943902,0.9648051088386391
shx|Disrupted_biorep1t7,0.7942190996052549,0.6501748315395607,0.7143830582507911,0.8618617433487766,0.841721323947163,0.8704588719779841,0.8673451389367033,0.8136835370494159,0.9064399189320957,0.9830286029943902,1.0,0.9870734091079783
shx|Disrupted_biorep1t8,0.8070473811676587,0.6585695502554527,0.7245847240677464,0.8705536178574853,0.8418152922885334,0.8719994177775497,0.8475591351995172,0.7845099459405462,0.8844091837975352,0.9648051088386391,0.9870734091079783,1.0
