,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8
bulk|CASP_biorep1,1.0,0.8185775228222665,0.8843235846821895,0.920316651692392,0.8701240293498351,0.9269858981416885,0.6700388189855107,0.6002532405699982,0.7217766022672397,0.7418105653762961,0.8055514519745699,0.8256612422558524
bulk|CASP_biorep2,0.8185775228222665,1.0,0.7694686932275087,0.8227680597376745,0.8267335599815111,0.8630847822882444,0.5363090142612841,0.6675828863922966,0.5822426917197912,0.6967496070010281,0.7414443571531477,0.7557127185928063
bulk|CASP_biorep3,0.8843235846821895,0.7694686932275087,1.0,0.8913766128887922,0.8511811783212979,0.8997692252448647,0.5813322959387713,0.5415559178894815,0.6628904330021402,0.6985645255436056,0.7596735376405229,0.7762098234453206
casp|CASP biorep1 400min,0.920316651692392,0.8227680597376745,0.8913766128887922,1.0,0.8438164312290681,0.9075084656609572,0.6926861677133443,0.6456361285491063,0.7510456993545925,0.7627929121910174,0.8182713518942983,0.8298620081437303
casp|CASP biorep1 511min,0.8701240293498351,0.8267335599815111,0.8511811783212979,0.8438164312290681,1.0,0.953623619208556,0.7036106956567496,0.7217117998604898,0.7681383713331058,0.7682662088154809,0.7922648094585438,0.7927607281403002
casp|CASP biorep1 621min,0.9269858981416885,0.8630847822882444,0.8997692252448647,0.9075084656609572,0.953623619208556,1.0,0.7088649100604514,0.7148029125119024,0.7750882379990114,0.7878500848964239,0.8316106558000618,0.8339534086760259
bulk|Disrupted_biorep1,0.6700388189855107,0.5363090142612841,0.5813322959387713,0.6926861677133443,0.7036106956567496,0.7088649100604514,1.0,0.8174525412827425,0.9267277958306002,0.9168563454542846,0.9003119103715652,0.8820845423298196
bulk|Disrupted_biorep2,0.6002532405699982,0.6675828863922966,0.5415559178894815,0.6456361285491063,0.7217117998604898,0.7148029125119024,0.8174525412827425,1.0,0.8428239832727048,0.9019072055831571,0.8804079091416326,0.8496907390732171
bulk|Disrupted_biorep3,0.7217766022672397,0.5822426917197912,0.6628904330021402,0.7510456993545925,0.7681383713331058,0.7750882379990114,0.9267277958306002,0.8428239832727048,1.0,0.9339018002417736,0.925961390340791,0.9050977273507876
shx|Disrupted_biorep1t6,0.7418105653762961,0.6967496070010281,0.6985645255436056,0.7627929121910174,0.7682662088154809,0.7878500848964239,0.9168563454542846,0.9019072055831571,0.9339018002417736,1.0,0.9766570247351275,0.9521929866182308
shx|Disrupted_biorep1t7,0.8055514519745699,0.7414443571531477,0.7596735376405229,0.8182713518942983,0.7922648094585438,0.8316106558000618,0.9003119103715652,0.8804079091416326,0.925961390340791,0.9766570247351275,1.0,0.982788298098651
shx|Disrupted_biorep1t8,0.8256612422558524,0.7557127185928063,0.7762098234453206,0.8298620081437303,0.7927607281403002,0.8339534086760259,0.8820845423298196,0.8496907390732171,0.9050977273507876,0.9521929866182308,0.982788298098651,1.0
