,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
HQ24_RS02850,-3.3824393150764758,-4.139313187915257,-5.430002393186893,-3.8232167616883963,-3.4397778289370775,-3.893515087870975,-3.874365737921331,-3.984127621023535,-4.284274828601973,-3.7970990393270547,-4.091646978212091,-4.076750369589091
HQ24_RS14780,2.10651695836346,2.0825265003579614,-2.2851742556881223,1.7926392059558318,1.7615283395150292,2.3116454512960556,1.680110554394556,1.5411396671360826,1.2099814271653822,0.9946581127332966,0.8261328416245383,1.51765959674636
HQ24_RS14810,-4.176170091897153,-3.5215659103519092,-3.3177486209384366,-4.689918483235273,-4.151959222872198,-4.72475342061013,-3.654785352587392,-3.433394341898365,-3.7769241581963793,-3.6986991217775738,-5.5166993087726155,-4.501613466672777
HQ24_RS14995,0.1820291389880504,-0.8916841491983747,0.10819120097433288,2.0471399149892098,2.545173888943468,2.239740347341034,2.4719800899453963,1.7610862517018104,0.82845464560858,-0.10275883178301126,1.0126505502343954,0.25917763633054913
HQ24_RS15045,-7.533951276606093,-4.098008225727139,-7.533951276606093,-3.7021858284688314,-5.69087707209481,-4.955975407476693,-4.879412773021989,-5.58398668625009,-5.0129385002908595,-5.752773623576434,-6.885344851461618,-5.40049265237867
HQ24_RS15200,0.4899367762254272,0.1250202528236608,0.24045757842843418,2.281123329051277,2.6991018340147734,2.9753877589594415,2.6537570965196964,2.4008552015801734,2.006848591441335,0.10908949350241637,0.8928633679603776,0.7476137784990146
HQ24_RS24660,-1.7333883980341236,0.36223886220040225,-1.7333883980341236,1.1962981423978873,1.1675929362637323,-1.7333883980341236,1.0842121686976154,-0.22542287817945406,-0.8615797223785204,-0.8099598718686709,-0.8398232977474607,-0.8214616517638584
KanR,1.2717917021724041,1.141033888806497,1.1296823525098105,0.5088807283058507,0.9078748931930889,0.9469830600314424,1.2129229547694171,0.9339187773873822,0.8243360874435152,0.12184666589495208,1.8351374625736545,0.978084676950174
Spc,0.8107633360381801,1.0431231667537144,0.9846896557708682,-0.32390789883265825,0.05222961744107657,0.008767513644052372,0.1515248103712643,0.29456688102746464,-0.09892150693388335,0.8523896243403424,0.6674619743433687,0.7086436076666789
YFP,-0.7941647505262122,-0.5081178064799214,-0.30768048360011235,-2.418763131000274,-0.7899494498573798,-1.7460233433513963,-1.4252061878120201,-1.3363998797717265,-1.457839426784244,-0.3246005099412243,-1.5206712640295617,-0.49998169647651974
aaeA,0.34368702601222,1.124190021923396,0.8324034231211836,2.5471309928986363,1.8167462387919455,2.268889163756165,1.9666507498467916,1.675974053253401,1.7824990775163096,1.3977520233988845,1.0098888802096015,1.1002820822785575
aaeB,-0.45873222537924363,-0.3856698392417153,-0.5405706272310757,2.0781784055799157,1.2976825521359396,1.8689192133013357,0.8821368241105114,0.9982369374439886,1.1266505268961193,0.5808195545777526,0.3992328215791199,-0.12726918544233534
aaeR,0.9199965784359456,0.3458364128927931,0.1914787944654588,1.3129649521889473,1.107974873474097,1.365087178257225,1.5080115231034827,1.2977145455990449,1.3157939406495387,0.6228345853073819,0.05357191888085716,0.44541227617415985
aaeX,3.8179396170596975,3.403168616422632,3.6023884791024727,3.8915995360113538,4.447227255225588,3.6760985767792045,3.9444827458117158,4.26715645708234,3.878452637745857,3.8828760536600466,3.4487522331901594,3.416701953110829
aas,0.038979022407581,0.15354223842725645,0.20435231338289306,-0.5669159200594631,-0.5087023014577898,-0.5620166728814375,-0.3725757922759139,-0.23258653669985058,-0.3083310646414115,0.43343348143454435,-0.2990851134564639,-0.4616162945418643
aat,0.6169899897448534,0.05385056356589679,0.07546059708454322,-0.20607838723120508,0.14567342185985765,-0.11140997264921637,-0.5189981640708373,-0.379663379697576,-0.28179036351404874,0.02882605037784225,1.0635227111980465,0.6625893580813033
abgR,-0.7382699004628028,-1.8322215283547347,-0.7285844888642972,-0.8635887197011147,-0.913703773177792,-0.8276932320904731,-1.3234597956973053,-1.1920393610302684,-1.2182250064390827,-0.8645866636995081,-0.6392214522226072,-0.6665293635624432
abpA,-1.4274718588510655,-1.3468818835653256,-2.0046125277360636,-0.8479275381803895,-0.9626746693097541,-1.1758773461936567,-1.5330631037375306,-1.2444804915468184,-1.268347543027527,-0.8610333362564793,-1.262888613605346,-1.5956327356625548
abpB,-1.5700475418290374,-1.7575544167851804,-2.2333301874486793,-1.3009976581645226,-1.4613566772665374,-1.6932052267647864,-1.6805597567794377,-1.490925288067977,-1.364124170523693,-0.9240821839195357,-2.483058767045325,-2.073741541922777
abrB,0.5917664763294654,-0.6155154430732157,0.9115532553168118,-0.09143002500353381,0.2996064380535781,-1.1201502056623607,-0.03758369358338581,0.42154861717322784,-0.19409263715526032,0.4209859130851374,-0.8799897612284775,0.24496205766950324
accA,-0.5597460192217465,-0.33238123129921426,-0.354421400144199,-0.4922063106323158,-0.14632160512961967,-0.1710634787629779,-0.41993308105527516,-0.5180050411641893,-0.6833858592711411,-0.637506714281772,0.29889092558793673,-0.09620027500563244
accB,-3.5899459612301197,-3.5465223266224672,-3.6729211267061928,-2.9572308327342878,-3.1762616547187115,-2.8508191170969397,-3.0515052318177465,-3.4390565168684266,-3.5097255504541214,-3.2942531905961343,-3.1474080025733966,-3.351752526798896
accC,-3.7116500560850234,-3.5774218022040873,-4.100862185417611,-3.451829265493325,-3.581228516811654,-3.2248535894533106,-3.300582938781921,-3.626173221816882,-3.3324361261104505,-3.4165762735645915,-3.9578034634331525,-4.014273391758016
accD,-0.8298981743098537,-0.7386957779208227,-0.8518315330557886,-0.7261861665546068,-0.5536147058355585,-0.4321820652047492,-0.4992199844403369,-0.8262378877105809,-0.976764464225123,-1.3498299205019086,0.3271257733195303,-0.8074819393229613
aceA,-1.2659633741350707,-0.713681156849379,-0.870508336318057,-1.1103617122415272,-1.5585344567398547,-1.6762888176856947,-1.704282391690648,-1.5985613950073079,-1.5717108921374487,-0.3046577370374832,-1.2151819824108694,-0.8009434556858279
aceB,-0.24002827815076522,0.26455422397469164,0.18037205109815346,0.26159121739692104,-0.15893308035503573,-0.21771521755780476,-0.3299248666198338,-0.43550631668785833,-0.3584229294355996,0.37760313378175425,0.42486875055124074,0.41122314481645894
aceE,0.002419597387035566,-0.25546025986313303,-0.03635941910399332,-1.8708857082114285,-1.529331558262605,-1.9963496859964085,-1.2653533000472588,-1.1512314789376759,-0.9027589499394194,-0.7284486356102468,-1.0454541589293949,-0.5927205105865377
aceF,0.1169839240720858,-0.006236354163343449,-0.02290779250280295,-2.114955677974482,-2.060137370915008,-2.2032188101351267,-1.5615459545297166,-1.2173302026435524,-0.8038803743314598,-0.41837348468331315,-1.5512022317940597,-0.7381398336365772
aceK,-0.8611365204702821,-0.6120842669922517,-0.6972923898518815,-1.9742228340141725,-2.465533027436673,-2.3165013208407528,-2.2416704419404585,-2.019796119077715,-1.732532381542261,0.13514412731413716,-1.6952140629234542,-1.3727014814362584
