,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
HQ24_RS02850,-3.558277518270944,-3.219258068258436,-6.174219309649244,-3.9990549648828644,-2.5197227092802565,-4.637732004333326,-3.8743657379213317,-3.9841276210235352,-4.284274828601973,-3.797099039327055,-4.091646978212091,-4.076750369589091
HQ24_RS14780,1.0791831072053086,1.8942284414519763,-1.0695423456239854,0.7653053547976802,1.5732302806090441,3.527277361360192,1.6801105543945558,1.5411396671360824,1.209981427165382,0.9946581127332966,0.8261328416245383,1.5176595967463598
HQ24_RS14810,-4.225289657228143,-3.530621861699374,-3.2595731042599834,-4.739038048566263,-4.161015174219663,-4.666577903931676,-3.6547853525873926,-3.4333943418983655,-3.7769241581963797,-3.698699121777574,-5.5166993087726155,-4.501613466672777
HQ24_RS14995,0.8557827336965911,-0.7264335659755785,-0.7308129769570044,2.7208935096977505,2.710424472166264,1.4007361694096967,2.471980089945396,1.76108625170181,0.8284546456085795,-0.10275883178301176,1.012650550234395,0.25917763633054863
HQ24_RS15045,-8.2887709182245,-2.8289026023486707,-8.048237258366154,-4.457005470087239,-4.421771448716341,-5.470261389236754,-4.879412773021989,-5.58398668625009,-5.0129385002908595,-5.752773623576434,-6.885344851461618,-5.40049265237867
HQ24_RS15200,0.04975138243702926,0.28392568501982307,0.521737540020669,1.840937935262879,2.8580072662109357,3.2566677205516763,2.6537570965196964,2.4008552015801734,2.006848591441335,0.10908949350241615,0.8928633679603774,0.7476137784990143
HQ24_RS24660,-2.7983849023474576,0.7633893141035988,-1.0695423456239854,0.1313016380845533,1.5687433881669288,-1.0695423456239854,1.0842121686976154,-0.22542287817945406,-0.8615797223785204,-0.8099598718686709,-0.8398232977474607,-0.8214616517638584
KanR,1.4152995122747463,0.9846457697172717,1.1425626614966937,0.6523885384081929,0.7514867741038636,0.9598633690183256,1.2129229547694167,0.9339187773873819,0.8243360874435149,0.12184666589495186,1.835137462573654,0.9780846769501738
Spc,0.7147304823237999,1.2207281755167472,0.9031175007222192,-0.41994075254703844,0.22983462620410933,-0.07280464140459664,0.1515248103712653,0.29456688102746564,-0.09892150693388235,0.8523896243403434,0.6674619743433697,0.7086436076666799
YFP,-0.8911131526034097,-0.3793770545930162,-0.33947283340981826,-2.5157115330774715,-0.6612086979704745,-1.7778156931611022,-1.4252061878120195,-1.3363998797717258,-1.4578394267842434,-0.32460050994122375,-1.520671264029561,-0.4999816964765192
aaeA,0.40995051230011104,0.48561512980789967,1.404714828948788,2.6133944791865273,1.1781713466764492,2.841200569583769,1.9666507498467913,1.6759740532534009,1.7824990775163094,1.3977520233988843,1.0098888802096013,1.1002820822785573
aaeB,-0.2867186449981638,-0.429034886409446,-0.6692191604444249,2.2501919859609956,1.254317504968209,1.7402706800879866,0.8821368241105114,0.9982369374439886,1.1266505268961193,0.5808195545777526,0.3992328215791199,-0.12726918544233534
aaeR,0.9832181600114112,0.25573729543423784,0.2183563303485494,1.3761865337644128,1.0178757560155418,1.3919647141403155,1.5080115231034832,1.2977145455990453,1.3157939406495391,0.6228345853073823,0.053571918880857564,0.44541227617416024
aaeX,3.9132195409500437,1.6346181246102063,5.2756590470245515,3.9868794599017,2.6786767634131623,5.349369144701283,3.9444827458117158,4.267156457082341,3.878452637745857,3.8828760536600466,3.4487522331901594,3.416701953110829
aas,0.07297347539344123,0.12725206051306515,0.19664803831122413,-0.5329214670736029,-0.5349924793719811,-0.5697209479531065,-0.37257579227591403,-0.23258653669985066,-0.30833106464141163,0.43343348143454424,-0.299085113456464,-0.4616162945418644
aat,0.49085632436034565,0.3331043095885402,-0.07765948355359242,-0.33221205261571285,0.42492716788250107,-0.264530053287352,-0.5189981640708372,-0.3796633796975759,-0.2817903635140486,0.02882605037784236,1.0635227111980465,0.6625893580813034
abgR,-0.9661803096429011,-1.3117013325019826,-1.02119427553695,-1.091499128881213,-0.39318357732503983,-1.120303018763126,-1.323459795697305,-1.1920393610302682,-1.2182250064390825,-0.8645866636995079,-0.639221452222607,-0.666529363562443
abpA,-1.211531164497707,-1.5039603314043717,-2.063474774250378,-0.6319868438270309,-1.1197531171488002,-1.234739592707971,-1.533063103737531,-1.2444804915468188,-1.2683475430275275,-0.8610333362564797,-1.2628886136053465,-1.5956327356625553
abpB,-1.4222167972435908,-2.067664922197401,-2.0710504266219036,-1.153166913579076,-1.7714671826787578,-1.5309254659380107,-1.680559756779437,-1.4909252880679764,-1.3641241705236924,-0.9240821839195349,-2.483058767045324,-2.073741541922776
abrB,0.33124200392700676,-0.580133877258687,1.136696161904743,-0.3519544974059925,0.3349880038681068,-0.8950072990744293,-0.03758369358338526,0.4215486171732284,-0.19409263715525976,0.42098591308513794,-0.879989761228477,0.2449620576695038
accA,-0.7075410692786566,-0.05207879625197087,-0.48692878513453763,-0.6400013606892259,0.13398082991762372,-0.30357086375331654,-0.41993308105527694,-0.5180050411641911,-0.6833858592711429,-0.6375067142817737,0.29889092558793495,-0.09620027500563424
accB,-3.926496545268897,-2.900526178978687,-3.9823666903111974,-3.293781416773065,-2.5302655070749314,-3.1602646807019443,-3.051505231817747,-3.439056516868427,-3.509725550454122,-3.2942531905961348,-3.147408002573397,-3.3517525267988963
accC,-3.986351810440077,-2.8982538324748806,-4.505328400791763,-3.7265310198483785,-2.9020605470824474,-3.629319804827462,-3.300582938781921,-3.626173221816882,-3.3324361261104505,-3.4165762735645915,-3.9578034634331525,-4.014273391758016
accD,-0.956570169538157,-0.3704934533603321,-1.0933618623879706,-0.8528581617829101,-0.18541238127506787,-0.6737123945369312,-0.4992199844403352,-0.8262378877105793,-0.9767644642251213,-1.3498299205019069,0.32712577331953197,-0.8074819393229596
aceA,0.21028034800560924,-3.147308236848481,0.08687502154036686,0.36588200989915265,-3.9921615367389567,-0.7189054598272708,-1.704282391690647,-1.598561395007307,-1.5717108921374479,-0.30465773703748233,-1.2151819824108685,-0.800943455685827
aceB,1.1348999357378986,-2.2251826075812247,1.2951806687654095,1.6365194312855849,-2.648669911910952,0.8970934001094513,-0.32992486661983333,-0.4355063166878579,-0.35842292943559917,0.3776031337817547,0.4248687505512412,0.4112231448164594
aceE,-0.3173632309703045,0.636727975957605,-0.6087648265673913,-2.1906685365687686,-0.637143322441867,-2.5687550934598065,-1.2653533000472585,-1.1512314789376756,-0.9027589499394193,-0.7284486356102466,-1.0454541589293946,-0.5927205105865376
aceF,-0.2902475626545886,0.8551792731888082,-0.4770919331282837,-2.5221871647011564,-1.1987217435628565,-2.6574029507606074,-1.5615459545297177,-1.2173302026435535,-0.8038803743314608,-0.41837348468331415,-1.5512022317940608,-0.7381398336365782
aceK,0.5167499349058549,-2.7716442273438204,0.08438111512355029,-0.5963363786380356,-4.625092987788242,-1.534827815865321,-2.2416704419404594,-2.019796119077716,-1.7325323815422617,0.1351441273141365,-1.695214062923455,-1.372701481436259
ackA,1.4224129858538301,1.4548787136451846,1.160300042664744,-1.4450397739752727,-0.9048679983145718,-1.6584159683198862,-0.7485438245723117,-0.03857272595152256,0.4708630216531133,1.1364628999458481,-1.0537927217967564,0.2628513522756594
acnA,1.8702582806012948,-0.24057610652593198,1.8792410450706747,0.9561067609937961,-0.32828698238667897,1.3651152062512857,0.9322079585023788,1.5374847443643196,1.9943721689527711,1.4271090590495765,-0.8061260029580781,0.41681027609347243
acnB,-1.0181829487283718,-0.8327960483178671,-1.3979463605342826,-1.5583242530087684,-1.5380735687114289,-1.8031055806596683,-1.2185400876343246,-1.7533140699401484,-1.7456917841329949,-1.6814764092387149,-0.5855988715323556,-1.1638075374818504
acpH,0.9874563086521517,0.232923651617563,0.8403425212356712,2.130256601898899,2.4511032664024492,2.812738368321062,1.6690865829761397,1.3975946164149715,1.4281922205496447,1.1125565021038455,2.4064684306141038,1.4409223654690912
acpP,-1.276060972662993,-0.7003739445446673,-0.8395032432736347,-1.2510271828451955,-0.270604991833892,-1.1658524385459206,-1.0640450922393037,-1.242085119311896,-1.1578251598311493,-0.6984717641016662,-0.6420719405348703,-0.6989236976874189
acpS,0.30783978726710437,0.42148468312095844,0.23910286462900832,-1.3521674756779305,-2.1325617849321956,-1.1072800331677515,-1.2809538660856998,-0.7928765457635332,-1.1130721158432553,0.1679975123355919,-0.05601001960174257,-0.5486669238021675
acpT,-0.7225953772846525,-0.8243984252263115,-0.603747259386215,-1.0244658068088794,-0.6278657773456775,-0.2902231522376111,-1.1586869274423721,-1.3781910803508186,-0.9764691045059903,0.24239475972889757,-0.1808404319187762,-0.6415030138002873
acrA,-1.522835382666015,-1.8671993841879093,-1.481783605362395,0.17390450131912338,-0.13987261672528106,0.2695797694888604,-0.06384939113136762,-0.31723600469949803,-0.4010419543334179,-1.3322325041571625,-1.0062520120503438,-1.4475948517618287
acrB,-2.0529948646742966,-2.0912207973056436,-1.9146116631063634,-0.06203603657048973,-0.23394961606619624,-0.03331553083429206,-0.022905905132141025,-0.14696572568193528,-0.09926513636521644,-1.9242550300533696,-1.979293367289443,-2.2154433440351755
acrD,-0.5355246734939136,-0.7885861322714218,-0.6409340355117408,0.8725172711238844,0.18967793408584122,0.5385670599624657,0.393883276205083,0.3391794671958679,0.4238755989845715,-0.248775502241489,-0.602373146170192,-0.6700722700787263
acrE,-1.9921542875012972,0.4426678065796903,-2.103095562817549,2.1945495372004165,0.42750901970374855,1.5521454113379076,0.5494884410640384,1.2271832805719978,0.1105795633895097,-0.4097834216922216,-1.1844698752639733,0.2286239364335647
acrF,-0.1394178169950573,-0.09953356650831413,-1.544872993562632,1.183384309562899,0.2721718553897272,0.1685624493361617,-0.2078952216762051,-0.26013056459722517,-0.15799667955319396,0.5514123446147172,0.04378034164292188,-0.12887598320823024
acrR,-2.990259937441125,-1.5745082636004546,-2.8193834290260997,-0.7658898364936686,0.7553096950961251,-0.6878342826593986,-0.68553604663503,-0.9090219230581944,-0.8891915714570686,-1.8697489875498494,-1.65782492545285,-2.0712425999716304
acrZ,1.4586112125118165,1.4306779584924962,1.815843524319038,-1.3336307454008773,0.3865921288156562,-0.35752888266988503,-0.34182335018813503,0.058819471876997764,-0.05887268638360499,0.9395964798918391,1.167478551692489,1.6353667291786609
acs,-1.6733010368633376,-2.73442956134849,-1.740471302671871,-3.837574181745067,-3.181063639222531,-2.7843193777388517,-3.659634313541297,-3.069411227370735,-2.86540885534647,-2.602782556031731,-1.710010138054138,-2.0439120092457768
actP,-2.7519844400918156,-3.8776702564010233,-2.6470714993305364,-5.261771819536835,-4.953425855732034,-4.512941923449903,-4.87491750734176,-4.329429411019564,-4.10204999357183,-3.6858931467058675,-3.620107945202053,-3.392467790701071
actS,-0.8218191787614222,-0.769849823783411,-0.903011145526075,-0.4183779606951017,0.016166345605681087,0.0014911400618391468,-0.1276651272757049,-0.06410930594124398,-0.47163111592389295,-0.44122758263746487,-1.1331046549088732,-0.657662836411311
ada,2.486842455190658,2.5542220647165346,2.3883431127107144,2.0488123055323264,3.0654275351791496,2.5672696547720317,2.2516419489025203,2.5981697723363943,2.8493017808488297,2.0722202996717733,2.747709028975022,2.5918742973668767
add,3.9761433351620203,4.007326135471975,3.7721810093837336,2.3912775267726234,2.6836635887679696,2.631904967558433,2.8495391720503864,2.7221606971819963,2.48539897525057,2.907495860940994,4.343016094881557,4.154885762811254
adeD,1.1753069724386656,1.7645850456133747,1.845014838593145,0.8278093691056654,0.9376096908965561,1.979075245811619,1.2326638226220348,1.2211221215115626,1.0249051266192157,1.4799240890363385,1.517542031936922,2.053243970732953
adeP,-4.486727981866748,-2.7694928051338703,-4.22331233676603,-3.9433259292643257,-2.930269764533234,-4.003686785192626,-3.356868997152599,-3.485858683226736,-3.53410021758726,-3.8704199115516884,-3.81618737664105,-4.293380416597502
adeQ,3.383387602960375,1.9781098949536204,2.9148787996437004,2.7329083526290017,1.3928381312247602,2.116054102176287,2.034281437763962,2.223920054699467,2.3861717434246588,2.9884934444722866,2.4000554275709627,2.485254775656407
adhE,2.511183124062917,1.1475068122250516,2.0430942610064644,-1.5916449736610012,-1.1925432859227847,-0.9296692620791465,-0.4822386095392609,0.030049672877358824,0.44374690761533986,0.8956276913085134,0.14854509554523931,0.9521959178243119
adhP,1.020919900939969,-0.37137233511169576,0.8367824374882371,0.2962152490103698,-0.6695238415763001,0.5837359866343252,-0.1334779459559663,-0.08531518087605439,0.11098809349629124,0.28275713198752395,1.0330047844631032,0.48880051427000804
adiA,1.7434146905144159,0.9807107056333306,-1.7096035961986278,-0.31384306065005063,-1.0407061959627883,-0.10187101601927928,-0.48512299927559904,-0.07456566950538096,-0.17660089430636222,0.2089683381106508,0.08002042826560068,0.005402324028091321
adiC,3.0821929809949404,2.6374410383676166,2.1730597705206747,2.7060637149736593,1.320855932097584,1.4154210270965968,2.2883145373271305,2.3421234551611128,2.0875412712306125,2.509185731341965,1.9478496070823361,2.160019861907915
adiY,6.107876461985582,4.337999545061968,4.462930573986737,5.146538379490458,2.6409189986866064,4.279826799077298,4.840706476333651,4.460914631946264,4.245260328111623,4.500164615582138,4.28620671317713,4.642837993137843
adk,-2.588484355460851,-1.9886900329036195,-2.812875994258423,-2.2465894221281797,-1.560871063995128,-2.0707965927271648,-1.8735392548946392,-2.2722255535596925,-2.7127855989632406,-2.3800789091175303,-1.6584573024888818,-2.3712208424493837
adrA,4.099340394507551,3.6823219704738355,4.405882595427207,1.7958655815869964,1.882638831763905,2.4425121695157843,2.647222064578158,2.736331190727668,2.749127871614829,3.3883560545923377,3.220977135955459,3.5665472258068283
