,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
HQ24_RS02850,-3.560369461965255,-3.222724837280615,-6.1837392120842125,-4.001970908667111,-2.5216884495989316,-4.64086747491996,-3.8780760218893726,-3.9879370149011018,-4.288397486736482,-3.8007426137770115,-4.0955593906727845,-4.080647816539335
HQ24_RS14780,1.0968266002593787,1.9411767624815681,-2.1814547905306867,0.7792306494067174,1.6162954211945522,3.7298080562011657,1.5504726347571265,1.4110079782279281,1.0784548035961543,0.8620183485214317,0.6925030892366979,1.387425844673357
HQ24_RS14810,-4.2277618086946624,-3.5321331291519753,-3.260858755586665,-4.742639434238021,-4.163439641932464,-4.6702610362605865,-3.656753576826577,-3.4352309351503374,-3.77897417995118,-3.7006947916431736,-5.521119952790256,-4.50432036950285
HQ24_RS14995,0.8901942972272896,-0.7637351642683301,-0.7468099534752364,2.782001220216462,2.7508419295763415,1.414686290093603,2.5007970151525205,1.7863598361922444,0.8451684686861434,-0.10347357747891456,1.0315463500017543,0.26678052681638015
HQ24_RS15045,-9.614815960275482,-2.8543815572648445,-9.374111513017644,-4.477927544584643,-4.52230198131615,-5.525942291412479,-5.331708431246575,-6.052395800618564,-5.4676336959720455,-6.22656714782241,-7.427439528815517,-5.863736243396133
HQ24_RS15200,0.04989556829860309,0.2850881424456402,0.5238880442340763,1.8439780879455157,2.8635452067039493,3.262936443724614,2.6580186199384364,2.4049878213321914,2.010729167445875,0.11006935941319329,0.8955098600227608,0.7500166651999424
HQ24_RS24660,-4.077634031309011,0.8451748230523064,-2.1814547905306867,0.13593162624365274,1.6906183143533675,-2.1814547905306867,0.5799482757552119,-0.7594895088323161,-1.4274355509587102,-1.372616588887717,-1.4043812098200803,-1.3848442659774487
KanR,1.4153016998901187,0.9846471759702666,1.142564410313188,0.6523898115487974,0.7514879283572142,0.9598649223448774,1.2129250144655859,0.9339204000107233,0.8243375139107338,0.12184641070324481,1.8351402366784657,0.9780863726557096
Spc,0.7147419186953687,1.220748379150729,0.903131257660938,-0.4199506436997371,0.22983983778963335,-0.07280617187741001,0.15152491623501174,0.29457098514538427,-0.09892943134236265,0.8524060198022935,0.6674748110547847,0.7086572768244112
YFP,-0.8911222369516008,-0.3793807932319133,-0.3394757836842537,-2.5157616994543197,-0.6612159248246492,-1.7778427082028259,-1.4252244688808844,-1.3364175796590594,-1.4578579305675596,-0.3246135955881134,-1.5206902034880638,-0.4999953681658821
aaeA,0.4130513853628477,0.4877599683448386,1.4158743279014194,2.623668868098658,1.1823349969832924,2.8564510849595184,1.9756937767272231,1.6843240793971117,1.7911197466722597,1.4052780255649595,1.0159805696257886,1.1067444336632328
aaeB,-0.28767059056105815,-0.4303232234938461,-0.6712908353548093,2.253568312255042,1.2564563859055404,1.7426977593916657,0.8831740176463446,0.9994153117896077,1.1279722548265538,0.5814294321529866,0.3995401480990205,-0.12809335637197938
aaeR,0.9839819322908925,0.25596320830151686,0.21856832366590595,1.3771362007832275,1.0185786814239997,1.3928969016028967,1.5089922655452135,1.298612675814951,1.3166996573977556,0.623368204964768,0.05363397742874737,0.44581846691700383
aaeX,4.038626792709286,1.654915813330696,6.594915281880231,4.112623058401304,2.7036166632062777,6.669018576299366,4.43458430611311,4.758612915559284,4.368236060345858,4.372603720799029,3.93597388965579,3.903705293354093
aas,0.07298937436339514,0.12727815796508146,0.1966879371703918,-0.5330655767153232,-0.5351313209312298,-0.5698726586276841,-0.3726736425178052,-0.23264499612079015,-0.30841036115022136,0.4335177527091678,-0.2991617216281066,-0.46174111806761275
aat,0.49108147921700684,0.33331782720335035,-0.07770189071173661,-0.3324144714253414,0.425191339168995,-0.2646844181062651,-0.5191595861036784,-0.37975901939732704,-0.28184346469558785,0.028889779247822434,1.0638358274560347,0.6628263288387466
abgR,-0.9673742683548303,-1.3148529262154929,-1.0224265129914478,-1.09291599023729,-0.39384480146133694,-1.1217087138006017,-1.325422242544628,-1.1938003300422113,-1.2200246507792696,-0.8659185248729845,-0.6403110979016745,-0.667646366920232
abpA,-1.2123985677008475,-1.5048943323869013,-2.065210742124843,-0.6323486586320062,-1.1203492201244192,-1.2354762268362567,-1.534047719840009,-1.2453205621608952,-1.2691984978313915,-0.8617211921310197,-1.263737063589046,-1.5966527122529133
abpB,-1.4233103522298398,-2.0691779378594406,-2.0731621323948604,-1.1539629624813168,-1.772610137704313,-1.532168534472011,-1.6818057415441936,-1.4920127102681027,-1.3651166906849868,-0.9248032162225905,-2.4852636611687826,-2.0753900372531264
abrB,0.3345119493524322,-0.5903651210926268,1.1489944591903027,-0.35645120109172845,0.3391146950735151,-0.9161092670719406,-0.039537713405660924,0.42483631381089104,-0.19829452437782402,0.42426782434590127,-0.8980235232481419,0.24644713723478873
accA,-0.707617756902172,-0.05208478787922033,-0.48697793458274496,-0.6400689983395065,0.13399528522742798,-0.30359953389247174,-0.4199736219062897,-0.5180585489569554,-0.6834633351863024,-0.6375771677957873,0.29892269120629417,-0.09620374372964674
accB,-3.9276749462276905,-2.901586358365967,-3.9836184776498014,-3.294511003410296,-2.531047946023209,-3.160934815228952,-3.052257204344906,-3.4401165906951623,-3.510851357832292,-3.2951868353974914,-3.1482273361414914,-3.352734222494577
accC,-3.9868380017350695,-2.898663220315406,-4.505978420279703,-3.7269315832557783,-2.9024711856745693,-3.6296600387066675,-3.300847408353413,-3.62661654150411,-3.3327163584893875,-3.4168988930494835,-3.958474409008018,-4.014988839562784
accD,-0.9566318664857381,-0.3705205164523697,-1.0934305277514547,-0.8529110283311141,-0.18542505678237298,-0.6737484388725203,-0.4992281993518476,-0.8262888110964203,-0.9768385502112978,-1.3499726954377884,0.32719077153948806,-0.8075299501177043
aceA,0.21030036023405962,-3.1473853516989223,0.08688103820994719,0.3659150604890513,-3.9923078823468696,-0.7189719762188975,-1.7043558210647856,-1.5986251307316408,-1.571772277050325,-0.30464619316970776,-1.2152161057592057,-0.8009532235559629
