,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
HQ24_RS02850,-3.560369461965255,-3.222724837280615,-6.1837392120842125,-4.001970908667111,-2.5216884495989316,-4.64086747491996,-2.886445637980608,-2.996306630992337,-3.296767102827717,-2.809112229868247,-3.1039290067640204,-3.0890174326305706
HQ24_RS14780,1.0968266002593787,1.9411767624815681,-2.1814547905306867,0.7792306494067174,1.6162954211945522,3.7298080562011657,1.6627485940108961,1.5232839374816978,1.190730762849924,0.9742943077752013,0.8047790484904676,1.4997018039271266
HQ24_RS14810,-4.2277618086946624,-3.5321331291519753,-3.260858755586665,-4.742639434238021,-4.163439641932464,-4.6702610362605865,-3.4947885655731277,-3.273265923896888,-3.617009168697731,-3.5387297803897244,-5.359154941536807,-4.342355358249401
HQ24_RS14995,0.8901942972272896,-0.7637351642683301,-0.7468099534752364,2.782001220216462,2.7508419295763415,1.414686290093603,2.0478624646324075,1.3334252856721314,0.39223391816603037,-0.5564081279990276,0.5786117994816413,-0.1861540237037329
HQ24_RS15045,-9.614815960275482,-2.8543815572648445,-9.374111513017644,-4.477927544584643,-4.52230198131615,-5.525942291412479,-4.982229795397686,-5.702917164769675,-5.118155060123156,-5.87708851197352,-7.077960892966628,-5.514257607547243
HQ24_RS15200,0.04989556829860309,0.2850881424456402,0.5238880442340763,1.8439780879455157,2.8635452067039493,3.262936443724614,2.0083254244297715,1.7552946258235265,1.36103597193721,-0.5396238360954717,0.24581666451409578,0.10032346969127737
HQ24_RS24660,-4.077634031309011,0.8451748230523064,-2.1814547905306867,0.13593162624365274,1.6906183143533675,-2.1814547905306867,3.020949704719683,1.681511920132155,1.0135658780057608,1.068384840076754,1.0366202191443907,1.0561571629870223
KanR,1.4153016998901187,0.9846471759702666,1.142564410313188,0.6523898115487974,0.7514879283572142,0.9598649223448774,0.9106691028541007,0.6316644883992382,0.5220816022992487,-0.18040950090824026,1.5328843250669806,0.6758304610442245
Spc,0.7147419186953687,1.220748379150729,0.903131257660938,-0.4199506436997371,0.22983983778963335,-0.07280617187741001,-0.3713394935536094,-0.22829342464323688,-0.6217938411309838,0.3295416100136723,0.14461040126616354,0.18579286703579
YFP,-0.8911222369516008,-0.3793807932319133,-0.3394757836842537,-2.5157616994543197,-0.6612159248246492,-1.7778427082028259,-1.1181101332312426,-1.0293032440094176,-1.150743594917918,-0.017499259938471567,-1.213575867838422,-0.19288103251624023
aaeA,0.4130513853628477,0.4877599683448386,1.4158743279014194,2.623668868098658,1.1823349969832924,2.8564510849595184,2.1578333329806574,1.866463635650546,1.973259302925694,1.5874175818183938,1.198120125879223,1.288883989916667
