gene,Reg-Arrest1 rep1,Reg-Arrest1 rep2,Reg-Arrest1 rep3,Reg-Arrest2+SHX 400min,Reg-Arrest2+SHX 511min,Reg-Arrest2+SHX 621min,Dis-Arrest1 rep1,Dis-Arrest1 rep2,Dis-Arrest1 rep3,Dis-Arrest2 rep1t6,Dis-Arrest2 rep1t7,Dis-Arrest2 rep1t8
HQ24_RS02850,2.11039,1.88255,1.49402,2.39526,2.30659,2.31107,1.97771,2.09313,1.95654,2.37142,2.33837,2.24802
HQ24_RS14780,1.32203,1.31481,0,1.58477,1.53404,1.74221,1.22754,1.21818,1.38378,1.79056,1.74872,1.64904
HQ24_RS14810,2.05288,2.24994,2.31129,2.48957,1.9423,2.24787,1.89823,2.06017,1.88774,2.50221,2.56886,2.46545
HQ24_RS14995,0.954067,0.630847,0.931839,0.964647,1.30042,1.0736,1.51552,1.66544,1.5735,1.73918,1.52518,1.24443
HQ24_RS15045,0,1.03432,0,0.868759,0.527821,0.974806,1.15348,0.554821,0.776048,1.13109,0.91899,1.09089
HQ24_RS15200,1.86313,1.75328,1.78803,1.87485,2.11079,2.06707,2.40233,2.52815,2.61132,2.6403,2.56417,2.44556
HQ24_RS24660,0,0.630847,0,0.66769,0.658701,0.664228,0.881924,0.873282,0,1.23756,0.843317,0.651815
KanR,5.34825,5.30889,5.30547,4.82691,5.34266,5.08467,5.11859,5.2387,5.25047,5.1548,5.07081,5.03782
Spc,4.21499,4.28494,4.26735,4.05097,3.9953,4.0077,3.87342,3.98665,3.97357,3.83941,3.88247,3.76402
YFP,4.1715,4.25761,4.31795,4.8098,4.44974,4.757,3.68245,4.17277,3.88496,4.47792,4.50466,4.4681
aaeA,1.51832,1.75328,1.66544,1.81238,1.69562,1.72283,2.18162,1.96176,2.09787,1.98308,1.89557,1.92764
aaeB,1.75568,1.77767,1.73104,2.11918,2.06452,1.90603,2.51937,2.28441,2.45637,2.20932,2.24427,2.28292
aaeR,2.57614,2.4033,2.35684,2.48049,2.30912,2.42708,2.69444,2.63273,2.71013,2.74638,2.68307,2.68851
aaeX,1.65302,1.52816,1.58813,1.63351,1.50283,1.49318,1.67519,1.84245,1.61032,1.65159,1.74872,1.63171
aas,2.98071,3.0152,3.0305,3.08114,2.86063,2.8117,2.79832,2.81585,2.7998,2.83793,2.88007,2.85727
aat,2.72326,2.55374,2.56024,2.77948,3.09096,2.97027,2.47549,2.58138,2.50399,2.61399,2.65594,2.6854
abgR,2.08259,1.75328,2.0855,2.24631,2.31415,2.30593,2.04486,2.02978,2.05567,2.10759,2.14716,2.13927
