gene,Reg-Arrest1 rep1,Reg-Arrest1 rep2,Reg-Arrest1 rep3,Reg-Arrest2+SHX 400min,Reg-Arrest2+SHX 511min,Reg-Arrest2+SHX 621min,Dis-Arrest1 rep1,Dis-Arrest1 rep2,Dis-Arrest1 rep3,Dis-Arrest2 rep1t6,Dis-Arrest2 rep1t7,Dis-Arrest2 rep1t8
HQ24_RS02850,-3.55828,-3.21926,-6.17422,-2.8081,-3.10265,-3.08775,-3.99905,-2.51972,-4.63773,-2.88537,-2.99513,-3.29527
HQ24_RS14780,1.07918,1.89423,-1.06954,0.966526,0.798001,1.48953,0.765305,1.57323,3.52728,1.65198,1.51301,1.18185
HQ24_RS14810,-4.22529,-3.53062,-3.25957,-3.53786,-5.35586,-4.34078,-4.73904,-4.16102,-4.66658,-3.49395,-3.27256,-3.61609
HQ24_RS14995,0.855783,-0.726434,-0.730813,-0.544719,0.570691,-0.182782,2.72089,2.71042,1.40074,2.03002,1.31913,0.386495
HQ24_RS15045,-8.28877,-2.8289,-8.04824,-5.8332,-6.96577,-5.48091,-4.45701,-4.42177,-5.47026,-4.95983,-5.66441,-5.09336
HQ24_RS15200,0.0497514,0.283926,0.521738,-0.538384,0.24539,0.10014,1.84094,2.85801,3.25667,2.00628,1.75338,1.35938
HQ24_RS24660,-2.79838,0.763389,-1.06954,0.965244,0.935381,0.953742,0.131302,1.56874,-1.06954,2.85942,1.54978,0.913624
KanR,1.4153,0.984646,1.14256,-0.180409,1.53288,0.675829,0.652389,0.751487,0.959863,0.910667,0.631663,0.52208
Spc,0.71473,1.22073,0.903118,0.329535,0.144607,0.185789,-0.419941,0.229835,-0.0728046,-0.37133,-0.228288,-0.621776
YFP,-0.891113,-0.379377,-0.339473,-0.0174992,-1.21357,-0.19288,-2.51571,-0.661209,-1.77782,-1.1181,-1.0293,-1.15074
aaeA,0.409951,0.485615,1.40471,1.57797,1.19011,1.2805,2.61339,1.17817,2.8412,2.14687,1.8562,1.96272
aaeB,-0.286719,-0.429035,-0.669219,0.865368,0.683782,0.15728,2.25019,1.25432,1.74027,1.16669,1.28279,1.4112
aaeR,0.983218,0.255737,0.218356,0.650954,0.0816908,0.473531,1.37619,1.01788,1.39196,1.53613,1.32583,1.34391
aaeX,3.91322,1.63462,5.27566,3.06212,2.628,2.59595,3.98688,2.67868,5.34937,3.12373,3.4464,3.0577
aas,0.0729735,0.127252,0.196648,0.483927,-0.248591,-0.411122,-0.532921,-0.534992,-0.569721,-0.322082,-0.182093,-0.257837
aat,0.490856,0.333104,-0.0776595,0.8187,1.8534,1.45246,-0.332212,0.424927,-0.26453,0.270876,0.410211,0.508084
abgR,-0.96618,-1.3117,-1.02119,-0.781982,-0.556617,-0.583925,-1.0915,-0.393184,-1.1203,-1.24085,-1.10943,-1.13562
abpA,-1.21153,-1.50396,-2.06347,0.188034,-0.213821,-0.546565,-0.631987,-1.11975,-1.23474,-0.483996,-0.195413,-0.21928
abpB,-1.42222,-2.06766,-2.07105,-0.357377,-1.91635,-1.50704,-1.15317,-1.77147,-1.53093,-1.11385,-0.92422,-0.797419
abrB,0.331242,-0.580134,1.1367,0.0304665,-1.27051,-0.145557,-0.351954,0.334988,-0.895007,-0.428103,0.0310292,-0.584612
accA,-0.707541,-0.0520788,-0.486929,-0.79836,0.138037,-0.257054,-0.640001,0.133981,-0.303571,-0.580787,-0.678859,-0.84424
accB,-3.9265,-2.90053,-3.98237,-3.73489,-3.58804,-3.79239,-3.29378,-2.53027,-3.16026,-3.49214,-3.87969,-3.95036
accC,-3.98635,-2.89825,-4.50533,-4.31974,-4.86097,-4.91744,-3.72653,-2.90206,-3.62932,-4.20375,-4.52934,-4.2356
accD,-0.95657,-0.370493,-1.09336,-2.24462,-0.567664,-1.70227,-0.852858,-0.185412,-0.673712,-1.39401,-1.72103,-1.87155
aceA,0.21028,-3.14731,0.086875,1.94116,1.03064,1.44487,0.365882,-3.99216,-0.718905,0.541535,0.647256,0.674107
aceB,1.1349,-2.22518,1.29518,2.22072,2.26799,2.25434,1.63652,-2.64867,0.897093,1.5132,1.40761,1.4847
