,bulk|CASP_biorep1,bulk|CASP_biorep2,bulk|CASP_biorep3,bulk|Disrupted_biorep1,bulk|Disrupted_biorep2,bulk|Disrupted_biorep3,shx|Disrupted_biorep1t6,shx|Disrupted_biorep1t7,shx|Disrupted_biorep1t8,casp|CASP biorep1 400min,casp|CASP biorep1 511min,casp|CASP biorep1 621min
HQ24_RS02850,127.94167569192975,75.30474954924264,30.190002198020647,93.99616585158638,122.91751547524912,89.47824587488186,234.18873483236993,216.959045170857,176.01969335287978,247.45985201353798,201.57621736714557,203.67876294292398
HQ24_RS14780,19.990886826864024,19.64471727371547,0.0,15.88667591857798,15.526423007399888,23.198063745339745,60.738789515347285,55.06911544092089,43.56923102794054,37.43857539688213,33.200788742823974,54.233990132731236
HQ24_RS14810,111.94896623043853,176.80245546343926,203.78251483663936,78.1094899330084,113.86043538759918,76.22220944897344,316.8435824202652,369.56020844087874,291.0424632666428,307.7268270426653,86.55919922236251,175.95916798619467
HQ24_RS14995,7.996354730745609,3.2741195456192456,7.547500549505162,31.77335183715596,45.285400438249674,36.45410017124817,53.850885549689345,32.51068260970028,16.556307790617407,8.218223867608272,18.9718792816137,10.846798026546248
HQ24_RS15045,0.0,9.822358636857736,0.0,13.238896598814984,2.587737167899981,4.971013659715659,12.523461755741709,7.298316504218431,11.32800006726454,6.391951897028656,2.3714849102017124,8.436398465091525
HQ24_RS15200,71.96719257671049,55.66003227552717,60.38000439604129,251.53903537748468,336.4058318269976,407.62312009668403,435.81646909981146,365.57930852948687,277.97169395826063,73.96401480847445,128.06018515089247,115.69917894982663
HQ24_RS24660,0.0,3.2741195456192456,0.0,6.619448299407492,6.469342919749954,0.0,16.28050028246422,5.971349867087807,3.4855384822352433,3.652543941159232,3.5572273653025688,3.6155993421820822
KanR,222970.35531211057,203650.23573751707,202054.13721080267,131397.3726328986,173259.35433957537,178020.28417718396,142821.94107409296,117707.91206335342,109098.22587858367,67128.27882259495,220121.22936492297,121523.90949008196
Spc,16404.52173012462,19271.46764551488,18506.471347386654,7470.709350711295,9696.25116812123,9408.471853288505,6907.941504467126,7628.067713545391,5806.907111403915,11244.356522858696,9891.463560451342,10177.912148242562
YFP,14841.234380263852,18096.05872863757,20793.36401388672,4812.338913669247,14884.664189760693,7671.931081494501,30054.429694516737,31962.645388565335,29382.218020622542,64534.0594883866,28166.12627846574,57146.95800274926
aaeA,31.985418922982436,55.66003227552717,45.28500329703097,150.9234212264908,90.57080087649935,124.27534149289149,95.17830934363698,77.6275482721415,83.65292357364584,63.91951897028656,48.6154406591351,51.82359057127651
aaeB,55.974483115219265,58.934151821146415,52.83250384653613,329.6485253104931,191.49255042459862,285.0047831570311,160.92648356128095,174.49611278267705,190.83323190237957,130.57844589644256,115.01701814478305,79.54318552800581
aaeR,375.8286723450436,252.1072050126819,226.42501648515483,493.8108431357989,428.2705012874469,512.0144069507129,556.667875042719,481.0254059598511,487.1040028923752,301.33487514563666,202.7619598222464,266.34915154074673
aaeX,43.97995101910085,32.74119545619246,37.73750274752581,46.33613809585244,68.5750349493495,39.76810927772527,43.83211614509598,55.06911544092089,41.82646178682292,42.00425532333117,30.829303832622262,30.12999451818402
aas,955.5643903241004,1034.6217764156816,1071.745078029733,627.5236987838302,653.4036348947453,629.6617302306502,687.5380503902198,757.6979498015862,718.8923119610189,1204.4263645972567,724.4886400666231,647.1922822505927
aat,527.7594122292103,356.87903047249773,362.28002637624775,297.87517347333716,380.39736368129724,318.1448742218022,410.1433725005409,451.8321399429774,483.61846441014,600.8434783206936,1231.9864108497898,932.8246302829772
abgR,119.94532096118414,55.66003227552717,120.76000879208259,109.88284177016436,106.09722388389923,112.67630962022162,127.11313682077834,139.3314968987155,136.8073854277333,175.32210917564313,205.13344473244814,201.26836338146924
abpA,191.91251353789463,202.99541182839323,128.30750934158775,287.28405619428514,265.2430597097481,228.66662834692033,367.5636025310191,449.17820666871614,441.79200262331705,586.2333025560567,443.46767820772027,351.91833597238934
abpB,167.9234493456578,147.33537955286604,105.66500769307225,202.55511796186926,181.1416017529987,154.10142345118544,227.9270039544991,260.08546087760226,284.0713863021723,386.2565217775888,130.4316700610942,173.54876842473996
abrB,23.989064192236828,9.822358636857736,30.190002198020647,14.562786258696482,19.40802875924986,6.6280182129542125,15.654327194677135,21.894949512655295,13.942153928940973,21.915263646955392,8.300197185705994,19.28319649163777
accA,1479.3256251879377,1732.0092396325808,1705.7351241881665,1550.2747917212346,1970.5618533558359,1937.0383227358686,1587.9749506280486,1483.5487003120375,1322.7618540082747,1366.9645699788425,2616.9335984075897,1989.7848379808727
accB,231.89428719162268,239.01072683020493,218.87751593564968,360.09798748776757,309.2345915640478,387.7390654578214,293.67517817214303,224.25736167507543,213.48923203690865,248.37298799882777,275.09224958339865,238.62955658401742
accC,563.7430085175655,618.8085941220374,430.2075313217942,675.1837265395642,617.1753145441455,790.3911718947899,415.1527572028376,331.07817596409063,406.0652331804058,383.51711382171936,263.23482503239006,253.09195395274577
