batch,file,leiden,n_cells,skipped,mean_total_expression,median_total_expression,sd_total_expression,n_genes_native,n_genes_common,gmp_cor_native,lambda_max_native,lambda_max_scrambled_native,n_modes_above_threshold_native,fraction_non_zero_native,gmp_cor_common,lambda_max_common,lambda_max_scrambled_common,n_modes_above_threshold_common,fraction_non_zero_common
exp,sample_2b_filtered.csv,0,522,False,220.3927203065134,169.0,168.63411136825766,2071.0,1096.0,34.76983923829691,14.9830992974655,9.162732309455656,25.0,0.07660613063856343,20.437715920353856,10.361036040206988,6.026467891084279,20.0,0.10156228151131247
exp,sample_2b_filtered.csv,1,7,True,,,,,,,,,,,,,,,
exp,sample_2b_filtered.csv,2,275,False,48.90181818181818,45.0,21.12565371431929,2071.0,1096.0,12.29659601332787,15.774302222495946,13.155529853535583,9.0,0.015318789287412182,5.794318129682203,11.015066892638243,8.930206241258617,5.0,0.019323846641892503
exp,sample_2b_filtered.csv,3,18,True,,,,,,,,,,,,,,,
exp,sample_2b_filtered.csv,4,164,False,112.45731707317073,85.0,87.2934090941885,2071.0,1096.0,9.542437851346158,22.33483207392503,18.804365475066664,6.0,0.03698340584981539,1.1046454240438255,13.792871552186933,13.01295077167716,2.0,0.04869784903076523
dis1,sample_13a_filtered.csv,0,22,True,,,,,,,,,,,,,,,
dis1,sample_13a_filtered.csv,1,285,False,206.13333333333333,137.0,222.37966308543284,2042.0,1096.0,36.39581474665246,42.88349352727211,13.820712112608433,3.0,0.069885643882208,12.53926259319786,19.649172071877626,9.118302321493047,3.0,0.087751577656192
dis1,sample_13a_filtered.csv,2,84,True,,,,,,,,,,,,,,,
dis1,sample_13a_filtered.csv,3,236,False,43.49576271186441,40.0,17.251456400154552,2042.0,1096.0,3.1668832547524275,16.385908826662206,13.219025571909778,1.0,0.022663554108692377,0.0,8.475392252484488,9.069272764022726,0.0,0.02930365529916275
dis1,sample_13a_filtered.csv,4,5,True,,,,,,,,,,,,,,,
dis2,sample_15a_filtered.csv,0,1,True,,,,,,,,,,,,,,,
dis2,sample_15a_filtered.csv,1,45,True,,,,,,,,,,,,,,,
dis2,sample_15a_filtered.csv,2,2,True,,,,,,,,,,,,,,,
dis2,sample_15a_filtered.csv,3,14,True,,,,,,,,,,,,,,,
reg1,sample_13b_filtered.csv,0,475,False,200.17263157894737,134.0,226.43518760585368,2023.0,1096.0,69.46625020562179,25.92940936289511,9.885881905649523,18.0,0.049552723180402526,32.763568683968096,14.895037885294718,6.48687157965221,16.0,0.05909209320275942
reg1,sample_13b_filtered.csv,1,16,True,,,,,,,,,,,,,,,
reg1,sample_13b_filtered.csv,2,415,False,45.67710843373494,43.0,35.33171764593232,2023.0,1096.0,7.730432984171822,14.862428215754516,10.95865468636837,4.0,0.01039934710137911,2.86754639291446,8.419909848761424,7.440050462160357,5.0,0.012896117272269995
reg1,sample_13b_filtered.csv,3,79,True,,,,,,,,,,,,,,,
reg1,sample_13b_filtered.csv,4,9,True,,,,,,,,,,,,,,,
reg2,sample_15b_filtered.csv,0,406,False,305.1773399014778,180.0,377.62407733293225,2023.0,1096.0,85.4459628552479,25.374180756980163,10.527963541781311,31.0,0.08032624814631735,46.91709339613756,16.318181619012567,7.036536106479529,24.0,0.09690859731760815
reg2,sample_15b_filtered.csv,1,18,True,,,,,,,,,,,,,,,
reg2,sample_15b_filtered.csv,2,344,False,54.781976744186046,49.0,42.85804925081709,2023.0,1096.0,31.534991488338694,26.585263523079004,11.933538428865557,10.0,0.014162908680947012,9.402189755805475,14.207386488853349,8.404176545267202,6.0,0.017678804044414118
reg2,sample_15b_filtered.csv,3,56,True,,,,,,,,,,,,,,,
reg2,sample_15b_filtered.csv,4,50,True,,,,,,,,,,,,,,,
