batch,file,leiden,n_cells,skipped,mean_total_expression,median_total_expression,sd_total_expression,n_genes,tmrna_pct_of_counts,gmp_cor,lambda_max,lambda_max_scrambled,n_modes_above_threshold,fraction_non_zero
exp,sample_2b_filtered.csv,0,538,False,297.3847583643123,194.5,342.64570187178447,4042.0,17.21887832592676,35.59615809375984,20.01519213889879,14.089292134239253,24.0,0.056199861118280285
exp,sample_2b_filtered.csv,1,7,True,,,,,,,,,,
exp,sample_2b_filtered.csv,2,275,False,55.56727272727273,51.0,24.680846429793323,4042.0,38.079968588443165,18.710204284300456,22.545678610269405,18.50119002071384,8.0,0.012613201641510747
exp,sample_2b_filtered.csv,3,18,True,,,,,,,,,,
exp,sample_2b_filtered.csv,4,164,False,128.4512195121951,98.0,98.94085144364404,4042.0,29.863286812873824,25.2915866826843,35.49724433331232,27.358125151271974,8.0,0.02978509544395225
dis1,sample_13a_filtered.csv,0,30,True,,,,,,,,,,
dis1,sample_13a_filtered.csv,1,458,False,245.31441048034935,151.0,370.620919429541,4042.0,6.707371344144401,100.37461811776261,57.097093912962706,16.420139684218398,7.0,0.0442684724461761
dis1,sample_13a_filtered.csv,2,142,False,28.330985915492956,25.0,13.21009813128192,4042.0,17.996520009942827,60.425783610793076,36.080029318411185,18.008769631804316,8.0,0.015672215108834826
dis1,sample_13a_filtered.csv,3,358,False,49.90782122905028,43.0,34.10701391269515,4042.0,11.277774668383053,92.08456261477367,92.47647818337063,14.851046673690604,7.0,0.01510899331799759
dis1,sample_13a_filtered.csv,4,6,True,,,,,,,,,,
dis2,sample_15a_filtered.csv,0,10,True,,,,,,,,,,
dis2,sample_15a_filtered.csv,1,757,False,403.3011889035667,234.0,525.2941092652225,4042.0,10.009531639474744,36.19932893255948,20.32674602418563,11.026923008177437,25.0,0.0682838339377309
dis2,sample_15a_filtered.csv,2,16,True,,,,,,,,,,
dis2,sample_15a_filtered.csv,3,213,False,67.68075117370893,65.0,21.27252314471676,4042.0,15.468923418423973,4.377314702638007,23.081185461960512,20.50370959137012,4.0,0.021790433477626804
dis2,sample_15a_filtered.csv,4,4,True,,,,,,,,,,
reg1,sample_13b_filtered.csv,0,479,False,253.65970772442589,146.0,551.2280575284689,4042.0,35.562907911738805,254.8703118953667,69.67210575612673,15.597395130959962,22.0,0.03330572977880451
reg1,sample_13b_filtered.csv,1,16,True,,,,,,,,,,
reg1,sample_13b_filtered.csv,2,416,False,48.78605769230769,45.0,37.5286544060561,4042.0,50.55432372505543,46.79019916797432,25.004993812732973,14.064860575043335,14.0,0.008026463226519981
reg1,sample_13b_filtered.csv,3,79,True,,,,,,,,,,
reg1,sample_13b_filtered.csv,4,9,True,,,,,,,,,,
reg2,sample_15b_filtered.csv,0,465,False,365.9247311827957,200.0,534.0590185276072,4042.0,31.617642737504042,168.72429988137858,40.96055683593486,16.138157742223594,30.0,0.05144107771569947
reg2,sample_15b_filtered.csv,1,19,True,,,,,,,,,,
reg2,sample_15b_filtered.csv,2,389,False,62.0025706940874,53.0,53.89807576058803,4042.0,45.53671379410423,93.92437292465289,57.68330940777561,16.073547471406023,13.0,0.010199490669427973
reg2,sample_15b_filtered.csv,3,70,True,,,,,,,,,,
reg2,sample_15b_filtered.csv,4,57,True,,,,,,,,,,
